DLCL-BPMlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T3_RCOO-,LPA(R1),LPA(R1)+56,LPA(R1)+136,LPA(R1)+56+18,LPA(R3),LPA(R3)+56,LPA(R3)+136,LPA(R3)+56+18
DLCL-BMPlike(8:0_8:0)-H,651.255216,152.995833,171.006398,143.107753,143.107753,297.110862,353.137076,433.103407,371.147641,297.110862,353.137076,433.103407,371.147641
DLCL-BMPlike(8:0_10:0)-H,679.286517,152.995833,171.006398,143.107753,171.139054,297.110862,353.137076,433.103407,371.147641,325.142163,381.168377,461.134708,399.178942
DLCL-BMPlike(8:0_12:0)-H,707.317817,152.995833,171.006398,143.107753,199.170354,297.110862,353.137076,433.103407,371.147641,353.173463,409.199677,489.166008,427.210242
DLCL-BMPlike(8:0_13:0)-H,721.333467,152.995833,171.006398,143.107753,213.186004,297.110862,353.137076,433.103407,371.147641,367.189113,423.215327,503.181658,441.225892
DLCL-BMPlike(8:0_14:0)-H,735.349117,152.995833,171.006398,143.107753,227.201654,297.110862,353.137076,433.103407,371.147641,381.204763,437.230977,517.197308,455.241542
DLCL-BMPlike(8:0_14:1)-H,733.333467,152.995833,171.006398,143.107753,225.186004,297.110862,353.137076,433.103407,371.147641,379.189113,435.215327,515.181658,453.225892
DLCL-BMPlike(8:0_15:0)-H,749.364767,152.995833,171.006398,143.107753,241.217304,297.110862,353.137076,433.103407,371.147641,395.220413,451.246627,531.212958,469.257192
DLCL-BMPlike(8:0_15:1)-H,747.349117,152.995833,171.006398,143.107753,239.201654,297.110862,353.137076,433.103407,371.147641,393.204763,449.230977,529.197308,467.241542
DLCL-BMPlike(8:0_16:0)-H,763.380417,152.995833,171.006398,143.107753,255.232954,297.110862,353.137076,433.103407,371.147641,409.236063,465.262277,545.228608,483.272842
DLCL-BMPlike(8:0_16:1)-H,761.364767,152.995833,171.006398,143.107753,253.217304,297.110862,353.137076,433.103407,371.147641,407.220413,463.246627,543.212958,481.257192
DLCL-BMPlike(8:0_16:2)-H,759.349117,152.995833,171.006398,143.107753,251.201654,297.110862,353.137076,433.103407,371.147641,405.204763,461.230977,541.197308,479.241542
DLCL-BMPlike(8:0_16:3)-H,757.333467,152.995833,171.006398,143.107753,249.186004,297.110862,353.137076,433.103407,371.147641,403.189113,459.215327,539.181658,477.225892
DLCL-BMPlike(8:0_16:4)-H,755.317817,152.995833,171.006398,143.107753,247.170354,297.110862,353.137076,433.103407,371.147641,401.173463,457.199677,537.166008,475.210242
DLCL-BMPlike(8:0_17:0)-H,777.396067,152.995833,171.006398,143.107753,269.248604,297.110862,353.137076,433.103407,371.147641,423.251713,479.277927,559.244258,497.288492
DLCL-BMPlike(8:0_17:1)-H,775.380417,152.995833,171.006398,143.107753,267.232954,297.110862,353.137076,433.103407,371.147641,421.236063,477.262277,557.228608,495.272842
DLCL-BMPlike(8:0_17:2)-H,773.364767,152.995833,171.006398,143.107753,265.217304,297.110862,353.137076,433.103407,371.147641,419.220413,475.246627,555.212958,493.257192
DLCL-BMPlike(8:0_18:0)-H,791.411717,152.995833,171.006398,143.107753,283.264254,297.110862,353.137076,433.103407,371.147641,437.267363,493.293577,573.259908,511.304142
DLCL-BMPlike(8:0_18:1)-H,789.396067,152.995833,171.006398,143.107753,281.248604,297.110862,353.137076,433.103407,371.147641,435.251713,491.277927,571.244258,509.288492
DLCL-BMPlike(8:0_18:2)-H,787.380417,152.995833,171.006398,143.107753,279.232954,297.110862,353.137076,433.103407,371.147641,433.236063,489.262277,569.228608,507.272842
DLCL-BMPlike(8:0_18:3)-H,785.364767,152.995833,171.006398,143.107753,277.217304,297.110862,353.137076,433.103407,371.147641,431.220413,487.246627,567.212958,505.257192
DLCL-BMPlike(8:0_18:4)-H,783.349117,152.995833,171.006398,143.107753,275.201654,297.110862,353.137076,433.103407,371.147641,429.204763,485.230977,565.197308,503.241542
DLCL-BMPlike(8:0_18:4)-H,781.333467,152.995833,171.006398,143.107753,273.186004,297.110862,353.137076,433.103407,371.147641,427.189113,483.215327,563.181658,501.225892
DLCL-BMPlike(8:0_19:0)-H,805.427367,152.995833,171.006398,143.107753,297.279904,297.110862,353.137076,433.103407,371.147641,451.283013,507.309227,587.275558,525.319792
DLCL-BMPlike(8:0_19:1)-H,803.411707,152.995833,171.006398,143.107753,295.264244,297.110862,353.137076,433.103407,371.147641,449.267353,505.293567,585.259898,523.304132
DLCL-BMPlike(8:0_20:0)-H,819.443017,152.995833,171.006398,143.107753,311.295554,297.110862,353.137076,433.103407,371.147641,465.298663,521.324877,601.291208,539.335442
DLCL-BMPlike(8:0_20:1)-H,817.427367,152.995833,171.006398,143.107753,309.279904,297.110862,353.137076,433.103407,371.147641,463.283013,519.309227,599.275558,537.319792
DLCL-BMPlike(8:0_20:2)-H,815.411717,152.995833,171.006398,143.107753,307.264254,297.110862,353.137076,433.103407,371.147641,461.267363,517.293577,597.259908,535.304142
DLCL-BMPlike(8:0_20:3)-H,813.396067,152.995833,171.006398,143.107753,305.248604,297.110862,353.137076,433.103407,371.147641,459.251713,515.277927,595.244258,533.288492
DLCL-BMPlike(8:0_20:4)-H,811.380417,152.995833,171.006398,143.107753,303.232954,297.110862,353.137076,433.103407,371.147641,457.236063,513.262277,593.228608,531.272842
DLCL-BMPlike(8:0_20:5)-H,809.364767,152.995833,171.006398,143.107753,301.217304,297.110862,353.137076,433.103407,371.147641,455.220413,511.246627,591.212958,529.257192
DLCL-BMPlike(8:0_21:0)-H,833.458667,152.995833,171.006398,143.107753,325.311204,297.110862,353.137076,433.103407,371.147641,479.314313,535.340527,615.306858,553.351092
DLCL-BMPlike(8:0_22:0)-H,847.474317,152.995833,171.006398,143.107753,339.326854,297.110862,353.137076,433.103407,371.147641,493.329963,549.356177,629.322508,567.366742
DLCL-BMPlike(8:0_22:1)-H,845.458667,152.995833,171.006398,143.107753,337.311204,297.110862,353.137076,433.103407,371.147641,491.314313,547.340527,627.306858,565.351092
DLCL-BMPlike(8:0_22:2)-H,843.443017,152.995833,171.006398,143.107753,335.295554,297.110862,353.137076,433.103407,371.147641,489.298663,545.324877,625.291208,563.335442
DLCL-BMPlike(8:0_22:3)-H,841.427367,152.995833,171.006398,143.107753,333.279904,297.110862,353.137076,433.103407,371.147641,487.283013,543.309227,623.275558,561.319792
DLCL-BMPlike(8:0_22:4)-H,839.411717,152.995833,171.006398,143.107753,331.264254,297.110862,353.137076,433.103407,371.147641,485.267363,541.293577,621.259908,559.304142
DLCL-BMPlike(8:0_22:5)-H,837.396067,152.995833,171.006398,143.107753,329.248604,297.110862,353.137076,433.103407,371.147641,483.251713,539.277927,619.244258,557.288492
DLCL-BMPlike(8:0_22:6)-H,835.380417,152.995833,171.006398,143.107753,327.232954,297.110862,353.137076,433.103407,371.147641,481.236063,537.262277,617.228608,555.272842
DLCL-BMPlike(8:0_23:0)-H,861.489967,152.995833,171.006398,143.107753,353.342504,297.110862,353.137076,433.103407,371.147641,507.345613,563.371827,643.338158,581.382392
