CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
MSDIAL_CAR_[M]+.csv,3;4,,TRUE,FALSE,TRUE,Pos,[M]+,MSDIAL_CAR
PEG_Pos.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+?]+,polyethylene glycol: Beta (multiple adducts)
CL_3Na_min2H.csv,3;4;5;6,,TRUE,TRUE,FALSE,Pos,[M+3Na-2H]+,Cardiolipin: further fragments known
LPC_neg_C2H3O2.csv,9,,FALSE,TRUE,FALSE,Neg,[M+C2H3O2]-,Lysophosphatidylcholine
PC_neg_C2H3O2.csv,3,9;10,FALSE,TRUE,FALSE,Neg,[M+C2H3O2]-,Phosphatidylcholine
PlasmanylLPC_neg_C2H3O2.csv,3,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Plasmanyl lysophosphatidylcholine
PlasmanylPC_neg_C2H3O2.csv,3;9,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Plasmanyl phosphatidylcholine
PlasmenylLPC_neg_C2H3O2.csv,3,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Plasmenyl lysophosphatidylcholine
PlasmenylPC_neg_C2H3O2.csv,3;9,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Plasmenyl phosphatidylcholine
DGDG_neg_C2H3O2.csv,9,11;12,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Digalactosyldiacylglycerol
ether_OxPC_neg_C2H3O2_MSDIAL.csv,3;6,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,ether-oxidized phosphatidylcholine
OxPC_neg_C2H3O2.csv,3;7,4;5;6,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,oxidized phosphatidylcholine
SM_neg_C2H3O2.csv,3;4;5,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Sphingomyelin
Cer_ADS_neg_C2H3O2.csv,3;14,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Dihydrosphingosine Fatty acid: a-hydroxy fatty acid
Cer_AP_neg_C2H3O2.csv,3;5,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Phytosphingosine Fatty acid: a-hydroxy fatty acid
Cer_AS_neg_C2H3O2.csv,3,7;15,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Sphingosine Fatty acid: a-hydroxy fatty acid
Cer_BDS_neg_C2H3O2.csv,3;4,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Ceramide beta-hydroxy fatty acid-dihydrosphingosine
Cer_BS_neg_C2H3O2.csv,3;5,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Ceramide beta-hydroxy fatty acid-sphingosine
Cer_EODS_neg_C2H3O2.csv,3;6,5;7;8,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Dihydrosphingosine Fatty acid: esterified w-hydroxy fatty acid
Cer_EOS_neg_C2H3O2.csv,3;6,5;7;8,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Sphingosine Fatty acid: esterified w-hydroxy fatty acid
Cer_NDS_neg_C2H3O2.csv,3;8,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
Cer_NP_neg_C2H3O2.csv,3;6;7,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Backbone: Phytosphingosine Fatty acid: Fatty acid: non-hydroxy fatty acid
Cer_NS_neg_C2H3O2.csv,3;8,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,"Ceramide (Nonhydroxyacyl sphingosine) (duplicate, MS-DIAL version)"
GlcCer_AP_neg_C2H3O2.csv,3;5,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,glucosyl-ceramide Backbone: Phytosphingosine Fatty acid: a-hydroxy fatty acid
GlcCer_NDS_neg_C2H3O2.csv,3;4;6,,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,glucosyl-ceramide Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
GlcCer_NS_neg_C2H3O2.csv,3;4,5;6;7,FALSE,FALSE,FALSE,Neg,[M+C2H3O2]-,Glucosyl-Nonhydroxyacyl sphingosine
DGDG_neg_C2H3O2_Class.csv,5,,FALSE,FALSE,TRUE,Neg,[M+C2H3O2]-,Digalactosyldiacylglycerol
MSDIAL_AHexBRS_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexBRS
MSDIAL_AHexCAS_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexCAS
MSDIAL_AHexCer_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexCer
MSDIAL_AHexCS_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexCS
MSDIAL_AHexSIS_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexSIS
MSDIAL_AHexSTS_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_AHexSTS
MSDIAL_ASM_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_ASM
MSDIAL_BileAcid_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_BileAcid
MSDIAL_Cer_ADS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_ADS
MSDIAL_Cer_AP_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_AP
MSDIAL_Cer_AS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_AS
MSDIAL_Cer_BDS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_BDS
MSDIAL_Cer_BS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_BS
