MLCL,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,T3_RCOO-,T4_OH-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18,LPA(R3+R4),LPA(R3+R4)+56,LPA(R3+R4)+136
MLCL(12:0_12:0_12:0)-H,945.547484,152.995833,171.006398,199.170354,199.170354,199.170354,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,353.173463,409.199677,489.166008
MLCL(12:0_12:0_14:0)-H,973.578784,152.995833,171.006398,199.170354,199.170354,227.201654,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,381.204763,437.230977,517.197308
MLCL(12:0_12:0_14:1)-H,971.563134,152.995833,171.006398,199.170354,199.170354,225.186004,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,379.189113,435.215327,515.181658
MLCL(12:0_12:0_16:0)-H,1001.610084,152.995833,171.006398,199.170354,199.170354,255.232954,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,409.236063,465.262277,545.228608
MLCL(12:0_12:0_16:1)-H,999.594434,152.995833,171.006398,199.170354,199.170354,253.217304,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,407.220413,463.246627,543.212958
MLCL(12:0_12:0_16:2)-H,997.578784,152.995833,171.006398,199.170354,199.170354,251.201654,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,405.204763,461.230977,541.197308
MLCL(12:0_12:0_16:3)-H,995.563134,152.995833,171.006398,199.170354,199.170354,249.186004,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,403.189113,459.215327,539.181658
MLCL(12:0_12:0_16:4)-H,993.547484,152.995833,171.006398,199.170354,199.170354,247.170354,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,401.173463,457.199677,537.166008
MLCL(12:0_12:0_18:0)-H,1029.641384,152.995833,171.006398,199.170354,199.170354,283.264254,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,437.267363,493.293577,573.259908
MLCL(12:0_12:0_18:1)-H,1027.625734,152.995833,171.006398,199.170354,199.170354,281.248604,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,435.251713,491.277927,571.244258
MLCL(12:0_12:0_18:2)-H,1025.610084,152.995833,171.006398,199.170354,199.170354,279.232954,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,433.236063,489.262277,569.228608
MLCL(12:0_12:0_18:3)-H,1023.594434,152.995833,171.006398,199.170354,199.170354,277.217304,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,431.220413,487.246627,567.212958
MLCL(12:0_12:0_18:4)-H,1021.578784,152.995833,171.006398,199.170354,199.170354,275.201654,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,429.204763,485.230977,565.197308
MLCL(12:0_12:0_18:5)-H,1019.563134,152.995833,171.006398,199.170354,199.170354,273.186004,17.003288,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,665.403522,427.189113,483.215327,563.181658
