"MSDIAL_Ac2PIM2","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_Ac2PIM2 14:0_14:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCC(=O)O%11;XLOLLBBFEJBJEP-UHFFFAOYSA-N;C49H91O23P","1077.56106","227.201","915.5082","621.1434","849.3522","1077.561","1","1"
"MSDIAL_Ac2PIM2 14:0_15:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCC(=O)O%11;SXFDGINCGBFFCC-UHFFFAOYSA-N;C50H93O23P","1091.57671","849.3523","863.3679","929.5239","227.201","241.2166","621.1435","1091.577"
"MSDIAL_Ac2PIM2 14:0_16:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCC(=O)O%11;JWXUMTZFOCCKNP-UHFFFAOYSA-N;C51H95O23P","1105.59236","849.3523","877.3835","943.5396","227.201","255.2323","621.1435","1105.592"
"MSDIAL_Ac2PIM2 14:0_17:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCC(=O)O%11;XBOOJJIRFVDRJN-UHFFFAOYSA-N;C52H97O23P","1119.60801","849.3523","891.3992","957.5552","227.201","269.2479","621.1435","1119.608"
"MSDIAL_Ac2PIM2 14:0_18:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCC(=O)O%11;STPRXSXNIQMZDI-UHFFFAOYSA-N;C53H99O23P","1133.62366","849.3523","905.4149","971.5709","227.201","283.2635","621.1435","1133.624"
"MSDIAL_Ac2PIM2 14:0_19:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCC(=O)O%11;OTQDCQXPTFYKJZ-UHFFFAOYSA-N;C54H101O23P","1147.63931","849.3523","919.4305","985.5865","227.201","297.2792","621.1435","1147.639"
"MSDIAL_Ac2PIM2 14:0_20:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCCC(=O)O%11;OITLGSUQKGYEDM-UHFFFAOYSA-N;C55H103O23P","1161.65496","849.3523","933.4462","999.6021","227.201","311.2948","621.1435","1161.655"
"MSDIAL_Ac2PIM2 14:0_16:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCC\C=C/CCCCCC(=O)O%11;CZEZKFWUHUWFID-VLGSPTGOSA-N;C51H93O23P","1103.57671","849.3523","875.3679","941.5239","227.201","253.2166","621.1435","1103.577"
"MSDIAL_Ac2PIM2 14:0_17:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCC\C=C/CCCCCC(=O)O%11;UAGSJLOFXZZBNQ-ZPHPHTNESA-N;C52H95O23P","1117.59236","849.3523","889.3835","955.5396","227.201","267.2323","621.1435","1117.592"
"MSDIAL_Ac2PIM2 14:0_18:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCC\C=C/CCCCCCCCCC(=O)O%11;CNAQJFQGBXDYIB-SQFISAMPSA-N;C53H97O23P","1131.60801","849.3523","903.3992","969.5552","227.201","281.2479","621.1435","1131.608"
"MSDIAL_Ac2PIM2 14:0_18:2;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCC\C=C\C=C\C(=O)O%11;JNVFQGXGLOQLGT-WDTCPIHWSA-N;C53H95O23P","1129.59236","849.3523","901.3835","967.5396","227.201","279.2323","621.1435","1129.592"
