"MSDIAL_DLCL","[M-H]-","1","2","3","4","5","6"
"MSDIAL_DLCL 14:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC;WEWHLNJRECYFDU-UHFFFAOYNA-N;C37H74O15P2","819.44302","819.443","152.9958","381.2048","227.2016","1","1"
"MSDIAL_DLCL 14:0_14:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCC;DDTWGMWMTSDBPC-LUAWRHEFNA-N;C37H72O15P2","817.42737","817.4274","152.9958","225.186","227.2016","379.1891","381.2048"
"MSDIAL_DLCL 14:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC;XYBDALHKNNSMNX-UHFFFAOYNA-N;C39H78O15P2","847.47432","847.4743","152.9958","227.2016","255.233","381.2048","409.2361"
"MSDIAL_DLCL 14:0_16:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/CCCCCCCC;FYHCQWGCOLMUPD-VLGSPTGONA-N;C39H76O15P2","845.45867","845.4587","152.9958","227.2016","253.2173","381.2048","407.2204"
"MSDIAL_DLCL 14:0_16:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CC\C=C\C\C=C/CCCCCCCC;BFYKLDLFHYHQNU-YGNQOUFONA-N;C39H74O15P2","843.44302","843.443","152.9958","227.2016","251.2016","381.2048","405.2048"
"MSDIAL_DLCL 14:0_16:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C=C/C=C/CC;BYKDBLXXGWBCHK-OYJQLFRGNA-N;C39H72O15P2","841.42737","841.4274","152.9958","227.2016","249.186","381.2048","403.1891"
"MSDIAL_DLCL 14:0_16:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C=C\C=C\C=C\CC;RNYYSBITUXJTTH-BGCPUUNWNA-N;C39H70O15P2","839.41172","839.4117","152.9958","227.2016","247.1703","381.2048","401.1735"
"MSDIAL_DLCL 14:0_16:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCC\C=C\C=C/C=C\C=C\C=C\CC;OFOCWGQFCDBYOS-KZICVMQBNA-N;C39H68O15P2","837.39607","837.3961","152.9958","227.2016","245.1547","381.2048","399.1578"
"MSDIAL_DLCL 14:0_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC;HYDRBJIFHJAQHS-UHFFFAOYNA-N;C41H82O15P2","875.50562","875.5056","152.9958","227.2016","283.2643","381.2048","437.2674"
"MSDIAL_DLCL 14:0_18:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/CCCCCC;RLKXHOISTSYHFE-SQFISAMPNA-N;C41H80O15P2","873.48997","873.49","152.9958","227.2016","281.2486","381.2048","435.2517"
"MSDIAL_DLCL 14:0_18:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C\C=C\CCCCC;ZQXLOJUXUGGBHQ-FYNKLQMPNA-N;C41H78O15P2","871.47432","871.4743","152.9958","227.2016","279.2329","381.2048","433.2361"
"MSDIAL_DLCL 14:0_18:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;KAIJQEJRLZNRAQ-LIDDAOQYNA-N;C41H76O15P2","869.45867","869.4587","152.9958","227.2016","277.2173","381.2048","431.2204"
"MSDIAL_DLCL 14:0_18:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;SDGSTLLXQBRYCL-KOSBOOMONA-N;C41H74O15P2","867.44302","867.443","152.9958","227.2016","275.2017","381.2048","429.2048"
"MSDIAL_DLCL 14:0_18:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C\C=C/C=C\C=C\C=C\CC;LXAJEVRRXMBTAL-RMGBWOSNNA-N;C41H72O15P2","865.42737","865.4274","152.9958","227.2016","273.186","381.2048","427.1891"
"MSDIAL_DLCL 14:0_20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC;HTCZIQORCKWHAP-UHFFFAOYNA-N;C43H86O15P2","903.53692","903.5369","152.9958","227.2016","311.2956","381.2048","465.2987"
"MSDIAL_DLCL 14:0_20:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C\CCCCCCCC;DDDKQARKRCBDKK-WUKNDPDINA-N;C43H84O15P2","901.52127","901.5212","152.9958","227.2016","309.2799","381.2048","463.283"
