"MSDIAL_EtherLPE","[M-H]-","1","2","3","4","5"
"MSDIAL_LPE O-2:0;[M-H]-;CCOCC(O)COP(O)(=O)OCCN;FQMLAWZHFWZKHE-UHFFFAOYNA-N;C7H18NO6P","242.07990","242.0799","78.95906","140.0118","181.0271","1"
"MSDIAL_LPE O-3:0;[M-H]-;CCCOCC(O)COP(O)(=O)OCCN;WOBOWZJHTXUCHH-UHFFFAOYNA-N;C8H20NO6P","256.09555","256.0956","78.95906","140.0118","195.0428","1"
"MSDIAL_LPE O-4:0;[M-H]-;CCCCOCC(O)COP(O)(=O)OCCN;KNUTVLCQHRDPGE-UHFFFAOYNA-N;C9H22NO6P","270.11120","270.1112","78.95906","140.0118","209.0584","1"
"MSDIAL_LPE O-5:0;[M-H]-;CCCCCOCC(O)COP(O)(=O)OCCN;IGVCQIOHHGITCJ-UHFFFAOYNA-N;C10H24NO6P","284.12685","284.1269","78.95906","140.0118","223.0741","1"
"MSDIAL_LPE O-6:0;[M-H]-;CCCCCCOCC(O)COP(O)(=O)OCCN;AVJZQEZFPROBRH-UHFFFAOYNA-N;C11H26NO6P","298.14250","298.1425","78.95906","140.0118","237.0897","1"
"MSDIAL_LPE O-7:0;[M-H]-;CCCCCCCOCC(O)COP(O)(=O)OCCN;QDYNYLQFPOPEGR-UHFFFAOYNA-N;C12H28NO6P","312.15815","312.1581","78.95906","140.0118","251.1054","1"
"MSDIAL_LPE O-8:0;[M-H]-;CCCCCCCCOCC(O)COP(O)(=O)OCCN;COQDFASIZRWHHB-UHFFFAOYNA-N;C13H30NO6P","326.17380","326.1738","78.95906","140.0118","265.121","1"
"MSDIAL_LPE O-9:0;[M-H]-;CCCCCCCCCOCC(O)COP(O)(=O)OCCN;KTMRQRHFUNEXJV-UHFFFAOYNA-N;C14H32NO6P","340.18945","340.1895","78.95906","140.0118","279.1367","1"
"MSDIAL_LPE O-10:0;[M-H]-;CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;HEVOWKVGAAMGJP-UHFFFAOYNA-N;C15H34NO6P","354.20510","354.2051","78.95906","140.0118","293.1523","1"
"MSDIAL_LPE O-11:0;[M-H]-;CCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;FVRDTQIYFYKCLZ-UHFFFAOYNA-N;C16H36NO6P","368.22075","368.2208","78.95906","140.0118","307.168","1"
"MSDIAL_LPE O-12:0;[M-H]-;CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;ZUVNFCWZWSEVGX-UHFFFAOYNA-N;C17H38NO6P","382.23640","382.2364","78.95906","140.0118","321.1836","1"
"MSDIAL_LPE O-13:0;[M-H]-;CCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;YHHSLDGIYORYLJ-UHFFFAOYNA-N;C18H40NO6P","396.25205","396.252","78.95906","140.0118","335.1993","1"
"MSDIAL_LPE O-13:1;[M-H]-;CCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;OANOUMGPZGVWTQ-PLNGDYQANA-N;C18H38NO6P","394.23640","394.2364","78.95906","140.0118","333.1836","1"
"MSDIAL_LPE O-14:0;[M-H]-;CCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;UKSGFJCLKUDPDM-UHFFFAOYNA-N;C19H42NO6P","410.26770","410.2677","78.95906","140.0118","349.2149","1"
"MSDIAL_LPE O-14:1;[M-H]-;CCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;MXHINCMRKKYDGQ-WAYWQWQTNA-N;C19H40NO6P","408.25205","408.252","78.95906","140.0118","347.1993","1"
"MSDIAL_LPE O-15:0;[M-H]-;CCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;UGDQTNCVEYMZRG-UHFFFAOYNA-N;C20H44NO6P","424.28335","424.2834","78.95906","140.0118","363.2306","1"
