"MSDIAL_EtherOxPC","[M+CH3COO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-16:0_18:0;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;BTAQEGHVPQFXJS-UHFFFAOYNA-N;C42H86NO8P","822.62296","299.2592","748.5856","281.2486","822.623","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P","820.60731","297.2435","746.57","820.6073","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_18:0;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;NDHWVJBASSTBPI-UHFFFAOYNA-N;C42H86NO9P","838.61787","315.2541","764.5806","279.233","297.2435","838.6179","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P","820.60731","297.2435","746.57","279.233","820.6073","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P","818.59166","295.2279","744.5543","818.5917","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_18:1;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;XYYFPTVKIBZOPH-COOPMVRXNA-N;C42H84NO9P","836.60222","313.2384","762.5649","277.2173","295.2279","836.6022","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:1;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;WKOTXQZZIZZNNW-QNEJGDQONA-N;C42H84NO10P","852.59714","329.2333","778.5598","293.2122","311.2228","852.5972","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P","818.59166","295.2279","744.5543","277.2173","818.5917","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:2;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P","834.58657","311.2228","760.5493","275.2017","293.2122","834.5865","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P","816.57601","293.2122","742.5387","275.2017","816.576","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P","844.60731","321.2435","770.57","303.233","844.6073","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P","842.59166","319.2279","768.5543","842.5917","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:3;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;QVXNZLNSJQMCMV-PLUOGNMPNA-N;C44H84NO9P","860.60222","337.2384","786.5649","301.2173","319.2279","860.6022","448.3186","466.3292","224.0693"
