"MSDIAL_EtherPC","[M+H]+","1","2","3"
"MSDIAL_PC O-10:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;GNSZJQDOCBSIJN-UHFFFAOYNA-N;C18H38NO7P","412.24587","184.0739","412.2459","229.1798"
"MSDIAL_PC O-11:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;XPLOSEHTGSAZNV-UHFFFAOYNA-N;C19H40NO7P","426.26152","184.0739","426.2615","243.1955"
"MSDIAL_PC O-12:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC;CDRQNDIQJVMNET-UHFFFAOYNA-N;C20H42NO7P","440.27717","184.0739","440.2772","257.2111"
"MSDIAL_PC O-13:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC;XCASEPDFHZOEQI-UHFFFAOYNA-N;C21H44NO7P","454.29282","184.0739","454.2928","271.2268"
"MSDIAL_PC O-14:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC;DNZJPXPUYGBVPQ-UHFFFAOYNA-N;C22H46NO7P","468.30847","184.0739","468.3085","285.2424"
"MSDIAL_PC O-15:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC;MWMTZUVIZDAFPE-UHFFFAOYNA-N;C23H48NO7P","482.32412","184.0739","482.3241","299.2581"
"MSDIAL_PC O-15:1;[M+H]+;CCC\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;FBYWJSFLMPLMQY-HJWRWDBZNA-N;C23H46NO7P","480.30847","184.0739","480.3085","297.2424"
"MSDIAL_PC O-16:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC;GDMHMXIBVHRZGP-UHFFFAOYNA-N;C24H50NO7P","496.33977","184.0739","496.3398","313.2737"
"MSDIAL_PC O-16:1;[M+H]+;CCC\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;ZAPMAQAWNNDALV-KTKRTIGZNA-N;C24H48NO7P","494.32412","184.0739","494.3241","311.2581"
"MSDIAL_PC O-17:0;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC;UHSLTHBXDXKKEO-UHFFFAOYNA-N;C25H52NO7P","510.35542","184.0739","510.3554","327.2894"
"MSDIAL_PC O-17:1;[M+H]+;CCC\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC;PNMAFAQYBVBMQN-KTKRTIGZNA-N;C25H50NO7P","508.33977","184.0739","508.3398","325.2737"
"MSDIAL_PC O-18:0;[M+H]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;LIRQQTBXFZSLII-UHFFFAOYNA-N;C26H54NO7P","524.37107","184.0739","524.3711","341.305"
"MSDIAL_PC O-18:1;[M+H]+;CCCCC(=O)OC(COCCCCCCCC\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;ZXKRRQJZHGEFOW-KHPPLWFENA-N;C26H52NO7P","522.35542","184.0739","522.3554","339.2894"
"MSDIAL_PC O-18:2;[M+H]+;CCC\C=C/C\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;JVDZMIANQJZKTI-MURFETPANA-N;C26H50NO7P","520.33977","184.0739","520.3398","337.2737"
"MSDIAL_PC O-18:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;AKBZBIJQCRLKRG-JPFHKJGANA-N;C26H48NO7P","518.32412","184.0739","518.3241","335.2581"
"MSDIAL_PC O-18:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;SCCIPAFJQCLXCM-ZKWNWVNENA-N;C26H46NO7P","516.30847","184.0739","516.3085","333.2424"
"MSDIAL_PC O-19:0;[M+H]+;CCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;IYHPDZVSHYSYRA-UHFFFAOYNA-N;C27H56NO7P","538.38672","184.0739","538.3867","355.3207"
"MSDIAL_PC O-19:1;[M+H]+;CCCCCC(=O)OC(COCCCCCCCC\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;POIMPUHYFVTQOR-KHPPLWFENA-N;C27H54NO7P","536.37107","184.0739","536.3711","353.305"
"MSDIAL_PC O-19:2;[M+H]+;CCC\C=C/C\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;LPGQWKKQPBHETL-UTJQPWESNA-N;C27H52NO7P","534.35542","184.0739","534.3554","351.2894"
"MSDIAL_PC O-19:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;YBISDNZQDGDTGL-ORZIMQNZNA-N;C27H50NO7P","532.33977","184.0739","532.3398","349.2737"
"MSDIAL_PC O-19:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;ZYSGLCFOFMQGMA-GKFVBPDJNA-N;C27H48NO7P","530.32412","184.0739","530.3241","347.2581"
"MSDIAL_PC O-20:0;[M+H]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;XIGMNEQKDIWMQP-UHFFFAOYNA-N;C28H58NO7P","552.40237","184.0739","552.4023","369.3363"
"MSDIAL_PC O-20:1;[M+H]+;CCCCCCC(=O)OC(COCCCCCCCC\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;ZHRPCKORIVBUES-BENRWUELNA-N;C28H56NO7P","550.38672","184.0739","550.3867","367.3207"
"MSDIAL_PC O-20:2;[M+H]+;CCC\C=C/C\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC;WAKAXMGRMDDRSA-UTJQPWESNA-N;C28H54NO7P","548.37107","184.0739","548.3711","365.305"
"MSDIAL_PC O-20:3;[M+H]+;CCCC(=O)OC(COCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;BLELCRPIGKRWIH-ORZIMQNZNA-N;C28H52NO7P","546.35542","184.0739","546.3554","363.2894"
"MSDIAL_PC O-20:4;[M+H]+;CCCC(=O)OC(COCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;YDVXUVKGSHUSRO-GKFVBPDJNA-N;C28H50NO7P","544.33977","184.0739","544.3398","361.2737"
"MSDIAL_PC O-20:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;MONBFTDZIISDNE-NEUKSRIFNA-N;C28H48NO7P","542.32412","184.0739","542.3241","359.2581"
"MSDIAL_PC O-21:0;[M+H]+;CCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;UWXVQZXDRSGWTE-UHFFFAOYNA-N;C29H60NO7P","566.41802","184.0739","566.418","383.352"
"MSDIAL_PC O-21:1;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCC;XZMRZYUHGHNEMZ-BENRWUELNA-N;C29H58NO7P","564.40237","184.0739","564.4023","381.3363"
"MSDIAL_PC O-21:2;[M+H]+;CCCCC(=O)OC(COCCCCCCCC\C=C/C\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;DSKQLRLIKVQZPX-XVTLYKPTNA-N;C29H56NO7P","562.38672","184.0739","562.3867","379.3207"
"MSDIAL_PC O-21:3;[M+H]+;CCCCC(=O)OC(COCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;PPNHJOVFTRCCDD-SEEYPOKLNA-N;C29H54NO7P","560.37107","184.0739","560.3711","377.305"
"MSDIAL_PC O-21:4;[M+H]+;CCCCC(=O)OC(COCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;SVLUHWMARVXWBL-JAWPMMNVNA-N;C29H52NO7P","558.35542","184.0739","558.3554","375.2894"
"MSDIAL_PC O-21:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC;FQRQFJRRQROPDE-QXPWYRSVNA-N;C29H50NO7P","556.33977","184.0739","556.3398","373.2737"
"MSDIAL_PC O-22:0;[M+H]+;CCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;MWIKVPYHZNEETG-UHFFFAOYNA-N;C30H62NO7P","580.43367","184.0739","580.4337","397.3676"
"MSDIAL_PC O-22:1;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC;NEYDFOBNOLKAOF-OWBHPGMINA-N;C30H60NO7P","578.41802","184.0739","578.418","395.352"
"MSDIAL_PC O-22:2;[M+H]+;CCCCCC(=O)OC(COCCCCCCCC\C=C/C\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;LYABCJZZYJMTCY-XVTLYKPTNA-N;C30H58NO7P","576.40237","184.0739","576.4023","393.3363"
"MSDIAL_PC O-22:3;[M+H]+;CCCCCC(=O)OC(COCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;ARXFCGBYCVRQBE-SEEYPOKLNA-N;C30H56NO7P","574.38672","184.0739","574.3867","391.3207"
"MSDIAL_PC O-22:4;[M+H]+;CCCCCC(=O)OC(COCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;JQEVCZIGKRQYPW-JAWPMMNVNA-N;C30H54NO7P","572.37107","184.0739","572.3711","389.305"
"MSDIAL_PC O-22:5;[M+H]+;CCCC(=O)OC(COCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;HCGYVCKZRVBPOW-QXPWYRSVNA-N;C30H52NO7P","570.35542","184.0739","570.3554","387.2894"
"MSDIAL_PC O-23:0;[M+H]+;CCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;RAKFJSWSAKZXMD-UHFFFAOYNA-N;C31H64NO7P","594.44932","184.0739","594.4493","411.3833"
"MSDIAL_PC O-23:1;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC;ZICRQQXWULGEJD-PFONDFGANA-N;C31H62NO7P","592.43367","184.0739","592.4337","409.3676"
"MSDIAL_PC O-23:2;[M+H]+;CCCCCCC(=O)OC(COCCCCCCCC\C=C/C\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C;WVZSUVZRSKWGEZ-CWXQJLEJNA-N;C31H60NO7P","590.41802","184.0739","590.418","407.352"
"MSDIAL_PC O-23:3;[M+H]+;CCCCCCC(=O)OC(COCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;PPKJVSNBEDUQRA-GHDFHXOTNA-N;C31H58NO7P","588.40237","184.0739","588.4023","405.3363"
"MSDIAL_PC O-23:4;[M+H]+;CCCCCCC(=O)OC(COCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;IEKIYZSPSRAECG-KEXYTUSZNA-N;C31H56NO7P","586.38672","184.0739","586.3867","403.3207"
"MSDIAL_PC O-23:5;[M+H]+;CCCCC(=O)OC(COCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;CFDHJTVOAOYKJI-HJNKVCFRNA-N;C31H54NO7P","584.37107","184.0739","584.3711","401.305"
"MSDIAL_PC O-24:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;DBPJWMYLWQWPIV-UHFFFAOYNA-N;C32H66NO7P","608.46497","184.0739","608.465","425.3989"
"MSDIAL_PC O-24:1;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC;LWCLFTALEWMLFT-NXVVXOECNA-N;C32H64NO7P","606.44932","184.0739","606.4493","423.3833"
"MSDIAL_PC O-24:2;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCC;PSOONMFUBOBABQ-LYZHNOTLNA-N;C32H62NO7P","604.43367","184.0739","604.4337","421.3676"
"MSDIAL_PC O-24:3;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;ZDXYXHNCFYKVEV-BLMAZVTDNA-N;C32H60NO7P","602.41802","184.0739","602.418","419.352"
"MSDIAL_PC O-24:4;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;BAQCJAFVOWEHBH-FFSDQCCLNA-N;C32H58NO7P","600.40237","184.0739","600.4023","417.3363"
"MSDIAL_PC O-24:5;[M+H]+;CCCCCC(=O)OC(COCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C;OFOTVHKCTHDWEG-HJNKVCFRNA-N;C32H56NO7P","598.38672","184.0739","598.3867","415.3207"
"MSDIAL_PC O-24:6;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(C)=O;RVOZOWKQLLTZMW-XTJKPUCJNA-N;C32H54NO7P","596.37107","184.0739","596.3711","413.305"
"MSDIAL_PC O-25:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C;JJLFQMAQNTYAOZ-UHFFFAOYNA-N;C33H68NO7P","622.48062","184.0739","622.4806","439.4146"
"MSDIAL_PC O-25:1;[M+H]+;CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCC;BYNRMGDSMVEBBT-MSUUIHNZNA-N;C33H66NO7P","620.46497","184.0739","620.465","437.3989"
