"MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7"
"MSDIAL_HexCer 28:1;3O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AHBIUXVQPWMSGZ-VBMGMRCRNA-N;C48H91NO10","886.66251","840.657","612.4481","468.4058","678.6042","886.6625","227.2017","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;MSBGYZWRJKTHMM-FDDRTDNSNA-N;C48H89NO10","884.64686","838.6414","612.4481","468.4058","676.5886","884.6469","225.186","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;RHNBWBUHAPKKPZ-JSLDZMDGNA-N;C49H93NO10","900.67816","854.6727","612.4481","468.4058","692.6198","900.6782","241.2173","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCC;ODUUFBHZHUBIHB-LYFXMYLBNA-N;C49H91NO10","898.66251","852.657","612.4481","468.4058","690.6042","898.6625","239.2017","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;JMMVDBJWSGPCSW-WIKZRCHHNA-N;C50H95NO10","914.69381","868.6883","612.4481","468.4058","706.6355","914.6938","255.233","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCCC;QJLXHCVRFFQNEW-PHQVLCGENA-N;C50H93NO10","912.67816","866.6727","612.4481","468.4058","704.6198","912.6782","253.2173","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10","910.66251","864.657","612.4481","468.4058","702.6042","910.6625","251.2017","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AXUPFFBOJUJDKZ-LAWMERGMNA-N;C51H97NO10","928.70946","882.704","612.4481","468.4058","720.6511","928.7095","269.2486","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCCCC;HAOYPLBIMPZZTL-VORWFNQUNA-N;C51H95NO10","926.69381","880.6883","612.4481","468.4058","718.6355","926.6938","267.233","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10","924.67816","878.6727","612.4481","468.4058","716.6198","924.6782","265.2173","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 18:0);[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;DJWHMECWSRMZGT-XCWGLRIONA-N;C52H99NO10","942.72511","896.7196","612.4481","468.4058","734.6668","942.7251","283.2643","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 18:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCCCCC;METVCZRFFVVMCY-FULNXAGLNA-N;C52H97NO10","940.70946","894.704","612.4481","468.4058","732.6511","940.7095","281.2486","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 18:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCCC;WNBLMMIQBORIKK-JTAIARCJNA-N;C52H95NO10","938.69381","892.6883","612.4481","468.4058","730.6355","938.6938","279.233","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 19:0);[M+HCOO]-;CCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AOEUHXRHXJYOIJ-IGIMMJHKNA-N;C53H101NO10","956.74076","910.7353","612.4481","468.4058","748.6824","956.7408","297.2799","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 19:1);[M+HCOO]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;XTPRPYKUMWLIJM-YNYMSPSXNA-N;C53H99NO10","954.72511","908.7196","612.4481","468.4058","746.6668","954.7251","295.2643","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 19:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCCCC;LVOYIOWEEGBFER-IANIBWPBNA-N;C53H97NO10","952.70946","906.704","612.4481","468.4058","744.6511","952.7095","293.2486","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 20:0);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;RSDKIAJJUHYMQV-CHJNDSEFNA-N;C54H103NO10","970.75641","924.7509","612.4481","468.4058","762.6981","970.7564","311.2956","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 20:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCCCC\C=C/CCCCCCCC;VFBDGEDSKUOWLL-GVICOXCUNA-N;C54H101NO10","968.74076","922.7353","612.4481","468.4058","760.6824","968.7408","309.2799","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 20:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;VNOYXSIQVNRNAV-XSTWKGCKNA-N;C54H99NO10","966.72511","920.7196","612.4481","468.4058","758.6668","966.7251","307.2643","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 21:0);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;YSEJEICGQNVXQI-SWNXMFJWNA-N;C55H105NO10","984.77206","938.7665","612.4481","468.4058","776.7137","984.772","325.3112","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 21:1);[M+HCOO]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;KPBROLPEXUACRH-ZJKKFWJFNA-N;C55H103NO10","982.75641","936.7509","612.4481","468.4058","774.6981","982.7564","323.2956","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 21:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCC;UFAISRXTMZGGSG-WPZLEZHUNA-N;C55H101NO10","980.74076","934.7353","612.4481","468.4058","772.6824","980.7408","321.2799","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 22:0);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;GYOSOQWCAWCIFA-WUHPQKATNA-N;C56H107NO10","998.78771","952.7822","612.4481","468.4058","790.7294","998.7877","339.3269","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 22:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCCCCCC\C=C/CCCCCCCC;NZFIDZGSXQGQGC-JXVKFFJFNA-N;C56H105NO10","996.77206","950.7665","612.4481","468.4058","788.7137","996.772","337.3112","630.4587"
"MSDIAL_HexCer 28:1;3O(FA 22:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC;GNVOVHGGCLKSLC-BKZCFTMFNA-N;C56H103NO10","994.75641","948.7509","612.4481","468.4058","786.6981","994.7564","335.2956","630.4587"
"MSDIAL_HexCer 28:2;3O(FA 14:0);[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AJUPZVVFMGKOSD-URBWCITDNA-N;C48H89NO10","884.64686","838.6414","610.4324","466.3902","676.5886","884.6469","227.2017","628.443"
"MSDIAL_HexCer 28:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10","882.63121","836.6257","610.4324","466.3902","674.5729","882.6312","225.186","628.443"
"MSDIAL_HexCer 28:2;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;SXNMKNFSWNNMOU-XMNNZMCANA-N;C49H91NO10","898.66251","852.657","610.4324","466.3902","690.6042","898.6625","241.2173","628.443"
"MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10","896.64686","850.6414","610.4324","466.3902","688.5886","896.6469","239.2017","628.443"
"MSDIAL_HexCer 28:2;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;SRWSTDALFWBIDD-OOHKBESXNA-N;C50H93NO10","912.67816","866.6727","610.4324","466.3902","704.6198","912.6782","255.233","628.443"
"MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10","910.66251","864.657","610.4324","466.3902","702.6042","910.6625","253.2173","628.443"
"MSDIAL_HexCer 28:2;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;VCUUNBQPUZJWMV-LFEZXYDHNA-N;C50H89NO10","908.64686","862.6414","610.4324","466.3902","700.5886","908.6469","251.2017","628.443"
