"MSDIAL_NAGly","[M+H]+","1","2","3","4","5"
"MSDIAL_NAGly 10:0/10:0;[M+H]+;OC(=O)CN%20.CCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QAZTWTDHVNKPIL-UHFFFAOYNA-N;C22H41NO5","400.30575","228.1594","76.03931","135.1168","153.1274","400.3058"
"MSDIAL_NAGly 10:0/11:0;[M+H]+;OC(=O)CN%20.CCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;IXBWERZFGSCYQW-UHFFFAOYNA-N;C23H43NO5","414.32140","242.1751","76.03931","149.1325","167.143","414.3214"
"MSDIAL_NAGly 10:0/12:0;[M+H]+;OC(=O)CN%20.CCCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;BSAZIWZJIWQJGE-UHFFFAOYNA-N;C24H45NO5","428.33705","256.1907","76.03931","163.1481","181.1587","428.337"
"MSDIAL_NAGly 10:0/13:0;[M+H]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JSKZSTCCDNSGFX-UHFFFAOYNA-N;C25H47NO5","442.35270","270.2064","76.03931","177.1638","195.1743","442.3527"
"MSDIAL_NAGly 10:0/13:1;[M+H]+;OC(=O)CN%20.CCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WGQLVHHQEZAUPI-LGMDPLHJNA-N;C25H45NO5","440.33705","268.1907","76.03931","175.1481","193.1587","440.337"
"MSDIAL_NAGly 10:0/14:0;[M+H]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5","456.36835","284.222","76.03931","191.1794","209.19","456.3683"
"MSDIAL_NAGly 10:0/14:1;[M+H]+;OC(=O)CN%20.CCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UVOWSHZQTBXVGY-JXAWBTAJNA-N;C26H47NO5","454.35270","282.2064","76.03931","189.1638","207.1743","454.3527"
"MSDIAL_NAGly 10:0/15:0;[M+H]+;OC(=O)CN%20.CCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NOENKXQCZURSEF-UHFFFAOYNA-N;C27H51NO5","470.38400","298.2377","76.03931","205.1951","223.2056","470.384"
"MSDIAL_NAGly 10:0/15:1;[M+H]+;OC(=O)CN%20.CCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FGRPFQJVVOIHRZ-CYVLTUHYNA-N;C27H49NO5","468.36835","296.222","76.03931","203.1794","221.19","468.3683"
"MSDIAL_NAGly 10:0/16:0;[M+H]+;OC(=O)CN%20.CCCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;IFTSRHGQHOOCKA-UHFFFAOYNA-N;C28H53NO5","484.39965","312.2533","76.03931","219.2107","237.2213","484.3997"
"MSDIAL_NAGly 10:0/16:1;[M+H]+;OC(=O)CN%20.CCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;RAAWVQPESCHLJP-SILNSSARNA-N;C28H51NO5","482.38400","310.2377","76.03931","217.1951","235.2056","482.384"
"MSDIAL_NAGly 10:0/16:2;[M+H]+;OC(=O)CN%20.CCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WHNSYZFLDANUSF-OXCASOHBNA-N;C28H49NO5","480.36835","308.222","76.03931","215.1794","233.19","480.3683"
"MSDIAL_NAGly 10:0/16:3;[M+H]+;OC(=O)CN%20.CC/C=C\C/C=C\C%10/C=C\CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WPAIGLYVXNYUSZ-DFUWPPRHNA-N;C28H47NO5","478.35270","306.2064","76.03931","213.1638","231.1743","478.3527"
"MSDIAL_NAGly 10:0/17:0;[M+H]+;OC(=O)CN%20.CCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;KGOZLLFAENJBFN-UHFFFAOYNA-N;C29H55NO5","498.41530","326.269","76.03931","233.2264","251.2369","498.4153"
"MSDIAL_NAGly 10:0/17:1;[M+H]+;OC(=O)CN%20.CCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WSWYIXXBKBQUQI-FXBPSFAMNA-N;C29H53NO5","496.39965","324.2533","76.03931","231.2107","249.2213","496.3997"
"MSDIAL_NAGly 10:0/17:2;[M+H]+;OC(=O)CN%20.CCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UFTACKSMTIPDAO-BYXUICLENA-N;C29H51NO5","494.38400","322.2377","76.03931","229.1951","247.2056","494.384"
"MSDIAL_NAGly 10:0/18:0;[M+H]+;OC(=O)CN%20.CCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JBUNYUYZMRXEEP-UHFFFAOYNA-N;C30H57NO5","512.43095","340.2846","76.03931","247.242","265.2526","512.431"
"MSDIAL_NAGly 10:0/18:1;[M+H]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;VCVCGPUEYCRKJM-PYCFMQQDNA-N;C30H55NO5","510.41530","338.269","76.03931","245.2264","263.2369","510.4153"
"MSDIAL_NAGly 10:0/18:2;[M+H]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JIZYSMCHUQKXIW-SGJAMGDONA-N;C30H53NO5","508.39965","336.2533","76.03931","243.2107","261.2213","508.3997"
"MSDIAL_NAGly 10:0/18:3;[M+H]+;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;YGWPAGQQROALLO-BUBOCCJUNA-N;C30H51NO5","506.38400","334.2377","76.03931","241.1951","259.2056","506.384"
"MSDIAL_NAGly 10:0/19:0;[M+H]+;OC(=O)CN%20.CCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;HKXSYSIVZXRMCH-UHFFFAOYNA-N;C31H59NO5","526.44660","354.3003","76.03931","261.2577","279.2682","526.4466"
"MSDIAL_NAGly 10:0/19:1;[M+H]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OEIRRGMSXXDLMD-NMWGTECJNA-N;C31H57NO5","524.43095","352.2846","76.03931","259.242","277.2526","524.431"
"MSDIAL_NAGly 10:0/19:2;[M+H]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;ZDUGHGDBQKEQNY-XFJMXBJTNA-N;C31H55NO5","522.41530","350.269","76.03931","257.2264","275.2369","522.4153"
"MSDIAL_NAGly 10:0/20:0;[M+H]+;OC(=O)CN%20.CCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NMKALVYJTQSLFF-UHFFFAOYNA-N;C32H61NO5","540.46225","368.3159","76.03931","275.2733","293.2839","540.4623"
"MSDIAL_NAGly 10:0/20:1;[M+H]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OALQNHPYRAZUON-GFMRDNFCNA-N;C32H59NO5","538.44660","366.3003","76.03931","273.2577","291.2682","538.4466"
"MSDIAL_NAGly 10:0/20:2;[M+H]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FHXOVICKICGADN-XQFMOLSUNA-N;C32H57NO5","536.43095","364.2846","76.03931","271.242","289.2526","536.431"
"MSDIAL_NAGly 10:0/20:3;[M+H]+;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;CBVFLAHKNZLDCO-USMXPWDYNA-N;C32H55NO5","534.41530","362.269","76.03931","269.2264","287.2369","534.4153"
"MSDIAL_NAGly 10:0/20:4;[M+H]+;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;VYTVPKZQQRANGB-KUXSOFBKNA-N;C32H53NO5","532.39965","360.2533","76.03931","267.2107","285.2213","532.3997"
"MSDIAL_NAGly 10:0/21:0;[M+H]+;OC(=O)CN%20.CCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;XZDUGSASJHAJJJ-UHFFFAOYNA-N;C33H63NO5","554.47790","382.3316","76.03931","289.289","307.2995","554.4779"
"MSDIAL_NAGly 10:0/21:1;[M+H]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5","552.46225","380.3159","76.03931","287.2733","305.2839","552.4623"
"MSDIAL_NAGly 10:0/21:2;[M+H]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5","550.44660","378.3003","76.03931","285.2577","303.2682","550.4466"
"MSDIAL_NAGly 10:0/22:0;[M+H]+;OC(=O)CN%20.CCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UHZDSABXOZWVHC-UHFFFAOYNA-N;C34H65NO5","568.49355","396.3472","76.03931","303.3046","321.3152","568.4935"
"MSDIAL_NAGly 10:0/22:1;[M+H]+;OC(=O)CN%20.CCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;YLDSKFZNUJNTCD-PEZBUJJGNA-N;C34H63NO5","566.47790","394.3316","76.03931","301.289","319.2995","566.4779"
