"MSDIAL_NAGly","[M-H]-","1","2","3","4","5"
"MSDIAL_NAGly 10:0/10:0;[M-H]-;OC(=O)CN%20.CCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QAZTWTDHVNKPIL-UHFFFAOYNA-N;C22H41NO5","398.29120","226.1449","398.2912","74.02475","171.1391","182.155"
"MSDIAL_NAGly 10:0/11:0;[M-H]-;OC(=O)CN%20.CCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;IXBWERZFGSCYQW-UHFFFAOYNA-N;C23H43NO5","412.30685","240.1605","412.3069","74.02475","171.1391","196.1707"
"MSDIAL_NAGly 10:0/12:0;[M-H]-;OC(=O)CN%20.CCCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;BSAZIWZJIWQJGE-UHFFFAOYNA-N;C24H45NO5","426.32250","254.1762","426.3225","74.02475","171.1391","210.1863"
"MSDIAL_NAGly 10:0/13:0;[M-H]-;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JSKZSTCCDNSGFX-UHFFFAOYNA-N;C25H47NO5","440.33815","268.1918","440.3381","74.02475","171.1391","224.202"
"MSDIAL_NAGly 10:0/13:1;[M-H]-;OC(=O)CN%20.CCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WGQLVHHQEZAUPI-LGMDPLHJNA-N;C25H45NO5","438.32250","266.1762","438.3225","74.02475","171.1391","222.1863"
"MSDIAL_NAGly 10:0/14:0;[M-H]-;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5","454.35380","282.2075","454.3538","74.02475","171.1391","238.2176"
"MSDIAL_NAGly 10:0/14:1;[M-H]-;OC(=O)CN%20.CCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UVOWSHZQTBXVGY-JXAWBTAJNA-N;C26H47NO5","452.33815","280.1918","452.3381","74.02475","171.1391","236.202"
"MSDIAL_NAGly 10:0/15:0;[M-H]-;OC(=O)CN%20.CCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NOENKXQCZURSEF-UHFFFAOYNA-N;C27H51NO5","468.36945","296.2231","468.3694","74.02475","171.1391","252.2333"
"MSDIAL_NAGly 10:0/15:1;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FGRPFQJVVOIHRZ-CYVLTUHYNA-N;C27H49NO5","466.35380","294.2075","466.3538","74.02475","171.1391","250.2176"
"MSDIAL_NAGly 10:0/16:0;[M-H]-;OC(=O)CN%20.CCCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;IFTSRHGQHOOCKA-UHFFFAOYNA-N;C28H53NO5","482.38510","310.2388","482.3851","74.02475","171.1391","266.2489"
"MSDIAL_NAGly 10:0/16:1;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;RAAWVQPESCHLJP-SILNSSARNA-N;C28H51NO5","480.36945","308.2231","480.3694","74.02475","171.1391","264.2333"
"MSDIAL_NAGly 10:0/16:2;[M-H]-;OC(=O)CN%20.CCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WHNSYZFLDANUSF-OXCASOHBNA-N;C28H49NO5","478.35380","306.2075","478.3538","74.02475","171.1391","262.2177"
"MSDIAL_NAGly 10:0/16:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C%10/C=C\CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WPAIGLYVXNYUSZ-DFUWPPRHNA-N;C28H47NO5","476.33815","304.1918","476.3381","74.02475","171.1391","260.202"
"MSDIAL_NAGly 10:0/17:0;[M-H]-;OC(=O)CN%20.CCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;KGOZLLFAENJBFN-UHFFFAOYNA-N;C29H55NO5","496.40075","324.2544","496.4008","74.02475","171.1391","280.2646"
"MSDIAL_NAGly 10:0/17:1;[M-H]-;OC(=O)CN%20.CCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;WSWYIXXBKBQUQI-FXBPSFAMNA-N;C29H53NO5","494.38510","322.2388","494.3851","74.02475","171.1391","278.2489"
"MSDIAL_NAGly 10:0/17:2;[M-H]-;OC(=O)CN%20.CCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UFTACKSMTIPDAO-BYXUICLENA-N;C29H51NO5","492.36945","320.2231","492.3694","74.02475","171.1391","276.2333"
"MSDIAL_NAGly 10:0/18:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JBUNYUYZMRXEEP-UHFFFAOYNA-N;C30H57NO5","510.41640","338.2701","510.4164","74.02475","171.1391","294.2802"
"MSDIAL_NAGly 10:0/18:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;VCVCGPUEYCRKJM-PYCFMQQDNA-N;C30H55NO5","508.40075","336.2544","508.4008","74.02475","171.1391","292.2646"
"MSDIAL_NAGly 10:0/18:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JIZYSMCHUQKXIW-SGJAMGDONA-N;C30H53NO5","506.38510","334.2388","506.3851","74.02475","171.1391","290.2489"
"MSDIAL_NAGly 10:0/18:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;YGWPAGQQROALLO-BUBOCCJUNA-N;C30H51NO5","504.36945","332.2231","504.3694","74.02475","171.1391","288.2333"
"MSDIAL_NAGly 10:0/19:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;HKXSYSIVZXRMCH-UHFFFAOYNA-N;C31H59NO5","524.43205","352.2857","524.4321","74.02475","171.1391","308.2959"
"MSDIAL_NAGly 10:0/19:1;[M-H]-;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OEIRRGMSXXDLMD-NMWGTECJNA-N;C31H57NO5","522.41640","350.2701","522.4164","74.02475","171.1391","306.2802"
"MSDIAL_NAGly 10:0/19:2;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;ZDUGHGDBQKEQNY-XFJMXBJTNA-N;C31H55NO5","520.40075","348.2544","520.4008","74.02475","171.1391","304.2646"
"MSDIAL_NAGly 10:0/20:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NMKALVYJTQSLFF-UHFFFAOYNA-N;C32H61NO5","538.44770","366.3014","538.4477","74.02475","171.1391","322.3116"
"MSDIAL_NAGly 10:0/20:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OALQNHPYRAZUON-GFMRDNFCNA-N;C32H59NO5","536.43205","364.2857","536.4321","74.02475","171.1391","320.2959"
"MSDIAL_NAGly 10:0/20:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FHXOVICKICGADN-XQFMOLSUNA-N;C32H57NO5","534.41640","362.2701","534.4164","74.02475","171.1391","318.2802"
"MSDIAL_NAGly 10:0/20:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;CBVFLAHKNZLDCO-USMXPWDYNA-N;C32H55NO5","532.40075","360.2544","532.4008","74.02475","171.1391","316.2646"
"MSDIAL_NAGly 10:0/20:4;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;VYTVPKZQQRANGB-KUXSOFBKNA-N;C32H53NO5","530.38510","358.2388","530.3851","74.02475","171.1391","314.2489"
"MSDIAL_NAGly 10:0/21:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;XZDUGSASJHAJJJ-UHFFFAOYNA-N;C33H63NO5","552.46335","380.317","552.4634","74.02475","171.1391","336.3272"
"MSDIAL_NAGly 10:0/21:1;[M-H]-;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5","550.44770","378.3014","550.4477","74.02475","171.1391","334.3116"
