"MSDIAL_OxPC","[M+HCOO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 16:0_18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;ZQENSVGHUMKZER-UHFFFAOYNA-N;C42H84NO9P","822.58657","762.5649","255.2323","281.2486","822.5865","224.0693","299.2592","1"
"MSDIAL_PC 16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;YRPWHLYZTYGEIS-UHFFFAOYNA-N;C42H82NO9P","820.57092","760.5493","255.2323","297.2435","820.5709","224.0693","1","1"
"MSDIAL_PC 16:0_18:0;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;PKZDCRDWZRRRNY-UHFFFAOYNA-N;C42H84NO10P","838.58149","297.2435","778.5598","255.2323","279.233","315.2541","838.5815","224.0693"
"MSDIAL_PC 16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;CFZCZDNXDGVEQY-SLEBQGDGNA-N;C42H82NO9P","820.57092","760.5493","255.2323","279.233","820.5709","224.0693","297.2435","1"
"MSDIAL_PC 16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;HZKBHRZARZUXPO-VYIQYICTNA-N;C42H80NO9P","818.55527","758.5336","255.2323","295.2279","818.5553","224.0693","1","1"
"MSDIAL_PC 16:0_18:1;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;UGVNIVDAGPRICQ-VYIQYICTNA-N;C42H82NO10P","836.56584","295.2279","776.5442","255.2323","277.2173","313.2384","836.5659","224.0693"
"MSDIAL_PC 16:0_18:1;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;MDSQKPDNZVPNQN-QNEJGDQONA-N;C42H82NO11P","852.56075","792.5391","255.2323","293.2122","311.2228","852.5607","224.0693","329.2333"
"MSDIAL_PC 16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;YRNDWGBUIFZEKZ-CRWFHCLENA-N;C42H80NO9P","818.55527","758.5336","255.2323","277.2173","818.5553","224.0693","295.2279","1"
"MSDIAL_PC 16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;GMJLRVXYZZADNS-CRWFHCLENA-N;C42H80NO10P","834.55019","293.2122","774.5285","255.2323","275.2017","311.2228","834.5502","224.0693"
"MSDIAL_PC 16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;XNMRFFRAJXHEBK-GEUDNWMBNA-N;C42H78NO9P","816.53962","756.5179","255.2323","275.2017","816.5396","224.0693","293.2122","1"
"MSDIAL_PC 16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;REZDVJZZVDNTBB-HHZFRUDZNA-N;C44H82NO9P","844.57092","784.5493","255.2323","303.233","844.5709","224.0693","321.2435","1"
"MSDIAL_PC 16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;CDBZOUAKOSUWCH-ILTQFSIENA-N;C44H80NO9P","842.55527","782.5336","255.2323","319.2279","842.5553","224.0693","1","1"
"MSDIAL_PC 16:0_20:3;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;MOSZZXDRHPKAAX-ILTQFSIENA-N;C44H82NO10P","860.56584","319.2279","800.5442","255.2323","301.2173","337.2384","860.5659","224.0693"
"MSDIAL_PC 16:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;CIGYOGGWJLGBCC-CVTIFTAMNA-N;C44H80NO10P","858.55019","798.5285","255.2323","317.2122","858.5502","224.0693","335.2228","1"
"MSDIAL_PC 16:0_20:3;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;NJHGFFOICHJLQM-OHXZNRDZNA-N;C44H82NO11P","876.56075","816.5391","255.2323","317.2122","335.2228","876.5607","224.0693","353.2333"
