"MSDIAL_PG","[M+NH4]+","1","2","3","4"
"MSDIAL_PG 2:0_2:0;[M+NH4]+;CC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(C)=O;ZAKBPRIDLSBYQQ-UHFFFAOYNA-N;C10H19O10P","348.10541","159.0663","117.0546","348.1054","1"
"MSDIAL_PG 2:0_3:0;[M+NH4]+;CCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;PNVKRGAOMBKGDL-UHFFFAOYNA-N;C11H21O10P","362.12106","173.0819","117.0546","131.0703","362.1211"
"MSDIAL_PG 2:0_4:0;[M+NH4]+;CCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;NAFFUDQVMPCJPY-UHFFFAOYNA-N;C12H23O10P","376.13671","187.0976","117.0546","145.0859","376.1367"
"MSDIAL_PG 2:0_5:0;[M+NH4]+;CCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;NZWCIEOJNXRDCP-UHFFFAOYNA-N;C13H25O10P","390.15236","201.1132","117.0546","159.1016","390.1524"
"MSDIAL_PG 2:0_6:0;[M+NH4]+;CCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;VNTAUOLUSWPBJX-UHFFFAOYNA-N;C14H27O10P","404.16801","215.1289","117.0546","173.1172","404.168"
"MSDIAL_PG 2:0_7:0;[M+NH4]+;CCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;TVWQXXJQIANYFJ-UHFFFAOYNA-N;C15H29O10P","418.18366","229.1445","117.0546","187.1329","418.1837"
"MSDIAL_PG 2:0_8:0;[M+NH4]+;CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;NOOBTYYWIHYLSY-UHFFFAOYNA-N;C16H31O10P","432.19931","243.1602","117.0546","201.1485","432.1993"
"MSDIAL_PG 2:0_9:0;[M+NH4]+;CCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;KQPVWZWXEZNRGE-UHFFFAOYNA-N;C17H33O10P","446.21496","257.1758","117.0546","215.1642","446.215"
"MSDIAL_PG 2:0_10:0;[M+NH4]+;CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;OHARXCQUUAUREN-UHFFFAOYNA-N;C18H35O10P","460.23061","271.1915","117.0546","229.1798","460.2306"
"MSDIAL_PG 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;OPCLURABTHLKRD-UHFFFAOYNA-N;C19H37O10P","474.24626","285.2071","117.0546","243.1955","474.2462"
"MSDIAL_PG 2:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;DNFBBWJROXPJKI-UHFFFAOYNA-N;C20H39O10P","488.26191","299.2228","117.0546","257.2111","488.2619"
"MSDIAL_PG 2:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;LZRNGLKWODVLSY-UHFFFAOYNA-N;C21H41O10P","502.27756","313.2384","117.0546","271.2268","502.2776"
"MSDIAL_PG 2:0_13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;HKGVCKIAJVYNDG-WAYWQWQTNA-N;C21H39O10P","500.26191","311.2228","117.0546","269.2111","500.2619"
"MSDIAL_PG 2:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;OGXRAIDZURYBTL-UHFFFAOYNA-N;C22H43O10P","516.29321","327.2541","117.0546","285.2424","516.2932"
"MSDIAL_PG 2:0_14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;YHMHYWJMRAMAMZ-SREVYHEPNA-N;C22H41O10P","514.27756","325.2384","117.0546","283.2268","514.2776"
"MSDIAL_PG 2:0_15:0;[M+NH4]+;CCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;RANFHSAJRURIIX-UHFFFAOYNA-N;C23H45O10P","530.30886","341.2697","117.0546","299.2581","530.3088"
"MSDIAL_PG 2:0_15:1;[M+NH4]+;CCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;LNZBKKFRBDVTDQ-FPLPWBNLNA-N;C23H43O10P","528.29321","339.2541","117.0546","297.2424","528.2932"
"MSDIAL_PG 2:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;OIPKRGDSYLHSFZ-UHFFFAOYNA-N;C24H47O10P","544.32451","355.2854","117.0546","313.2737","544.3245"
"MSDIAL_PG 2:0_16:1;[M+NH4]+;CCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;ZUSXGMRIICTWLY-HJWRWDBZNA-N;C24H45O10P","542.30886","353.2697","117.0546","311.2581","542.3088"
"MSDIAL_PG 2:0_16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;DGKXDVSZBYOHND-AFJQJTPPNA-N;C24H43O10P","540.29321","351.2541","117.0546","309.2424","540.2932"
"MSDIAL_PG 2:0_16:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;FMSYXVMIPZHTJI-YSTUJMKBNA-N;C24H41O10P","538.27756","349.2384","117.0546","307.2268","538.2776"
"MSDIAL_PG 2:0_16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC(COC(C)=O)COP(O)(=O)OCC(O)CO;ILMPWQFGYWDOOQ-GJDCDIHCNA-N;C24H39O10P","536.26191","347.2228","117.0546","305.2111","536.2619"
