"MSDIAL_PI","[M+Na]+","1","2","3","4"
"MSDIAL_PI 10:0;[M+Na]+;CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;XHICZQQQPAQATK-UHFFFAOYNA-N;C19H35O13P","525.17075","283.019","525.1708","243.1591","265.141"
"MSDIAL_PI 11:0;[M+Na]+;CCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FGPBCTLEMSBIQQ-UHFFFAOYNA-N;C20H37O13P","539.18640","283.019","539.1864","257.1747","279.1567"
"MSDIAL_PI 12:0;[M+Na]+;CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WMGDGZNBLVACDJ-UHFFFAOYNA-N;C21H39O13P","553.20205","283.019","553.202","271.1904","293.1723"
"MSDIAL_PI 13:0;[M+Na]+;CCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BGVSEDNIVPLYLR-UHFFFAOYNA-N;C22H41O13P","567.21770","283.019","567.2177","285.206","307.188"
"MSDIAL_PI 14:0;[M+Na]+;CCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;PKNHRLMEOCDWOO-UHFFFAOYNA-N;C23H43O13P","581.23335","283.019","581.2333","299.2217","321.2036"
"MSDIAL_PI 15:0;[M+Na]+;CCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CXKARNICNPAJTF-UHFFFAOYNA-N;C24H45O13P","595.24900","283.019","595.249","313.2373","335.2193"
"MSDIAL_PI 15:1;[M+Na]+;CCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BMNZCPHOZNZQKT-WAYWQWQTNA-N;C24H43O13P","593.23335","283.019","593.2333","311.2217","333.2036"
"MSDIAL_PI 16:0;[M+Na]+;CCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CGWWRLUYFWMGKX-UHFFFAOYNA-N;C25H47O13P","609.26465","283.019","609.2646","327.253","349.2349"
"MSDIAL_PI 16:1;[M+Na]+;CCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FMNQZTPRYXGJIO-SREVYHEPNA-N;C25H45O13P","607.24900","283.019","607.249","325.2373","347.2193"
"MSDIAL_PI 17:0;[M+Na]+;CCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MEXJOSBHHXJXPY-UHFFFAOYNA-N;C26H49O13P","623.28030","283.019","623.2803","341.2686","363.2506"
"MSDIAL_PI 17:1;[M+Na]+;CCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MABXDOHFWSZQPC-FPLPWBNLNA-N;C26H47O13P","621.26465","283.019","621.2646","339.253","361.2349"
"MSDIAL_PI 18:0;[M+Na]+;CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WHVLWEKRXXHHLO-UHFFFAOYNA-N;C27H51O13P","637.29595","283.019","637.296","355.2843","377.2662"
"MSDIAL_PI 18:1;[M+Na]+;CCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FJZDKIOHXTYFMV-HJWRWDBZNA-N;C27H49O13P","635.28030","283.019","635.2803","353.2686","375.2506"
"MSDIAL_PI 18:2;[M+Na]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;AJIIGTWKCIIOSV-AFJQJTPPNA-N;C27H47O13P","633.26465","283.019","633.2646","351.253","373.2349"
"MSDIAL_PI 18:3;[M+Na]+;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;GGZXHKFOMXQAQM-YSTUJMKBNA-N;C27H45O13P","631.24900","283.019","631.249","349.2373","371.2193"
"MSDIAL_PI 18:4;[M+Na]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ZCGGBJRVNDTGET-GJDCDIHCNA-N;C27H43O13P","629.23335","283.019","629.2333","347.2217","369.2036"
"MSDIAL_PI 19:0;[M+Na]+;CCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ABIRKXCBKMVJLN-UHFFFAOYNA-N;C28H53O13P","651.31160","283.019","651.3116","369.2999","391.2819"
"MSDIAL_PI 19:1;[M+Na]+;CCCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;OVUOCWWISAPTQQ-KTKRTIGZNA-N;C28H51O13P","649.29595","283.019","649.296","367.2843","389.2662"
"MSDIAL_PI 19:2;[M+Na]+;CCCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;HESXQPONNIEUKN-HZJYTTRNNA-N;C28H49O13P","647.28030","283.019","647.2803","365.2686","387.2506"
"MSDIAL_PI 19:3;[M+Na]+;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OC(COC(=O)CC)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;OVWQWNAGWWYFBX-AGRJPVHONA-N;C28H47O13P","645.26465","283.019","645.2646","363.253","385.2349"
"MSDIAL_PI 19:4;[M+Na]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC(COC(=O)CC)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FWZLSDOTZIWPNE-AFSLFLIVNA-N;C28H45O13P","643.24900","283.019","643.249","361.2373","383.2193"
"MSDIAL_PI 20:0;[M+Na]+;CCCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;VGNTUUFICLVWAC-UHFFFAOYNA-N;C29H55O13P","665.32725","283.019","665.3273","383.3156","405.2975"
"MSDIAL_PI 20:1;[M+Na]+;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;YTYJKHQTNXDQTJ-KHPPLWFENA-N;C29H53O13P","663.31160","283.019","663.3116","381.2999","403.2819"
