"row.ID","row.m.z","row.retention.time","All.identity.elements","posIEB_DD_2.mzXML.Peak.height","posIEB_DD_3.mzXML.Peak.height","posIEB_DD_4.mzXML.Peak.height","posIEB_DD_6.mzXML.Peak.height","pos_DD_1.mzXML.Peak.height","pos_DD_3.mzXML.Peak.height","posIEB_DD_1.mzXML.Peak.height","posIEB_DD_5.mzXML.Peak.height","pos_DD_4.mzXML.Peak.height","pos_DD_5.mzXML.Peak.height","pos_DD_2.mzXML.Peak.height","pos_DD_6.mzXML.Peak.height","NA.","ID_Ranked","Intensity_Ranked","Class_At_Max_Intensity","Adduct_At_Max_Intensity","Only_One_Class","Molecular","Adducts Confirmed by MS/MS"
702,400.342168172201,0.844738888888889,NA,3926295.3452381,3949962.79166667,4027160.25818452,4110969.84263393,4244496.79389881,4400048.15178571,4219683.62723214,4296516.0625,4351492.0610119,4587952.31845238,4551975.08928571,4722423.08928571,NA,"1_AcCar(16:0)+H | 3_MSDIAL_CAR 16:0;[M]+;CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C;XOMRRQXKHMYMOC-UHFFFAOYNA-O;C23H46NO4","1704488.63 | 1567463.3","AcCar","[M+H]+","No","AcCar(16:0)","[M+H]+"
433,424.341979980469,0.681104166666667,NA,8175588.96428571,8539912.91666666,8505266.94940476,8769529.28869048,8828224.84579613,9047349.09523809,8894863.50892857,9033064.46428571,9014697.73809524,8861555.61904762,8993411.20238095,8780657.13392857,NA,"1_AcCar(18:2)+H | 3_MSDIAL_CAR 18:2;[M]+;CCCCC\C=C\C=C\CCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C;HQMPRWWWVKTZAS-HULFFUFUNA-O;C25H46NO4 | 1_PEG(n=3_NH4+_CH2=19_DBE=5_) | 1_MG(22:4)+NH4","2435033.14 | 2389714.1 | 1953391.411 | 1951617.986","AcCar","[M+H]+","No","AcCar(18:2)","[M+H]+"
638,426.357716878255,0.896168055555556,NA,4469875.22470238,4550556.6547619,4555781.1860119,4462314.16369048,4652841.33333333,4755897.45833333,4719566.25595238,4780986.68080357,4804179.17857143,5108575.99404762,4959209.82142857,5135039.70907738,NA,"1_AcCar(18:1)+H | 3_MSDIAL_CAR 18:1;[M]+;CCCCCC\C=C/CCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C;HOAMADDCQBUDDY-KHPPLWFENA-O;C25H48NO4 | 1_PEG(n=3_NH4+_CH2=19_DBE=4_)","1407690.606 | 1342414.1 | 1112228.905","AcCar","[M+H]+","No","AcCar(18:1)","[M+H]+"
877,428.373582204183,1.30152083333333,NA,2775918.49404762,2842908.95982143,2809101.00892857,2813997.65029762,2838767.2827381,3033025.23065476,2734437.11011905,2951458.37202381,3031848.89434524,3002459.42429315,3093062.24702381,2963034.99553571,NA,"1_AcCar(18:0)+H | 3_MSDIAL_CAR 18:0;[M]+;CCCCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C;FNPHNLNTJNMAEE-UHFFFAOYNA-O;C25H50NO4","954590.815 | 892778.3","AcCar","[M+H]+","No","AcCar(18:0)","[M+H]+"
9156,286.201148408256,0.323027777777778,NA,2852588,1436940.12537202,2781912,1338646.19047619,1453727.27464658,2608908,3002565.75,1667938.80691964,214261.265625,2251027.36011905,2559993.75,1975040.375,NA,"1_AcCar(8:1)+H | 3_MSDIAL_CAR 8:1;[M]+;CCC\C=C\CCC(=O)OC(CC(O)=O)C[N+](C)(C)C;YAZIZQKDCOMBCP-BQYQJAHWNA-O;C15H28NO4","26243.6215 | 23181.649","AcCar","[M+H]+","No","AcCar(8:1)","[M+H]+"
416,642.618998209635,14.3575652777778,NA,8527786.67261905,9207072.10044643,9087776.91071429,9084982.01785714,9445597.19940476,9484285.85714286,8470882.46577381,8723234.75595238,9406240.5297619,8353956.46428571,8471304.22321429,9052849.32142857,NA,"1_CE(16:0)+NH4","2558528.361","CE","[M+NH4]+","Yes","CE(16:0)","[M+NH4]+"
111,668.634518941244,14.3471833333333,NA,68420948.5238095,72990809.5714286,72357711.2380952,75023737.1428571,76711575.2380952,75356070.4285714,70600554.8809524,72566063.827381,75487846.7142857,67496774.5952381,69248272.4047619,72680384.8214286,NA,"1_CE(18:1)+NH4","14649078.15","CE","[M+NH4]+","Yes","CE(18:1)","[M+NH4]+"
24,666.61897277832,13.7432125,NA,403693492.571429,427836144.761905,412975267.047619,433919444.571429,443670556,429193209.714286,454965418.666667,455878626.666667,469408825.523809,481926298.285714,484483932.571429,439930489.142857,NA,"1_CE(18:2)+NH4","99123212.3","CE","[M+NH4]+","Yes","CE(18:2)","[M+NH4]+"
218,664.603123982747,13.1669736111111,NA,22875397.6904762,21806050.9761905,24580813.0595238,26639172.6071429,25671152.9761905,24447038.7142857,22680993.9702381,24322407.7619048,26199548.9761905,23341056.5833333,24843484.5,23254364.6904762,NA,"1_CE(18:3)+NH4","6924063.85","CE","[M+NH4]+","Yes","CE(18:3)","[M+NH4]+"
191,692.634320576986,13.8388430555556,NA,28725341.2261905,33928152.8571429,32228287.8452381,30252722.7619048,32173247.9345238,34119155.6666667,30888490.5595238,33545737.1130952,31496183.9166667,29948684.5892857,33350500.3452381,33608860.6845238,NA,"1_CE(20:3)+NH4","7888098.59","CE","[M+NH4]+","Yes","CE(20:3)","[M+NH4]+"
