"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-AS","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer-AS(d14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d14:1/29:0)-H","678.64","660.6295","646.6138","630.6189","240.1969","224.202","453.4313","452.4473","212.202","435.4207","183.1754","181.1598","407.4258","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d15:1/28:0)-H","678.64","660.6295","646.6138","630.6189","254.2126","238.2176","439.4157","438.4317","226.2176","421.4051","197.1911","195.1754","393.4102","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d16:1/27:0)-H","678.64","660.6295","646.6138","630.6189","268.2282","252.2333","425.4","424.416","240.2333","407.3895","211.2067","209.1911","379.3945","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d17:1/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d17:1/26:0)-H","678.64","660.6295","646.6138","630.6189","282.2439","266.2489","411.3844","410.4004","254.2489","393.3738","225.2224","223.2067","365.3789","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d18:1/25:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d18:1/25:0)-H","678.64","660.6295","646.6138","630.6189","296.2595","280.2646","397.3687","396.3847","268.2646","379.3582","239.238","237.2224","351.3633","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d19:1/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d19:1/24:0)-H","678.64","660.6295","646.6138","630.6189","310.2751","294.2802","383.3531","382.369","282.2802","365.3425","253.2537","251.238","337.3476","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d20:1/23:0)-H","678.64","660.6295","646.6138","630.6189","324.2908","308.2959","369.3374","368.3534","296.2959","351.3269","267.2693","265.2537","323.3319","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d21:1/22:0)-H","678.64","660.6295","646.6138","630.6189","338.3065","322.3116","355.3218","354.3378","310.3116","337.3112","281.285","279.2693","309.3163","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d22:1/21:0)-H","678.64","660.6295","646.6138","630.6189","352.3221","336.3272","341.3061","340.3221","324.3272","323.2956","295.3006","293.285","295.3006","10.9600636363636","11.2600636363636","1038"
"","Cer-AS(d23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-AS(d23:1/20:0)-H","678.64","660.6295","646.6138","630.6189","366.3378","350.3428","327.2905","326.3065","338.3428","309.2799","309.3163","307.3006","281.285","10.9600636363636","11.2600636363636","1038"
