"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d14:0/28:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d14:0/28:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d14:0/28:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d14:0/28:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d14:0/28:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d14:0/28:0)+HCO2","712.6455","666.64","286.2388","254.2126","244.2282","183.1754","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d14:0/28:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d14:0/28:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d14:0/28:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d14:0/28:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d14:0/28:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d14:0/28:1)+HCO2","710.6299","664.6244","286.2388","254.2126","244.2282","183.1754","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d15:0/27:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d15:0/27:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d15:0/27:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d15:0/27:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d15:0/27:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d15:0/27:0)+HCO2","712.6455","666.64","300.2544","268.2282","258.2439","197.1911","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d15:0/27:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d15:0/27:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d15:0/27:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d15:0/27:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d15:0/27:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d15:0/27:1)+HCO2","710.6299","664.6244","300.2544","268.2282","258.2439","197.1911","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d16:0/26:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d16:0/26:0)+HCO2","712.6455","666.64","314.2701","282.2439","272.2595","211.2068","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d16:0/26:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d16:0/26:1)+HCO2","710.6299","664.6244","314.2701","282.2439","272.2595","211.2068","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d17:0/25:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d17:0/25:0)+HCO2","712.6455","666.64","328.2857","296.2595","286.2751","225.2224","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d17:0/25:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d17:0/25:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d17:0/25:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d17:0/25:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d17:0/25:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d17:0/25:1)+HCO2","710.6299","664.6244","328.2857","296.2595","286.2751","225.2224","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d18:0/24:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d18:0/24:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d18:0/24:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d18:0/24:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d18:0/24:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d18:0/24:0)+HCO2","712.6455","666.64","342.3014","310.2751","300.2908","239.2381","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d18:0/24:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d18:0/24:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d18:0/24:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d18:0/24:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d18:0/24:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d18:0/24:1)+HCO2","710.6299","664.6244","342.3014","310.2751","300.2908","239.2381","10.7806166666667","11.0806166666667","1422"
