"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d14:0/29:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d14:0/29:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d14:0/29:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d14:0/29:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d14:0/29:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d14:0/29:0)-H","680.6557","286.2388","254.2126","244.2282","183.1754","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d14:0/29:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d14:0/29:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d14:0/29:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d14:0/29:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d14:0/29:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d14:0/29:1)-H","678.64","286.2388","254.2126","244.2282","183.1754","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d15:0/28:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d15:0/28:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d15:0/28:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d15:0/28:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d15:0/28:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d15:0/28:0)-H","680.6557","300.2544","268.2282","258.2439","197.1911","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d15:0/28:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d15:0/28:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d15:0/28:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d15:0/28:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d15:0/28:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d15:0/28:1)-H","678.64","300.2544","268.2282","258.2439","197.1911","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d16:0/27:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d16:0/27:0)-H","680.6557","314.2701","282.2439","272.2595","211.2068","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d16:0/27:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d16:0/27:1)-H","678.64","314.2701","282.2439","272.2595","211.2068","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d17:0/26:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d17:0/26:0)-H","680.6557","328.2857","296.2595","286.2751","225.2224","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d17:0/26:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d17:0/26:1)-H","678.64","328.2857","296.2595","286.2751","225.2224","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d18:0/25:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d18:0/25:0)-H","680.6557","342.3014","310.2751","300.2908","239.2381","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d18:0/25:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d18:0/25:1)-H","678.64","342.3014","310.2751","300.2908","239.2381","10.9600636363636","11.2600636363636","1038"
