"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Average m/z","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BS","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment"
"","Cer-BS(d14:1/29:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d14:1/29:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d14:1/29:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d14:1/29:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d14:1/29:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d14:1/29:0)-H","678.64","660.6295","284.2231","254.2126","207.1754","181.1598","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d15:1/28:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d15:1/28:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d15:1/28:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d15:1/28:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d15:1/28:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d15:1/28:0)-H","678.64","660.6295","298.2388","268.2282","221.1911","195.1754","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d16:1/27:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d16:1/27:0)-H","678.64","660.6295","312.2544","282.2439","235.2067","209.1911","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d17:1/26:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d17:1/26:0)-H","678.64","660.6295","326.2701","296.2595","249.2224","223.2067","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d18:1/25:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d18:1/25:0)-H","678.64","660.6295","340.2857","310.2751","263.238","237.2224","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d19:1/24:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d19:1/24:0)-H","678.64","660.6295","354.3014","324.2908","277.2537","251.238","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d20:1/23:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d20:1/23:0)-H","678.64","660.6295","368.317","338.3065","291.2693","265.2537","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d21:1/22:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d21:1/22:0)-H","678.64","660.6295","382.3327","352.3221","305.285","279.2693","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d22:1/21:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d22:1/21:0)-H","678.64","660.6295","396.3483","366.3378","319.3006","293.285","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d23:1/20:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d23:1/20:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d23:1/20:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d23:1/20:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d23:1/20:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d23:1/20:0)-H","678.64","660.6295","410.364","380.3534","333.3163","307.3006","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d24:1/19:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d24:1/19:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d24:1/19:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d24:1/19:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d24:1/19:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d24:1/19:0)-H","678.64","660.6295","424.3796","394.369","347.3319","321.3163","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d25:1/18:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d25:1/18:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d25:1/18:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d25:1/18:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d25:1/18:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d25:1/18:0)-H","678.64","660.6295","438.3953","408.3847","361.3476","335.3319","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d26:1/17:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d26:1/17:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d26:1/17:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d26:1/17:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d26:1/17:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d26:1/17:0)-H","678.64","660.6295","452.4109","422.4004","375.3633","349.3476","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d27:1/16:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d27:1/16:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d27:1/16:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d27:1/16:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d27:1/16:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d27:1/16:0)-H","678.64","660.6295","466.4266","436.416","389.3789","363.3633","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d28:1/15:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d28:1/15:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d28:1/15:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d28:1/15:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d28:1/15:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d28:1/15:0)-H","678.64","660.6295","480.4422","450.4317","403.3945","377.3789","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d29:1/14:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d29:1/14:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d29:1/14:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d29:1/14:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d29:1/14:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d29:1/14:0)-H","678.64","660.6295","494.4579","464.4473","417.4102","391.3945","10.9600636363636","11.2600636363636","1038"
"","Cer-BS(d30:1/13:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d30:1/13:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d30:1/13:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d30:1/13:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d30:1/13:0)-H",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BS(d30:1/13:0)-H","678.64","660.6295","508.4735","478.463","431.4258","405.4102","10.9600636363636","11.2600636363636","1038"
