"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EODS(d14:0/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:2-O-14:0)+HCO2","750.6248","704.6193","494.4209","292.2282","227.2017","266.2126","183.1754","11.0025560606061","11.3025560606061","394"
"","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2","778.6561","732.6506","522.4522","320.2595","227.2017","294.2439","183.1754","11.6581515151515","11.9581515151515","2922"
"","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:2-O-14:0)+HCO2","778.6561","732.6506","522.4522","320.2595","227.2017","294.2439","183.1754","11.8050363636364","12.1050363636364","2984"
"","Cer-EODS(d14:0/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/13:1-O-14:1)+HCO2","708.5778","662.5723","454.3896","252.1969","225.186","226.1813","183.1754","9.63075303030303","9.93075303030303","2513"
"","Cer-EODS(d14:0/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/15:1-O-14:1)+HCO2","736.6091","690.6036","482.4209","280.2282","225.186","254.2126","183.1754","10.5703878787879","10.8703878787879","306"
"","Cer-EODS(d14:0/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/16:1-O-14:1)+HCO2","750.6248","704.6193","496.4366","294.2439","225.186","268.2282","183.1754","11.0025560606061","11.3025560606061","394"
"","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2","748.6091","702.6036","494.4209","292.2282","225.186","266.2126","183.1754","10.6981590909091","10.9981590909091","136"
"","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EODS(d14:0/16:2-O-14:1)+HCO2","748.6091","702.6036","494.4209","292.2282","225.186","266.2126","183.1754","10.5236848484849","10.8236848484849","675"
"","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2","778.6561","732.6506","524.4679","322.2751","225.186","296.2595","183.1754","11.6581515151515","11.9581515151515","2922"
"","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/18:1-O-14:1)+HCO2","778.6561","732.6506","524.4679","322.2751","225.186","296.2595","183.1754","11.8050363636364","12.1050363636364","2984"
