"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EOS(d14:1/13:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:1-O-14:0)+HCO2","708.5778","662.5723","452.374","252.1969","227.2017","226.1813","181.1598","9.63075303030303","9.93075303030303","2513"
"","Cer-EOS(d14:1/15:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:1-O-14:0)+HCO2","736.6091","690.6036","480.4053","280.2282","227.2017","254.2126","181.1598","10.5703878787879","10.8703878787879","306"
"","Cer-EOS(d14:1/16:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:1-O-14:0)+HCO2","750.6248","704.6193","494.4209","294.2439","227.2017","268.2282","181.1598","11.0025560606061","11.3025560606061","394"
"","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2","748.6091","702.6036","492.4053","292.2282","227.2017","266.2126","181.1598","10.6981590909091","10.9981590909091","136"
"","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:2-O-14:0)+HCO2","748.6091","702.6036","492.4053","292.2282","227.2017","266.2126","181.1598","10.5236848484849","10.8236848484849","675"
"","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2","778.6561","732.6506","522.4522","322.2751","227.2017","296.2595","181.1598","11.6581515151515","11.9581515151515","2922"
"","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:1-O-14:0)+HCO2","778.6561","732.6506","522.4522","322.2751","227.2017","296.2595","181.1598","11.8050363636364","12.1050363636364","2984"
"","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2","776.6404","730.6349","520.4366","320.2595","227.2017","294.2439","181.1598","11.3751787878788","11.6751787878788","222"
"","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:2-O-14:0)+HCO2","776.6404","730.6349","520.4366","320.2595","227.2017","294.2439","181.1598","11.5348393939394","11.8348393939394","2693"
"","Cer-EOS(d14:1/13:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EOS(d14:1/13:0-O-14:1)+HCO2","708.5778","662.5723","454.3896","254.2126","225.186","228.1969","181.1598","9.63075303030303","9.93075303030303","2513"
