"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Average m/z","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NP","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment"
"","Cer-NP(t14:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t14:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t14:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t14:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t14:0/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t14:0/28:0)+HCO2","712.6455","666.64","648.6295","630.6189","478.4619","466.4619","466.4619","448.4513","211.1693","423.4207","199.1693","422.4362","169.1587","10.6707424242424","10.9707424242424","1131"
"","Cer-NP(t14:0/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:0/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:0/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:0/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:0/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:0/28:1)+HCO2","710.6299","664.6244","646.6138","628.6033","476.4462","464.4462","464.4462","446.4356","211.1693","421.4051","199.1693","420.4205","169.1587","10.7806166666667","11.0806166666667","1422"
"","Cer-NP(t14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-NP(t14:1/28:0)+HCO2","710.6299","664.6244","646.6138","628.6033","478.4619","466.4619","466.4619","448.4513","209.1536","423.4207","197.1536","422.4362","167.1431","10.7806166666667","11.0806166666667","1422"
"","Cer-NP(t14:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:1/30:2)+HCO2","734.6299","688.6244","670.6138","652.6033","502.4619","490.4619","490.4619","472.4513","209.1536","447.4207","197.1536","446.4362","167.1431","11.3263590909091","11.6263590909091","1402"
"","Cer-NP(t14:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-NP(t14:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-NP(t14:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-NP(t14:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-NP(t14:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-NP(t14:2/29:1)+HCO2","720.6142","674.6088","656.5981","638.5876","490.4619","478.4619","478.4619","460.4513","207.138","435.4207","195.138","434.4362","165.1274","10.9162772727273","11.2162772727273","972"
"","Cer-NP(t14:2/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:2/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:2/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:2/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:2/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-NP(t14:2/30:1)+HCO2","734.6299","688.6244","670.6138","652.6033","504.4775","492.4775","492.4775","474.4669","207.138","449.4364","195.138","448.4518","165.1274","11.3263590909091","11.6263590909091","1402"
"","Cer-NP(t14:2/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-NP(t14:2/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-NP(t14:2/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-NP(t14:2/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-NP(t14:2/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-NP(t14:2/30:2)+HCO2","732.6142","686.6088","668.5981","650.5876","502.4619","490.4619","490.4619","472.4513","207.138","447.4207","195.138","446.4362","165.1274","10.5313909090909","10.8313909090909","1290"
"","Cer-NP(t14:2/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-NP(t14:2/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-NP(t14:2/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-NP(t14:2/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-NP(t14:2/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-NP(t14:2/31:1)+HCO2","748.6455","702.64","684.6295","666.6189","518.4932","506.4932","506.4932","488.4826","207.138","463.4521","195.138","462.4675","165.1274","11.7283893939394","12.0283893939394","790"
"","Cer-NP(t14:2/38:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-NP(t14:2/38:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-NP(t14:2/38:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-NP(t14:2/38:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-NP(t14:2/38:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-NP(t14:2/38:2)+HCO2","844.7394","798.7339","780.7234","762.7128","614.5871","602.5871","602.5871","584.5765","207.138","559.546","195.138","558.5614","165.1274","12.0117515151515","12.3117515151515","1639"
"","Cer-NP(t15:0/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t15:0/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t15:0/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t15:0/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t15:0/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-NP(t15:0/27:0)+HCO2","712.6455","666.64","648.6295","630.6189","464.4462","452.4462","452.4462","434.4356","225.1849","409.4051","213.1849","408.4205","183.1743","10.6707424242424","10.9707424242424","1131"
