"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Average m/z","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment"
"","Cer-NP(t14:0/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t14:0/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t14:0/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t14:0/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t14:0/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t14:0/29:0)-H","680.6557","662.6451","644.6345","492.4775","480.4775","480.4775","462.4669","211.1693","437.4364","199.1693","436.4518","169.1587","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t14:0/29:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:0/29:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:0/29:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:0/29:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:0/29:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:0/29:1)-H","678.64","660.6295","642.6189","490.4619","478.4619","478.4619","460.4513","211.1693","435.4207","199.1693","434.4362","169.1587","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:1/29:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t14:1/29:0)-H","678.64","660.6295","642.6189","492.4775","480.4775","480.4775","462.4669","209.1536","437.4364","197.1536","436.4518","167.1431","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t15:0/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t15:0/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t15:0/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t15:0/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t15:0/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t15:0/28:0)-H","680.6557","662.6451","644.6345","478.4619","466.4619","466.4619","448.4513","225.1849","423.4207","213.1849","422.4362","183.1743","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t15:0/28:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:0/28:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:0/28:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:0/28:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:0/28:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:0/28:1)-H","678.64","660.6295","642.6189","476.4462","464.4462","464.4462","446.4356","225.1849","421.4051","213.1849","420.4205","183.1743","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:1/28:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t15:1/28:0)-H","678.64","660.6295","642.6189","478.4619","466.4619","466.4619","448.4513","223.1693","423.4207","211.1693","422.4362","181.1587","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t16:0/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t16:0/27:0)-H","680.6557","662.6451","644.6345","464.4462","452.4462","452.4462","434.4356","239.2006","409.4051","227.2006","408.4205","197.19","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:0/27:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:0/27:1)-H","678.64","660.6295","642.6189","462.4306","450.4306","450.4306","432.42","239.2006","407.3895","227.2006","406.4049","197.19","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:1/27:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t16:1/27:0)-H","678.64","660.6295","642.6189","464.4462","452.4462","452.4462","434.4356","237.1849","409.4051","225.1849","408.4205","195.1743","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t17:0/26:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t17:0/26:0)-H","680.6557","662.6451","644.6345","450.4306","438.4306","438.4306","420.42","253.2162","395.3895","241.2162","394.4049","211.2056","11.7277909090909","12.0277909090909","1062"
