"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","RT at Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Number of Scans","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Average m/z","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment"
"","FAHFA(2:0/17:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(2:0/17:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(2:0/17:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(2:0/17:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(2:0/17:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(2:0/17:0)-H","327.2541","285.2435","267.2329","59.01385","1.83388181818182","2.13388181818182","2119"
"","FAHFA(2:0/17:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(2:0/17:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(2:0/17:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(2:0/17:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(2:0/17:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(2:0/17:1)-H","325.2384","283.2279","265.2173","59.01385","1.36632575757576","1.66632575757576","2882"
"","FAHFA(2:0/24:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(2:0/24:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(2:0/24:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(2:0/24:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(2:0/24:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(2:0/24:0)-H","425.3636","383.3531","365.3425","59.01385","2.17962575757576","2.47962575757576","1277"
"","FAHFA(2:0/25:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(2:0/25:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(2:0/25:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(2:0/25:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(2:0/25:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(2:0/25:0)-H","439.3793","397.3687","379.3582","59.01385","1.72563787878788","2.02563787878788","4178"
"","FAHFA(2:0/26:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(2:0/26:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(2:0/26:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(2:0/26:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(2:0/26:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(2:0/26:2)-H","449.3636","407.3531","389.3425","59.01385","2.09649242424242","2.39649242424242","1686"
"","FAHFA(2:0/26:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(2:0/26:4)-H",1.860396,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(2:0/26:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(2:0/26:4)-H",56801.45,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(2:0/26:4)-H",445.3327,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(2:0/26:4)-H","445.3323","403.3218","385.3112","59.01385","1.69611212121212","1.99611212121212","638"
"","FAHFA(2:0/26:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(2:0/26:4)-H",1.860396,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(2:0/26:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(2:0/26:4)-H",56801.45,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(2:0/26:4)-H",445.3327,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(2:0/26:4)-H","445.3323","403.3218","385.3112","59.01385","1.61559393939394","1.91559393939394","2790"
"","FAHFA(3:0/16:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(3:0/16:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(3:0/16:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(3:0/16:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(3:0/16:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(3:0/16:0)-H","327.2541","271.2279","253.2173","73.0295","1.83388181818182","2.13388181818182","2119"
"","FAHFA(3:0/16:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(3:0/16:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(3:0/16:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(3:0/16:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(3:0/16:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(3:0/16:1)-H","325.2384","269.2122","251.2016","73.0295","1.36632575757576","1.66632575757576","2882"
"","FAHFA(3:0/23:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(3:0/23:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(3:0/23:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(3:0/23:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(3:0/23:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(3:0/23:0)-H","425.3636","369.3374","351.3268","73.0295","2.17962575757576","2.47962575757576","1277"
