"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","HexCer-NDS(d14:0/24:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d14:0/24:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d14:0/24:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d14:0/24:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d14:0/24:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d14:0/24:2)-H","752.6041","590.5512","388.3579","183.1754","345.3401","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NDS(d14:0/26:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d14:0/26:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d14:0/26:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d14:0/26:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d14:0/26:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d14:0/26:2)-H","780.6354","618.5825","416.3893","183.1754","373.3714","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NDS(d14:0/28:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d14:0/28:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d14:0/28:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d14:0/28:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d14:0/28:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d14:0/28:2)-H","808.6666","646.6138","444.4206","183.1754","401.4027","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d15:0/24:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d15:0/24:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d15:0/24:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d15:0/24:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d15:0/24:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d15:0/24:2)-H","766.6197","604.5669","388.3579","197.1911","345.3401","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d16:0/22:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d16:0/22:2)-H","752.6041","590.5512","360.3267","211.2067","317.3088","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d16:0/24:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d16:0/24:2)-H","780.6354","618.5825","388.3579","211.2067","345.3401","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d16:0/26:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d16:0/26:2)-H","808.6666","646.6138","416.3893","211.2067","373.3714","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d17:0/22:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d17:0/22:2)-H","766.6197","604.5669","360.3267","225.2224","317.3088","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d18:0/20:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d18:0/20:2)-H","752.6041","590.5512","332.2953","239.238","289.2775","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d18:0/22:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d18:0/22:2)-H","780.6354","618.5825","360.3267","239.238","317.3088","179.0556","10.6655606060606","10.9655606060606","477"
