"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","HexCer-NS(d14:1/24:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:1/24:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:1/24:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:1/24:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:1/24:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:1/24:1)-H","752.6041","590.5512","390.3736","347.3557","181.1598","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NS(d14:1/25:1)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:1/25:1)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:1/25:1)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:1/25:1)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:1/25:1)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:1/25:1)-H","766.6197","604.5669","404.3893","361.3714","181.1598","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NS(d14:1/26:1)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:1/26:1)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:1/26:1)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:1/26:1)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:1/26:1)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:1/26:1)-H","780.6354","618.5825","418.4049","375.3871","181.1598","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:1/26:2)-H","778.6197","616.5669","416.3893","373.3714","181.1598","179.0556","10.7871","11.0871","653"
"","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d14:1/26:2)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d14:1/26:2)-H","778.6197","616.5669","416.3893","373.3714","181.1598","179.0556","9.71061666666667","10.0106166666667","1150"
"","HexCer-NS(d14:1/28:1)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d14:1/28:1)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d14:1/28:1)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d14:1/28:1)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d14:1/28:1)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d14:1/28:1)-H","808.6666","646.6138","446.4362","403.4183","181.1598","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NS(d14:2/24:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:2/24:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:2/24:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:2/24:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:2/24:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d14:2/24:0)-H","752.6041","590.5512","392.3893","349.3714","179.1441","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NS(d14:2/25:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:2/25:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:2/25:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:2/25:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:2/25:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d14:2/25:0)-H","766.6197","604.5669","406.4049","363.3871","179.1441","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NS(d14:2/26:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:2/26:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:2/26:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:2/26:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:2/26:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d14:2/26:0)-H","780.6354","618.5825","420.4206","377.4027","179.1441","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NS(d14:2/26:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:2/26:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:2/26:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:2/26:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:2/26:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d14:2/26:1)-H","778.6197","616.5669","418.4049","375.3871","179.1441","179.0556","10.7871","11.0871","653"
