"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment","RT at Max Intensity","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment","Number of Scans","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment","Max Intensity","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment","Average m/z","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPS","[M-H]-","[M-C3H6NO2-H]-","[C3H8O6P-H2O-H]-","[PO3]-","[FA-CH2-H]- SN1 -CH3 loss","RT_min","RT_max","Comment"
"","LPS(17:0)-H",0,0,0,0,0,"0.77015","1.07015","1006","","LPS(17:0)-H",0,0,0,0,0,"0.77015","1.07015","1006","","LPS(17:0)-H",0,0,0,0,0,"0.77015","1.07015","1006","","LPS(17:0)-H",0,0,0,0,0,"0.77015","1.07015","1006","","LPS(17:0)-H",0,0,0,0,0,"0.77015","1.07015","1006","","LPS(17:0)-H","510.2838","423.2517","152.9958","78.95906","269.2486","0.77015","1.07015","1006"
"","LPS(19:0)-H",1,0,0,0,0,"0.528524242424242","0.828524242424242","137","","LPS(19:0)-H",0.7102667,0,0.7102667,0.7102667,0,"0.528524242424242","0.828524242424242","137","","LPS(19:0)-H",1,0,1,1,0,"0.528524242424242","0.828524242424242","137","","LPS(19:0)-H",11283.69,0,768.0608,440.2607,0,"0.528524242424242","0.828524242424242","137","","LPS(19:0)-H",538.3149,0,152.9958,78.95905,0,"0.528524242424242","0.828524242424242","137","","LPS(19:0)-H","538.3151","451.283","152.9958","78.95906","297.2799","0.528524242424242","0.828524242424242","137"
"","LPS(19:0)-H",1,0,0,0,0,"1.20290151515152","1.50290151515152","706","","LPS(19:0)-H",1.364999,0,1.364999,0,0,"1.20290151515152","1.50290151515152","706","","LPS(19:0)-H",1,0,1,0,0,"1.20290151515152","1.50290151515152","706","","LPS(19:0)-H",28938.36,0,668.9499,0,0,"1.20290151515152","1.50290151515152","706","","LPS(19:0)-H",538.3154,0,152.9959,0,0,"1.20290151515152","1.50290151515152","706","","LPS(19:0)-H","538.3151","451.283","152.9958","78.95906","297.2799","1.20290151515152","1.50290151515152","706"
"","LPS(19:1)-H",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","LPS(19:1)-H",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","LPS(19:1)-H",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","LPS(19:1)-H",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","LPS(19:1)-H",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","LPS(19:1)-H","536.2994","449.2674","152.9958","78.95906","295.2643","0.817175757575758","1.11717575757576","898"
"","LPS(19:2)-H",1,0,0,0,0,"0.570583333333333","0.870583333333333","575","","LPS(19:2)-H",0.7473137,0,0,0,0,"0.570583333333333","0.870583333333333","575","","LPS(19:2)-H",1,0,0,0,0,"0.570583333333333","0.870583333333333","575","","LPS(19:2)-H",27888.15,0,0,0,0,"0.570583333333333","0.870583333333333","575","","LPS(19:2)-H",534.2839,0,0,0,0,"0.570583333333333","0.870583333333333","575","","LPS(19:2)-H","534.2838","447.2517","152.9958","78.95906","293.2486","0.570583333333333","0.870583333333333","575"
"","LPS(20:0)-H",0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPS(20:0)-H",0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPS(20:0)-H",0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPS(20:0)-H",0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPS(20:0)-H",0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","LPS(20:0)-H","552.3307","465.2986","152.9958","78.95906","311.2956","0.671043939393939","0.971043939393939","608"
"","LPS(21:0)-H",1,0,1,1,0,"0.849518181818182","1.14951818181818","50","","LPS(21:0)-H",0.9532399,0,0.9532399,0.9532399,0,"0.849518181818182","1.14951818181818","50","","LPS(21:0)-H",2,0,2,2,0,"0.849518181818182","1.14951818181818","50","","LPS(21:0)-H",49273.48,0,4036.935,2600.041,0,"0.849518181818182","1.14951818181818","50","","LPS(21:0)-H",566.34655,0,152.99575,78.95913,0,"0.849518181818182","1.14951818181818","50","","LPS(21:0)-H","566.3463","479.3143","152.9958","78.95906","325.3112","0.849518181818182","1.14951818181818","50"
"","LPS(21:1)-H",1,0,1,1,0,"0.590513636363636","0.890513636363636","28","","LPS(21:1)-H",0.778071,0,0.778071,0.778071,0,"0.590513636363636","0.890513636363636","28","","LPS(21:1)-H",1,0,1,1,0,"0.590513636363636","0.890513636363636","28","","LPS(21:1)-H",64452.28,0,5329.42,3800.017,0,"0.590513636363636","0.890513636363636","28","","LPS(21:1)-H",564.3311,0,152.996,78.95913,0,"0.590513636363636","0.890513636363636","28","","LPS(21:1)-H","564.3307","477.2986","152.9958","78.95906","323.2956","0.590513636363636","0.890513636363636","28"
"","LPS(21:1)-H",1,0,1,1,0,"0.765088888888889","1.06508888888889","276","","LPS(21:1)-H",0.778071,0,0.778071,0.778071,0,"0.765088888888889","1.06508888888889","276","","LPS(21:1)-H",2,0,2,1,0,"0.765088888888889","1.06508888888889","276","","LPS(21:1)-H",64452.28,0,5329.42,3800.017,0,"0.765088888888889","1.06508888888889","276","","LPS(21:1)-H",564.3311,0,152.9957,78.95913,0,"0.765088888888889","1.06508888888889","276","","LPS(21:1)-H","564.3307","477.2986","152.9958","78.95906","323.2956","0.765088888888889","1.06508888888889","276"
"","LPS(21:2)-H",1,0,0,0,0,"0.452106060606061","0.752106060606061","352","","LPS(21:2)-H",0.6191943,0,0,0,0,"0.452106060606061","0.752106060606061","352","","LPS(21:2)-H",1,0,0,0,0,"0.452106060606061","0.752106060606061","352","","LPS(21:2)-H",1367.118,0,0,0,0,"0.452106060606061","0.752106060606061","352","","LPS(21:2)-H",562.3171,0,0,0,0,"0.452106060606061","0.752106060606061","352","","LPS(21:2)-H","562.3151","475.283","152.9958","78.95906","321.2799","0.452106060606061","0.752106060606061","352"
