"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","RT at Max Intensity","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Number of Scans","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Max Intensity","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Average m/z","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment"
"","OxCL(16:0_16:0_16:0_22:3(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_16:0_22:3(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_16:0_22:3(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_16:0_22:3(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_16:0_22:3(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_16:0_22:3(OH))-2H","722.49976","603.385585","484.270825","603.385585","437.249875","391.2254","391.2254","391.2254","485.2673","255.23281","255.23281","255.23281","349.27471","4.52922272727273","4.82922272727273","1173"
"","OxCL(16:0_16:0_16:0_22:5(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_16:0_22:5(OH))-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_16:0_22:5(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_16:0_22:5(OH))-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_16:0_22:5(OH))-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_16:0_22:5(OH))-2H","720.4841","601.369925","482.255165","601.369925","437.249875","391.2254","391.2254","391.2254","481.23598","255.23281","255.23281","255.23281","345.24339","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_16:1(OH)_22:6(OOH)2)-2H","750.45828","631.344105","512.229345","624.354475","437.249875","391.2254","391.2254","405.20466","491.18394","255.23281","255.23281","269.21207","355.19135","4.23709393939394","4.53709393939394","1287"
"","OxCL(16:0_16:0_18:1_20:4(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1_20:4(OH))-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1_20:4(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1_20:4(OH))-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1_20:4(OH))-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1_20:4(OH))-2H","720.4841","601.369925","482.255165","588.362095","437.249875","391.2254","391.2254","417.24106","455.22032","255.23281","255.23281","281.24847","319.22773","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:0_18:1(OH)_20:4)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1(OH)_20:4)-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1(OH)_20:4)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1(OH)_20:4)-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1(OH)_20:4)-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:1(OH)_20:4)-2H","720.4841","601.369925","482.255165","580.364635","437.249875","391.2254","391.2254","433.23598","439.2254","255.23281","255.23281","297.24339","303.23281","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:0_18:2_20:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2_20:3(OH))-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2_20:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2_20:3(OH))-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2_20:3(OH))-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2_20:3(OH))-2H","720.4841","601.369925","482.255165","589.369925","437.249875","391.2254","391.2254","415.2254","457.23598","255.23281","255.23281","279.23281","321.24339","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:0_18:2(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_18:2(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_18:2(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_18:2(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_18:2(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:0_18:2(OH)_20:1)-2H","722.49976","603.385585","484.270825","583.388125","437.249875","391.2254","391.2254","431.22032","445.27238","255.23281","255.23281","295.22773","309.27979","4.52922272727273","4.82922272727273","1173"
"","OxCL(16:0_16:0_18:2(OH)_20:3)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2(OH)_20:3)-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2(OH)_20:3)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2(OH)_20:3)-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2(OH)_20:3)-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:0_18:2(OH)_20:3)-2H","720.4841","601.369925","482.255165","581.372465","437.249875","391.2254","391.2254","431.22032","441.24106","255.23281","255.23281","295.22773","305.24847","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OH)_20:4(OOH)2)-2H","750.45828","631.344105","512.229345","612.354475","437.249875","391.2254","391.2254","429.20466","467.18394","255.23281","255.23281","293.21207","331.19135","4.23709393939394","4.53709393939394","1287"
"","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:0_18:3(OOH)2_20:4(OH))-2H","750.45828","631.344105","512.229345","588.362095","437.249875","391.2254","391.2254","441.16828","455.22032","255.23281","255.23281","305.17569","319.22773","4.23709393939394","4.53709393939394","1287"
