"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_T1Ketene&CH3&HCO2","NL_T2Ketene&CH3&HCO3","NL_T1RCOOH&CH3&HCO2","NL_T2RCOOH&CH3&HCO3","GlyceroPC_NLCH3&H2O","T1_RCOO-","T2_RCOO-","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","OxPC(8:0_11:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(8:0_11:1(CHO))+HCO2",0.8926295,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(8:0_11:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(8:0_11:1(CHO))+HCO2",1853.751,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(8:0_11:1(CHO))+HCO2",608.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(8:0_11:1(CHO))+HCO2","608.32055","548.29941","477.22591","422.19494","368.18437","404.18438","350.17381","224.06881","143.10777","197.11834","168.04314","152.99586","96.96964","78.95852","0.775422727272727","1.07542272727273","186"
"","OxPC(8:0_11:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(8:0_11:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(8:0_11:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(8:0_11:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(8:0_11:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(8:0_11:2(CHO))+HCO2","606.3049","546.28376","475.21026","420.17929","368.18437","402.16873","350.17381","224.06881","143.10777","195.10269","168.04314","152.99586","96.96964","78.95852","0.522733333333333","0.822733333333333","1516"
"","OxPC(8:0_12:1(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.00125909090909","1.30125909090909","356","","OxPC(8:0_12:1(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.00125909090909","1.30125909090909","356","","OxPC(8:0_12:1(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.00125909090909","1.30125909090909","356","","OxPC(8:0_12:1(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.00125909090909","1.30125909090909","356","","OxPC(8:0_12:1(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.00125909090909","1.30125909090909","356","","OxPC(8:0_12:1(CHO))+HCO2","622.3362","562.31506","491.24156","436.21059","368.18437","418.20003","350.17381","224.06881","143.10777","211.13399","168.04314","152.99586","96.96964","78.95852","1.00125909090909","1.30125909090909","356"
"","OxPC(8:0_13:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","256","","OxPC(8:0_13:1(CHO))+HCO2",1.427713,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","256","","OxPC(8:0_13:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","256","","OxPC(8:0_13:1(CHO))+HCO2",1705.969,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","256","","OxPC(8:0_13:1(CHO))+HCO2",636.35,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.25095606060606","1.55095606060606","256","","OxPC(8:0_13:1(CHO))+HCO2","636.35185","576.33071","505.25721","450.22624","368.18437","432.21568","350.17381","224.06881","143.10777","225.14964","168.04314","152.99586","96.96964","78.95852","1.25095606060606","1.55095606060606","256"
"","OxPC(8:0_13:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85732878787879","1.15732878787879","454","","OxPC(8:0_13:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85732878787879","1.15732878787879","454","","OxPC(8:0_13:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85732878787879","1.15732878787879","454","","OxPC(8:0_13:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85732878787879","1.15732878787879","454","","OxPC(8:0_13:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.85732878787879","1.15732878787879","454","","OxPC(8:0_13:2(CHO))+HCO2","634.3362","574.31506","503.24156","448.21059","368.18437","430.20003","350.17381","224.06881","143.10777","223.13399","168.04314","152.99586","96.96964","78.95852","0.85732878787879","1.15732878787879","454"
"","OxPC(8:0_13:3(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.593419696969697","0.893419696969697","332","","OxPC(8:0_13:3(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.593419696969697","0.893419696969697","332","","OxPC(8:0_13:3(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.593419696969697","0.893419696969697","332","","OxPC(8:0_13:3(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.593419696969697","0.893419696969697","332","","OxPC(8:0_13:3(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.593419696969697","0.893419696969697","332","","OxPC(8:0_13:3(CHO))+HCO2","632.32055","572.29941","501.22591","446.19494","368.18437","428.18438","350.17381","224.06881","143.10777","221.11834","168.04314","152.99586","96.96964","78.95852","0.593419696969697","0.893419696969697","332"
"","OxPC(8:0_14:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.52206666666667","1.82206666666667","379","","OxPC(8:0_14:1(CHO))+HCO2",1.683694,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.52206666666667","1.82206666666667","379","","OxPC(8:0_14:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.52206666666667","1.82206666666667","379","","OxPC(8:0_14:1(CHO))+HCO2",1585.003,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.52206666666667","1.82206666666667","379","","OxPC(8:0_14:1(CHO))+HCO2",650.366,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.52206666666667","1.82206666666667","379","","OxPC(8:0_14:1(CHO))+HCO2","650.3675","590.34636","519.27286","464.24189","368.18437","446.23133","350.17381","224.06881","143.10777","239.16529","168.04314","152.99586","96.96964","78.95852","1.52206666666667","1.82206666666667","379"
"","OxPC(10:0_15:0(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17247666666667","1.47247666666667","1834","","OxPC(10:0_15:0(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17247666666667","1.47247666666667","1834","","OxPC(10:0_15:0(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17247666666667","1.47247666666667","1834","","OxPC(10:0_15:0(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17247666666667","1.47247666666667","1834","","OxPC(10:0_15:0(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1.17247666666667","1.47247666666667","1834","","OxPC(10:0_15:0(CHO))+HCO2","694.43009","634.40895","563.33545","480.27318","396.21567","462.26262","378.20511","224.06881","171.13907","255.19658","168.04314","152.99586","96.96964","78.95852","1.17247666666667","1.47247666666667","1834"
"","OxPC(10:0_9:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(10:0_9:1(CHO))+HCO2",0.8926295,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(10:0_9:1(CHO))+HCO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(10:0_9:1(CHO))+HCO2",1853.751,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(10:0_9:1(CHO))+HCO2",608.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.775422727272727","1.07542272727273","186","","OxPC(10:0_9:1(CHO))+HCO2","608.32055","548.29941","477.22591","394.16364","396.21567","376.15308","378.20511","224.06881","171.13907","169.08704","168.04314","152.99586","96.96964","78.95852","0.775422727272727","1.07542272727273","186"
"","OxPC(10:0_9:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(10:0_9:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(10:0_9:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(10:0_9:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(10:0_9:2(CHO))+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.522733333333333","0.822733333333333","1516","","OxPC(10:0_9:2(CHO))+HCO2","606.3049","546.28376","475.21026","392.14799","396.21567","374.13743","378.20511","224.06881","171.13907","167.07139","168.04314","152.99586","96.96964","78.95852","0.522733333333333","0.822733333333333","1516"
