"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Number of Scans","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Average m/z","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment"
"","OxPE(16:0_18:0(2O))-H",1,0,0,0,1,0,"5.85595303030303","6.15595303030303","292","","OxPE(16:0_18:0(2O))-H",5.999008,0,0,0,5.999008,0,"5.85595303030303","6.15595303030303","292","","OxPE(16:0_18:0(2O))-H",2,0,0,0,2,0,"5.85595303030303","6.15595303030303","292","","OxPE(16:0_18:0(2O))-H",7398.128,0,0,0,60312.25,0,"5.85595303030303","6.15595303030303","292","","OxPE(16:0_18:0(2O))-H",750.53085,0,0,0,255.233,0,"5.85595303030303","6.15595303030303","292","","OxPE(16:0_18:0(2O))-H","750.5285","315.2541","297.2435","279.233","255.2323","196.038","5.85595303030303","6.15595303030303","292"
"","OxPE(16:0_18:1(2O))-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","OxPE(16:0_18:1(2O))-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","OxPE(16:0_18:1(2O))-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","OxPE(16:0_18:1(2O))-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","OxPE(16:0_18:1(2O))-H",0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","OxPE(16:0_18:1(2O))-H","748.5129","313.2384","295.2279","277.2173","255.2323","196.038","4.66369090909091","4.96369090909091","3080"
"","OxPE(16:0_20:3(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0_20:3(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0_20:3(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0_20:3(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0_20:3(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0_20:3(2O))-H","772.5129","337.2384","319.2279","301.2173","255.2323","196.038","5.93952727272727","6.23952727272727","902"
"","OxPE(16:0_22:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0_22:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0_22:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0_22:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0_22:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0_22:5(2O))-H","796.5129","361.2384","343.2279","325.2173","255.2323","196.038","5.74913636363636","6.04913636363636","976"
"","OxPE(18:0_18:0(1O))-H",0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0_18:0(1O))-H",0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0_18:0(1O))-H",0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0_18:0(1O))-H",0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0_18:0(1O))-H",0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0_18:0(1O))-H","762.5649","299.2592","281.2486","0.01","283.2635","196.038","7.58775757575758","7.88775757575758","2502"
"","OxPE(18:0_18:0(2O))-H",1,0,0,0,1,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0_18:0(2O))-H",7.238242,0,0,0,7.238242,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0_18:0(2O))-H",1,0,0,0,1,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0_18:0(2O))-H",10895.04,0,0,0,2564.692,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0_18:0(2O))-H",778.5616,0,0,0,283.2641,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0_18:0(2O))-H","778.5598","315.2541","297.2435","279.233","283.2635","196.038","7.07521363636364","7.37521363636364","654"
"","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:0_18:1(2O))-H",6.165564,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:0_18:1(2O))-H",7300.446,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:0_18:1(2O))-H",776.5465,0,0,0,0,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:0_18:1(2O))-H","776.5442","313.2384","295.2279","277.2173","283.2635","196.038","5.97987878787879","6.27987878787879","160"
"","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:0_18:1(2O))-H",8.003457,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:0_18:1(2O))-H",55092.88,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:0_18:1(2O))-H",776.5453,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:0_18:1(2O))-H","776.5442","313.2384","295.2279","277.2173","283.2635","196.038","7.8329303030303","8.1329303030303","782"
"","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:0_18:1(2O))-H",6.165564,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:0_18:1(2O))-H",1,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:0_18:1(2O))-H",7300.446,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:0_18:1(2O))-H",776.5465,0,0,0,0,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:0_18:1(2O))-H","776.5442","313.2384","295.2279","277.2173","283.2635","196.038","6.10964166666667","6.40964166666667","2194"
"","OxPE(18:0_18:2(2O))-H",1,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:0_18:2(2O))-H",5.170068,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:0_18:2(2O))-H",1,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:0_18:2(2O))-H",6730.892,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:0_18:2(2O))-H",774.5306,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:0_18:2(2O))-H","774.5285","311.2228","293.2122","275.2017","283.2635","196.038","4.99847121212121","5.29847121212121","226"
