"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_ADS","[M-H]-","1","2","3","4","5","6","7","8","9","10","11","12","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;QQOBYCKYMVWHGO-UHFFFAOYNA-N;C43H87NO4","680.65623","680.6563","222.1863","226.2176","435.4207","632.6351","648.6300","662.6456","407.4258","183.1754","212.2020","240.1969","244.2282","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCC;FEQXGDKOXCGYFH-DQRAZIAONA-N;C43H85NO4","678.64058","678.6406","222.1863","226.2176","433.4051","630.6194","646.6144","660.6300","405.4102","183.1754","212.2020","240.1969","244.2282","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;JSMHOFFVEADLLF-UHFFFAOYNA-N;C43H87NO4","680.65623","680.6563","236.2020","240.2333","421.4051","632.6351","648.6300","662.6456","393.4102","197.1911","226.2176","254.2126","258.2439","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCC;QFOHENSDKBBQJW-FCQUAONHNA-N;C43H85NO4","678.64058","678.6406","236.2020","240.2333","419.3895","630.6194","646.6144","660.6300","391.3945","197.1911","226.2176","254.2126","258.2439","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;GBYMCTIKXMVPIY-UHFFFAOYNA-N;C43H87NO4","680.65623","680.6563","250.2176","254.2489","407.3895","632.6351","648.6300","662.6456","379.3945","211.2067","240.2333","268.2282","272.2595","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCC;PPEUUORUGAUZCJ-FCQUAONHNA-N;C43H85NO4","678.64058","678.6406","250.2176","254.2489","405.3738","630.6194","646.6144","660.6300","377.3789","211.2067","240.2333","268.2282","272.2595","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;LYDKKJOSFBRGIW-UHFFFAOYNA-N;C43H87NO4","680.65623","680.6563","264.2333","268.2646","393.3738","632.6351","648.6300","662.6456","365.3789","225.2224","254.2489","282.2439","286.2751","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCC;KYRWDAFCRFGAOQ-VHXPQNKSNA-N;C43H85NO4","678.64058","678.6406","264.2333","268.2646","391.3582","630.6194","646.6144","660.6300","363.3633","225.2224","254.2489","282.2439","286.2751","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;RZXBDCUYHFVVOW-UHFFFAOYNA-N;C43H87NO4","680.65623","680.6563","278.2489","282.2802","379.3582","632.6351","648.6300","662.6456","351.3633","239.2380","268.2646","296.2595","300.2908","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(2OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;BPFJWKUOYFJVMD-FCQUAONHNA-N;C43H85NO4","678.64058","678.6406","278.2489","282.2802","377.3425","630.6194","646.6144","660.6300","349.3476","239.2380","268.2646","296.2595","300.2908","10.9600636363636","11.2600636363636","1038"
