"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_AP","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 12:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;DGMFUPQGWWMJHB-JHKOLUBINA-N;C44H83NO5","750.62534","704.6199","491.4470","139.1118","445.4415","546.4881","750.6254","11.0025560606061","11.3025560606061","394"
"","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5","778.65664","732.6511","519.4783","139.1118","473.4728","574.5194","778.6566","11.6581515151515","11.9581515151515","2922"
"","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 12:1;3O/34:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCC;BHAJGOAVCPWBHT-JHKOLUBINA-N;C46H87NO5","778.65664","732.6511","519.4783","139.1118","473.4728","574.5194","778.6566","11.8050363636364","12.1050363636364","2984"
"","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 13:1;3O/28:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;QSFOPPNYWFKLCF-JHWZCUQHNA-N;C41H77NO5","708.57839","662.5729","435.3844","153.1274","389.3789","490.4255","708.5784","9.63075303030303","9.93075303030303","2513"
"","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 13:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;KGIJUVMSCMEFOQ-MBEYJTFANA-N;C43H81NO5","736.60969","690.6042","463.4157","153.1274","417.4102","518.4568","736.6097","10.5703878787879","10.8703878787879","306"
"","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 13:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCC;HUQLWPXZSFYFOL-IWSUBXTMNA-N;C45H85NO5","764.64099","718.6355","491.4470","153.1274","445.4415","546.4881","764.6410","11.4196181818182","11.7196181818182","210"
"","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:1;3O/30:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;VVIFSXIVYDEPAJ-UZDMCKSWNA-N;C44H83NO5","750.62534","704.6199","463.4157","167.1431","417.4102","518.4568","750.6254","11.0025560606061","11.3025560606061","394"
"","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5","778.65664","732.6511","491.4470","167.1431","445.4415","546.4881","778.6566","11.6581515151515","11.9581515151515","2922"
"","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","MSDIAL_Cer 14:1;3O/32:2;(2OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CCCCC;WOJSRKBNFFXYHT-ZNWBRULUNA-N;C46H87NO5","778.65664","732.6511","491.4470","167.1431","445.4415","546.4881","778.6566","11.8050363636364","12.1050363636364","2984"
"","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","MSDIAL_Cer 14:2;3O/27:1;(2OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCC\C=C\CC\C=C\C;ZYRAWKDIQATWGB-FVUGMCNLNA-N;C41H77NO5","708.57839","662.5729","423.3844","165.1274","377.3789","478.4255","708.5784","9.63075303030303","9.93075303030303","2513"
