"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_AP","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5",0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","MSDIAL_Cer 8:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NIXBUGOPAGSXFY-HNENSFHCNA-N;C39H77NO5","638.57290","638.5729","479.4470"," 85.06480","433.4415","534.4881","9.27443484848485","9.57443484848485","1335"
"","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5",0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 8:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;RJNDCXYTXWOOIE-HNENSFHCNA-N;C40H79NO5","652.58855","652.5886","493.4626"," 85.06480","447.4572","548.5037","9.77759848484848","10.0775984848485","3025"
"","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5",0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5",0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5",0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5",0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5",0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","MSDIAL_Cer 8:0;3O/33:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;YDYDEAAVSJPKEH-UHFFFAOYNA-N;C41H83NO5","668.61985","668.6199","509.4939"," 85.06480","463.4884","564.5350","10.5709893939394","10.8709893939394","708"
"","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;SFLXOZZQTDHNNV-HNENSFHCNA-N;C41H81NO5","666.60420","666.6042","507.4783"," 85.06480","461.4728","562.5194","10.2572696969697","10.5572696969697","287"
"","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5",0,0,0,0,0,0,"11.0019590909091","11.3019590909091","863","","MSDIAL_Cer 8:0;3O/34:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;VQGIKUDJQGMQFM-UHFFFAOYNA-N;C42H85NO5","682.63550","682.6355","523.5096"," 85.06480","477.5041","578.5507","11.0019590909091","11.3019590909091","863"
"","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",1,1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",10.8619,10.8619,0,0,0,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",1,1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",1057.556,1057.556,0,0,0,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",680.6201,680.6201,0,0,0,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5","680.61985","680.6199","521.4940"," 85.06480","475.4884","576.5350","10.6999696969697","10.9999696969697","227"
"","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;LQBAASGWWAFTDQ-HNENSFHCNA-N;C42H83NO5","680.61985","680.6199","521.4940"," 85.06480","475.4884","576.5350","10.5248181818182","10.8248181818182","1553"
"","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 8:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;NOHHDZVDEXEIRF-GJLVVWLQNA-N;C42H81NO5","678.60420","678.6042","519.4783"," 85.06480","473.4728","574.5194","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5",0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5",0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5",0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5",0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5",0,0,0,0,0,0,"11.4208166666667","11.7208166666667","399","","MSDIAL_Cer 8:0;3O/35:0;(2OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;JPYCSVZABGHJFI-UHFFFAOYNA-N;C43H87NO5","696.65115","696.6511","537.5252"," 85.06480","491.5197","592.5663","11.4208166666667","11.7208166666667","399"
"","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5",1,1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5",11.29021,11.29021,0,0,0,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5",1,1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5",8007.366,8007.366,0,0,0,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5",694.6364,694.6364,0,0,0,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(CO)C(O)C(O)CCCC;FPAHXOONINBYIO-HNENSFHCNA-N;C43H85NO5","694.63550","694.6355","535.5096"," 85.06480","489.5041","590.5507","11.1295590909091","11.4295590909091","108"
