"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_BDS","[M+HCOO]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 14:0;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;IYDBNWNAFGTGNJ-UHFFFAOYNA-N;C42H85NO4","712.64607","286.2388","666.6406","244.2282","254.2126","183.1754","712.6461","10.6707424242424","10.9707424242424","1131"
"","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:0;2O/28:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;BXCOCZKNJGEKEE-DQRAZIAONA-N;C42H83NO4","710.63042","286.2388","664.6249","244.2282","254.2126","183.1754","710.6304","10.7806166666667","11.0806166666667","1422"
"","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 15:0;2O/27:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;SFDRBYWCNZMICM-UHFFFAOYNA-N;C42H85NO4","712.64607","300.2544","666.6406","258.2439","268.2282","197.1911","712.6461","10.6707424242424","10.9707424242424","1131"
"","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 15:0;2O/27:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;QNJJOZAEEPTRAZ-FCQUAONHNA-N;C42H83NO4","710.63042","300.2544","664.6249","258.2439","268.2282","197.1911","710.6304","10.7806166666667","11.0806166666667","1422"
"","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 16:0;2O/26:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OPMAUBLMZXTMTE-UHFFFAOYNA-N;C42H85NO4","712.64607","314.2701","666.6406","272.2595","282.2439","211.2068","712.6461","10.6707424242424","10.9707424242424","1131"
"","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 16:0;2O/26:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;OKLMGUIYHJMXKL-FCQUAONHNA-N;C42H83NO4","710.63042","314.2701","664.6249","272.2595","282.2439","211.2068","710.6304","10.7806166666667","11.0806166666667","1422"
"","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 17:0;2O/25:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;WIJKRFZTBQIHQB-UHFFFAOYNA-N;C42H85NO4","712.64607","328.2857","666.6406","286.2751","296.2595","225.2224","712.6461","10.6707424242424","10.9707424242424","1131"
"","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 17:0;2O/25:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;HOMCRAMOPGGWTO-FCQUAONHNA-N;C42H83NO4","710.63042","328.2857","664.6249","286.2751","296.2595","225.2224","710.6304","10.7806166666667","11.0806166666667","1422"
"","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4",0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","MSDIAL_Cer 18:0;2O/24:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;LLHJTPUSWARAGT-UHFFFAOYNA-N;C42H85NO4","712.64607","342.3014","666.6406","300.2908","310.2751","239.2381","712.6461","10.6707424242424","10.9707424242424","1131"
"","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 18:0;2O/24:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCC;RWJGHIBJIZDCJC-DQRAZIAONA-N;C42H83NO4","710.63042","342.3014","664.6249","300.2908","310.2751","239.2381","710.6304","10.7806166666667","11.0806166666667","1422"
