"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_BDS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 14:0;2O/29:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;CEMOJFHTAKRIHE-UHFFFAOYNA-N;C43H87NO4","680.65623","286.2388","680.6563","244.2282","254.2126","183.1754","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 14:0;2O/29:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCC;OMFVFMNNKVTVLH-DQRAZIAONA-N;C43H85NO4","678.64058","286.2388","678.6406","244.2282","254.2126","183.1754","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 15:0;2O/28:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;GHZXJORBRHUMLQ-UHFFFAOYNA-N;C43H87NO4","680.65623","300.2544","680.6563","258.2439","268.2282","197.1911","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 15:0;2O/28:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCC;RVDRBSDNAVVPSH-FCQUAONHNA-N;C43H85NO4","678.64058","300.2544","678.6406","258.2439","268.2282","197.1911","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 16:0;2O/27:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;ZLCOUTJZNRPEDG-UHFFFAOYNA-N;C43H87NO4","680.65623","314.2701","680.6563","272.2595","282.2439","211.2068","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 16:0;2O/27:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCC;FQVUUQHOOXMZRB-FCQUAONHNA-N;C43H85NO4","678.64058","314.2701","678.6406","272.2595","282.2439","211.2068","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 17:0;2O/26:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;XTNAFTHQZHDVID-UHFFFAOYNA-N;C43H87NO4","680.65623","328.2857","680.6563","286.2751","296.2595","225.2224","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 17:0;2O/26:1;(3OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCC;HPAJZFYOAWAJTJ-VHXPQNKSNA-N;C43H85NO4","678.64058","328.2857","678.6406","286.2751","296.2595","225.2224","10.9600636363636","11.2600636363636","1038"
"","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4",0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","MSDIAL_Cer 18:0;2O/25:0;(3OH);[M-H]-;CCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC;AVRYOMRPJUEIEI-UHFFFAOYNA-N;C43H87NO4","680.65623","342.3014","680.6563","300.2908","310.2751","239.2381","11.7277909090909","12.0277909090909","1062"
"","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4",0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","MSDIAL_Cer 18:0;2O/25:1;(3OH);[M-H]-;CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CC(O)CCCCCCC\C=C/CCCCCCCCCCCCC;LVTNQIPCZVOWQH-FCQUAONHNA-N;C43H85NO4","678.64058","342.3014","678.6406","300.2908","310.2751","239.2381","10.9600636363636","11.2600636363636","1038"
