"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_BS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4",0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4",0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4",0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4",0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4",0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","MSDIAL_Cer 14:1;2O/28:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KSCRCIXYNKUVLL-JMUUFCRMNA-N;C42H83NO4","710.63042","284.2231","664.6249","181.1598","207.1754","254.2126","646.6144","710.6304","10.7806166666667","11.0806166666667","1422"
"","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:1;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MSNIJNQCFHDPAL-MGMUWRIPNA-N;C44H83NO4","734.63042","284.2231","688.6249","181.1598","207.1754","254.2126","670.6144","734.6304","11.3263590909091","11.6263590909091","1402"
"","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:2;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;DUCWZJMXYCQOLR-RKWSATHLNA-N;C43H81NO4","720.61477","282.2075","674.6093","179.1441","205.1598","252.1969","656.5987","720.6147","10.9162772727273","11.2162772727273","972"
"","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:2;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;XQYQBPKCFGAYMI-GCNHCSNKNA-N;C44H83NO4","734.63042","282.2075","688.6249","179.1441","205.1598","252.1969","670.6144","734.6304","11.3263590909091","11.6263590909091","1402"
"","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:2;2O/30:2;(3OH);[M+HCOO]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;NOPBUUUWMJWGDK-UGKJMBTPNA-N;C44H81NO4","732.61477","282.2075","686.6093","179.1441","205.1598","252.1969","668.5987","732.6147","10.5313909090909","10.8313909090909","1290"
"","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4",0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4",0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4",0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4",0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4",0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","MSDIAL_Cer 14:2;2O/31:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;UJZOWRBVFSQJKU-LEMFBYNMNA-N;C45H85NO4","748.64607","282.2075","702.6406","179.1441","205.1598","252.1969","684.6300","748.6461","11.7283893939394","12.0283893939394","790"
"","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4",0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4",0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4",0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4",0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4",0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","MSDIAL_Cer 14:2;2O/38:2;(3OH);[M+HCOO]-;CCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CCCCC;JOBZMLVIXUJVST-OWQCLWRWNA-N;C52H97NO4","844.73997","282.2075","798.7345","179.1441","205.1598","252.1969","780.7239","844.7400","12.0117515151515","12.3117515151515","1639"
"","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4",0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","MSDIAL_Cer 14:3;2O/29:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;OJJBOQFVTGMCCT-WYDZPMCONA-N;C43H81NO4","720.61477","280.1918","674.6093","177.1285","203.1441","250.1813","656.5987","720.6147","10.9162772727273","11.2162772727273","972"
"","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4",0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4",0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4",0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4",0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4",0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","MSDIAL_Cer 14:3;2O/29:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;BPZIAGCDFWQYPU-LZBWPJLMNA-N;C43H79NO4","718.59912","280.1918","672.5936","177.1285","203.1441","250.1813","654.5831","718.5991","10.0734984848485","10.3734984848485","908"
"","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4",0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","MSDIAL_Cer 14:3;2O/30:0;(3OH);[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;KYPAJMBZNFAHNC-UJGUGURKNA-N;C44H83NO4","734.63042","280.1918","688.6249","177.1285","203.1441","250.1813","670.6144","734.6304","11.3263590909091","11.6263590909091","1402"
"","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4",0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","MSDIAL_Cer 14:3;2O/30:1;(3OH);[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(O)CC(=O)NC(CO)C(O)\C=C\CC\C=C\CC\C=C\C;HGONZYOTDLDBDD-SFPDADKBNA-N;C44H81NO4","732.61477","280.1918","686.6093","177.1285","203.1441","250.1813","668.5987","732.6147","10.5313909090909","10.8313909090909","1290"
