"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_EBDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5",0,0,0,0,0,0,"9.7723","10.0723","607","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5",0,0,0,0,0,0,"9.7723","10.0723","607","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5",0,0,0,0,0,0,"9.7723","10.0723","607","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5",0,0,0,0,0,0,"9.7723","10.0723","607","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5",0,0,0,0,0,0,"9.7723","10.0723","607","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 16:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/CC;ODDWILUOSZEYPQ-CILSKMLTNA-N;C42H77NO5","720.57838","249.1860","424.3785","272.2220","674.5729","442.3891","9.7723","10.0723","607"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C\C=C\CC;MBCYDOGUOSMZMP-FWUHFQAMNA-N;C43H81NO5","736.60968","265.2173","424.3785","272.2220","690.6042","442.3891","10.5703878787879","10.8703878787879","306"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5","734.59403","263.2017","424.3785","272.2220","688.5886","442.3891","10.2551090909091","10.5551090909091","171"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 17:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC;ZTCJWMYEYFFUAO-NKNOOTBINA-N;C43H79NO5","734.59403","263.2017","424.3785","272.2220","688.5886","442.3891","10.0804848484848","10.3804848484848","4126"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCC\C=C\C=C\CCCCC;NWAUSAMLTJBBSH-OIKXUCPJNA-N;C44H83NO5","750.62533","279.2329","424.3785","272.2220","704.6199","442.3891","11.0025560606061","11.3025560606061","394"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5","748.60968","277.2173","424.3785","272.2220","702.6042","442.3891","10.6981590909091","10.9981590909091","136"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5",0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:3);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC;NFBDWDPPQCIRIR-NLQNLPKINA-N;C44H81NO5","748.60968","277.2173","424.3785","272.2220","702.6042","442.3891","10.5236848484849","10.8236848484849","675"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5","746.59403","275.2017","424.3785","272.2220","700.5886","442.3891","9.8612878787879","10.1612878787879","804"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5",0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 18:4);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCCCC\C=C/C=C/C=C/C=C/CC;ZDZWPYSDHOYKAD-QYGBXWJANA-N;C44H79NO5","746.59403","275.2017","424.3785","272.2220","700.5886","442.3891","9.71900606060606","10.0190060606061","2981"
"","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","MSDIAL_Cer 14:0;2O/12:0;(3OH)(FA 19:2);[M+HCOO]-;CCCCCCCCCCCC(O)C(CO)NC(=O)CC(CCCCCCCCC)OC(=O)CCCCC\C=C\C=C\CCCCCCCCC;HAYZBILAYJVJMW-RLPYSRNMNA-N;C45H85NO5","764.64098","293.2486","424.3785","272.2220","718.6355","442.3891","11.4196181818182","11.7196181818182","210"
