"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_EODS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5",0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5",0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5",0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5",0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5",0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","MSDIAL_Cer 14:0;2O/12:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;RHZCEPSTZFIWEU-UHFFFAOYNA-N;C40H79NO5","652.58855","227.2017","183.1754","214.1813","240.1969","652.5886","442.3902","9.77759848484848","10.0775984848485","3025"
"","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5",0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5",0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5",0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5",0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5",0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","MSDIAL_Cer 14:0;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;XDGJFMYOJKYPLB-UHFFFAOYNA-N;C41H81NO5","666.60420","227.2017","183.1754","228.1969","254.2126","666.6042","456.4058","10.2572696969697","10.5572696969697","287"
"","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:0;2O/13:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PDBWMSZKJLXKHB-SILNSSARNA-N;C41H79NO5","664.58855","227.2017","183.1754","226.1813","252.1969","664.5886","454.3902","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",1,0,0,0,0,1,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",10.8619,0,0,0,0,10.8619,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",1,0,0,0,0,1,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",1057.556,0,0,0,0,1057.556,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",680.6201,0,0,0,0,680.6201,0,"10.6999696969697","10.9999696969697","227","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5","680.61985","227.2017","183.1754","242.2126","268.2282","680.6199","470.4215","10.6999696969697","10.9999696969697","227"
"","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5",0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","MSDIAL_Cer 14:0;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;YRUQEOIVSGZYEY-UHFFFAOYNA-N;C42H83NO5","680.61985","227.2017","183.1754","242.2126","268.2282","680.6199","470.4215","10.5248181818182","10.8248181818182","1553"
"","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:0;2O/14:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;PGUSPYHEKHSBIW-FXBPSFAMNA-N;C42H81NO5","678.60420","227.2017","183.1754","240.1969","266.2126","678.6042","468.4058","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",1,0,0,0,0,1,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",11.29021,0,0,0,0,11.29021,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",1,0,0,0,0,1,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",8007.366,0,0,0,0,8007.366,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",694.6364,0,0,0,0,694.6364,0,"11.1295590909091","11.4295590909091","108","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5","694.63550","227.2017","183.1754","256.2282","282.2439","694.6355","484.4371","11.1295590909091","11.4295590909091","108"
"","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5","694.63550","227.2017","183.1754","256.2282","282.2439","694.6355","484.4371","10.5101439393939","10.8101439393939","1160"
"","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",1,0,0,0,0,1,0,"11.0714060606061","11.3714060606061","3271","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",11.29021,0,0,0,0,11.29021,0,"11.0714060606061","11.3714060606061","3271","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",1,0,0,0,0,1,0,"11.0714060606061","11.3714060606061","3271","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",8007.366,0,0,0,0,8007.366,0,"11.0714060606061","11.3714060606061","3271","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5",694.6364,0,0,0,0,694.6364,0,"11.0714060606061","11.3714060606061","3271","","MSDIAL_Cer 14:0;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;NVUHKRQSBJCRIG-UHFFFAOYNA-N;C43H85NO5","694.63550","227.2017","183.1754","256.2282","282.2439","694.6355","484.4371","11.0714060606061","11.3714060606061","3271"
"","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5",0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5",10.4723,0,0,0,0,10.4723,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5",2,0,0,0,0,2,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5",774.0684,0,0,0,0,774.0684,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5",692.62145,0,0,0,0,692.62145,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:0;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCC;LHZXURFYXWKFQP-SDXDJHTJNA-N;C43H83NO5","692.61985","227.2017","183.1754","254.2126","280.2282","692.6199","482.4215","10.3349015151515","10.6349015151515","366"
