"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Cer_EOS","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/13:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5","664.58855","227.2017","181.1598","228.1969","254.2126","664.5886","454.3902","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/14:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5","678.60420","227.2017","181.1598","242.2126","268.2282","678.6042","468.4058","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",10.4723,0,0,0,0,10.4723,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",2,0,0,0,0,2,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",774.0684,0,0,0,0,774.0684,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",692.62145,0,0,0,0,692.62145,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5","692.61985","227.2017","181.1598","256.2282","282.2439","692.6199","482.4215","10.3349015151515","10.6349015151515","366"
"","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",10.4723,0,0,0,0,10.4723,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",2,0,0,0,0,2,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",774.0684,0,0,0,0,774.0684,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5",692.62145,0,0,0,0,692.62145,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GDGRKHGVCSCUNX-JSLDZMDGNA-N;C43H83NO5","692.61985","227.2017","181.1598","256.2282","282.2439","692.6199","482.4215","10.1740090909091","10.4740090909091","470"
"","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:1;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VATUSJCBCJUYQT-JVXVHHPZNA-N;C43H81NO5","690.60420","227.2017","181.1598","254.2126","280.2282","690.6042","480.4058","9.3155606060606","9.6155606060606","1495"
"","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5",0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5",0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5",0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5",0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5",0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","MSDIAL_Cer 14:1;2O/16:0;O(FA 14:0);[M-H]-;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DRRBYDJEIUPUCX-WIKZRCHHNA-N;C44H85NO5","706.63550","227.2017","181.1598","270.2439","296.2595","706.6355","496.4371","10.4557772727273","10.7557772727273","1755"
"","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5",0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_Cer 14:1;2O/15:0;O(FA 14:1);[M-H]-;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;XKVXPQHEMOCIFX-GDJPZIHCNA-N;C43H81NO5","690.60420","225.1860","181.1598","256.2282","282.2439","690.6042","482.4215","9.3155606060606","9.6155606060606","1495"
"","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5",0,0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_Cer 14:1;2O/12:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VXVWKFARKMFKCZ-XPXRSFDGNA-N;C41H79NO5","664.58855","241.2173","181.1598","214.1813","240.1969","664.5886","440.3745","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5",0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_Cer 14:1;2O/13:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SYAJPBBWRFMLHE-VBMGMRCRNA-N;C42H81NO5","678.60420","241.2173","181.1598","228.1969","254.2126","678.6042","454.3902","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5",0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5",10.4723,0,0,0,0,10.4723,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5",2,0,0,0,0,2,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5",774.0684,0,0,0,0,774.0684,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5",692.62145,0,0,0,0,692.62145,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_Cer 14:1;2O/14:0;O(FA 15:0);[M-H]-;CCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GRIZZYMTTZPBJK-JSLDZMDGNA-N;C43H83NO5","692.61985","241.2173","181.1598","242.2126","268.2282","692.6199","468.4058","10.3349015151515","10.6349015151515","366"
