"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_DGGA","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 12:0_26:4;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11","819.56279","819.5628","199.1704","387.3269","449.2392","637.3957","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;SCIOOWXPYSJBEX-WNXRHBFNNA-N;C47H80O11","819.56279","819.5628","227.2017","359.2956","477.2705","609.3644","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:0_22:4;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NQSBJQBRKCAECU-BHYOAKPMNA-N;C47H80O11","819.56279","819.5628","255.2330","331.2643","505.3018","581.3331","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:1_22:3;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;HGCRVPQXYLSCHM-PHLVFGIENA-N;C47H80O11","819.56279","819.5628","253.2173","333.2799","503.2862","583.3488","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 16:2_22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HVFLREZJMNHMIW-ZJCTUUHQNA-N;C47H80O11","819.56279","819.5628","251.2017","335.2956","501.2705","585.3644","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:1_16:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;JTVOGZJXBZEDIO-WLJDSPDKNA-N;C47H80O11","819.56279","819.5628","249.1860","337.3112","499.2549","587.3801","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 22:0_16:4;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;KPLLHXQIKHWJCU-BCIYQSFPNA-N;C47H80O11","819.56279","819.5628","247.1704","339.3269","497.2392","589.3957","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 17:2_21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;BQXZHFYDWAEIIP-YGVRUMBCNA-N;C47H80O11","819.56279","819.5628","265.2173","321.2799","515.2862","571.3488","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:0_20:4;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RDQLNLLBBOGDHF-YZVDMUQZNA-N;C47H80O11","819.56279","819.5628","283.2643","303.2330","533.3331","553.3018","4.95305757575758","5.25305757575758","2512"
"","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11",0,0,0,0,0,0,"4.95305757575758","5.25305757575758","2512","","MSDIAL_DGGA 18:1_20:3;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;LKZXEIREQXHQRC-ZYKQNZMBNA-N;C47H80O11","819.56279","819.5628","281.2486","305.2486","531.3174","555.3174","4.95305757575758","5.25305757575758","2512"
