"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_EtherDGDG","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;SQDKQMLDUAGHOI-YCQIVBOANA-N;C56H94O14","1035.66256","409.31050"," 989.6571","579.3388","597.3494","1035.6630","0.775422727272727","1.07542272727273","120"
"","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-13:1_28:6;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KHPBIRPLISJEMO-DJHNAPAONA-N;C56H94O14","1035.66256","411.32610"," 989.6571","577.3232","595.3337","1035.6630","0.775422727272727","1.07542272727273","120"
"","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;IBOZEHHPTLHMCW-JTENWGLBNA-N;C56H94O14","1035.66256","381.27920"," 989.6571","607.3701","625.3806","1035.6630","0.775422727272727","1.07542272727273","120"
"","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;AXYZUACAXZOMEU-IXRHHPIJNA-N;C58H98O14","1063.69386","409.31050","1017.6880","607.3701","625.3807","1063.6940","1.00262575757576","1.30262575757576","2702"
"","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-15:1_26:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UYOCUXQYMFQJSH-JSQURJFFNA-N;C56H94O14","1035.66256","383.29480"," 989.6571","605.3544","623.3650","1035.6630","0.775422727272727","1.07542272727273","120"
"","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-15:1_28:6;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;YONUHMUSXJUEGO-JSQURJFFNA-N;C58H98O14","1063.69386","411.32610","1017.6880","605.3544","623.3650","1063.6940","1.00262575757576","1.30262575757576","2702"
"","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14",0,0,0,0,0,0,"0.823277272727273","1.12327727272727","390","","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14",0,0,0,0,0,0,"0.823277272727273","1.12327727272727","390","","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14",0,0,0,0,0,0,"0.823277272727273","1.12327727272727","390","","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14",0,0,0,0,0,0,"0.823277272727273","1.12327727272727","390","","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14",0,0,0,0,0,0,"0.823277272727273","1.12327727272727","390","","MSDIAL_DGDG O-15:1_28:7;[M+HCOO]-;CCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QZYMYUAZXYZWRK-DENCNGOHNA-N;C58H96O14","1061.67821","409.31050","1015.6730","605.3544","623.3650","1061.6780","0.823277272727273","1.12327727272727","390"
"","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14",0,0,0,0,0,0,"1.00262575757576","1.30262575757576","2702","","MSDIAL_DGDG O-17:0_26:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;FBOBHHDMNVQQBX-VDIKEFFTNA-N;C58H98O14","1063.69386","381.27920","1017.6880","635.4014","653.4119","1063.6940","1.00262575757576","1.30262575757576","2702"
"","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14",0,0,0,0,0,0,"1.246835","1.546835","260","","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14",0,0,0,0,0,0,"1.246835","1.546835","260","","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14",0,0,0,0,0,0,"1.246835","1.546835","260","","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14",0,0,0,0,0,0,"1.246835","1.546835","260","","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14",0,0,0,0,0,0,"1.246835","1.546835","260","","MSDIAL_DGDG O-17:0_28:7;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RYEPFIKQYMTFPW-COYVHWGWNA-N;C60H102O14","1091.72516","409.31050","1045.7200","635.4014","653.4120","1091.7250","1.246835","1.546835","260"
"","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14",0,0,0,0,0,0,"0.775422727272727","1.07542272727273","120","","MSDIAL_DGDG O-17:1_24:6;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;LYRKRVUPBDFLED-FPDGXAMRNA-N;C56H94O14","1035.66256","355.26350"," 989.6571","633.3857","651.3963","1035.6630","0.775422727272727","1.07542272727273","120"
