"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Number of Scans","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Max Intensity","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Average m/z","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment"
"","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P",1,0,1,1,0,0,1,0,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P",8.354185,0,8.354185,8.354185,0,0,8.354185,0,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P",1,0,1,1,0,0,1,0,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P",20790.72,0,405654.6,20790.72,0,0,3615.187,0,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P",806.5926,0,746.5714,806.5926,0,0,224.0694,0,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P","806.59166","297.2435","746.5700","806.5917","448.3186","466.3292","224.0693","  1.0000","  1.0000","8.19296060606061","8.49296060606061","231"
"","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P",1,0,1,0,1,0,0,1,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P",8.354185,0,8.354185,0,8.354185,0,0,8.354185,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P",1,0,1,0,1,0,0,1,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P",20790.72,0,405654.6,0,20790.72,0,0,3615.187,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P",806.5926,0,746.5714,0,806.5926,0,0,224.0694,0,"8.19296060606061","8.49296060606061","231","","MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P","806.59166","297.2435","746.5700","279.2330","806.5917","448.3186","466.3292","224.0693","  1.0000","8.19296060606061","8.49296060606061","231"
"","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P",1,0,1,1,0,0,1,0,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P",7.344148,0,7.344148,7.344148,0,0,7.344148,0,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P",2,0,2,2,0,0,2,0,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P",50404.5,0,1030113,50404.5,0,0,10147.14,0,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P",804.5769,0,744.55555,804.5769,0,0,224.0693,0,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P","804.57601","295.2279","744.5543","804.5760","448.3186","466.3292","224.0693","  1.0000","  1.0000","7.16090151515151","7.46090151515151","155"
"","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P",1,0,1,0,1,0,0,1,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P",7.344148,0,7.344148,0,7.344148,0,0,7.344148,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P",2,0,2,0,2,0,0,2,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P",50404.5,0,1030113,0,50404.5,0,0,10147.14,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P",804.5769,0,744.55555,0,804.5769,0,0,224.0693,0,"7.16090151515151","7.46090151515151","155","","MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P","804.57601","295.2279","744.5543","277.2173","804.5760","448.3186","466.3292","224.0693","  1.0000","7.16090151515151","7.46090151515151","155"
"","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P",0,0,0,0,0,0,0,0,0,"5.91440757575758","6.21440757575758","806","","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P",0,0,0,0,0,0,0,0,0,"5.91440757575758","6.21440757575758","806","","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P",0,0,0,0,0,0,0,0,0,"5.91440757575758","6.21440757575758","806","","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P",0,0,0,0,0,0,0,0,0,"5.91440757575758","6.21440757575758","806","","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P",0,0,0,0,0,0,0,0,0,"5.91440757575758","6.21440757575758","806","","MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P","820.57092","311.2228","760.5493","275.2017","293.2122","820.5709","448.3186","466.3292","224.0693","5.91440757575758","6.21440757575758","806"
"","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",1,0,1,0,1,0,0,1,0,"6.24482727272727","6.54482727272727","70","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",6.367817,0,6.367817,0,6.367817,0,0,6.367817,0,"6.24482727272727","6.54482727272727","70","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",2,0,2,0,2,0,0,2,0,"6.24482727272727","6.54482727272727","70","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",124890,0,2809615,0,124890,0,0,42620.08,0,"6.24482727272727","6.54482727272727","70","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",802.56105,0,742.53995,0,802.56105,0,0,224.06935,0,"6.24482727272727","6.54482727272727","70","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P","802.56036","293.2122","742.5387","275.2017","802.5604","448.3186","466.3292","224.0693","  1.0000","6.24482727272727","6.54482727272727","70"
"","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",1,0,1,0,1,0,0,1,0,"6.0695696969697","6.3695696969697","500","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",6.367817,0,6.367817,0,6.367817,0,0,6.367817,0,"6.0695696969697","6.3695696969697","500","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",2,0,2,0,2,0,0,2,0,"6.0695696969697","6.3695696969697","500","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",124890,0,2809615,0,124890,0,0,42620.08,0,"6.0695696969697","6.3695696969697","500","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P",802.56165,0,742.5402,0,802.56165,0,0,224.0693,0,"6.0695696969697","6.3695696969697","500","","MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P","802.56036","293.2122","742.5387","275.2017","802.5604","448.3186","466.3292","224.0693","  1.0000","6.0695696969697","6.3695696969697","500"
"","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P",1,0,1,0,1,0,0,1,0,"7.41247424242424","7.71247424242424","162","","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P",7.607316,0,7.607316,0,7.607316,0,0,7.607316,0,"7.41247424242424","7.71247424242424","162","","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P",2,0,2,0,2,0,0,2,0,"7.41247424242424","7.71247424242424","162","","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P",52563.86,0,1089333,0,52563.86,0,0,13527.83,0,"7.41247424242424","7.71247424242424","162","","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P",830.59265,0,770.57145,0,830.59265,0,0,224.06935,0,"7.41247424242424","7.71247424242424","162","","MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P","830.59166","321.2435","770.5700","303.2330","830.5917","448.3186","466.3292","224.0693","  1.0000","7.41247424242424","7.71247424242424","162"
"","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",1,0,1,1,0,0,1,0,0,"6.54269393939394","6.84269393939394","187","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",6.64095,0,6.64095,6.64095,0,0,6.64095,0,0,"6.54269393939394","6.84269393939394","187","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",2,0,2,2,0,0,2,0,0,"6.54269393939394","6.84269393939394","187","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",20734.85,0,512728.2,20734.85,0,0,5768.036,0,0,"6.54269393939394","6.84269393939394","187","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",828.57695,0,768.5557,828.57695,0,0,224.0693,0,0,"6.54269393939394","6.84269393939394","187","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P","828.57601","319.2279","768.5543","828.5760","448.3186","466.3292","224.0693","  1.0000","  1.0000","6.54269393939394","6.84269393939394","187"
"","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",1,0,1,1,0,0,1,0,0,"6.33619848484848","6.63619848484848","219","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",6.523652,0,6.523652,6.523652,0,0,6.523652,0,0,"6.33619848484848","6.63619848484848","219","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",1,0,1,1,0,0,1,0,0,"6.33619848484848","6.63619848484848","219","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",18346.02,0,374353.8,18346.02,0,0,5355.836,0,0,"6.33619848484848","6.63619848484848","219","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P",828.5771,0,768.5555,828.5771,0,0,224.0694,0,0,"6.33619848484848","6.63619848484848","219","","MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P","828.57601","319.2279","768.5543","828.5760","448.3186","466.3292","224.0693","  1.0000","  1.0000","6.33619848484848","6.63619848484848","219"
