"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P",1,0,1,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P",8.627286,0,8.627286,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P",1,0,1,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P",381988.7,0,381988.7,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P",718.54,0,718.54,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P","718.53923","297.2435","718.5392","438.2985","  1.0000","  1.0000","8.47925757575758","8.77925757575758","193"
"","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P",1,0,1,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P",8.627286,0,8.627286,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P",1,0,1,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P",381988.7,0,381988.7,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P",718.54,0,718.54,0,0,0,"8.47925757575758","8.77925757575758","193","","MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P","718.53923","297.2435","718.5392","279.2330","438.2985","  1.0000","8.47925757575758","8.77925757575758","193"
"","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P","716.52358","295.2279","716.5236","438.2985","  1.0000","  1.0000","5.62081363636364","5.92081363636364","1824"
"","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P",1,0,1,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P",5.999008,0,5.999008,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P",2,0,2,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P",7398.128,0,7398.128,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P",750.53085,0,750.53085,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P","750.52906","329.2333","750.5291","293.2122","311.2228","438.2985","5.85595303030303","6.15595303030303","292"
"","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P",0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P","716.52358","295.2279","716.5236","277.2173","438.2985","  1.0000","5.62081363636364","5.92081363636364","1824"
"","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P","714.50793","293.2122","714.5079","275.2017","438.2985","  1.0000","4.60836818181818","4.90836818181818","1332"
"","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P",0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P","714.50793","293.2122","714.5079","275.2017","438.2985","  1.0000","6.5105303030303","6.8105303030303","1416"
"","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P",1,0,1,0,0,0,"7.6800106060606","7.9800106060606","773","","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P",7.870355,0,7.870355,0,0,0,"7.6800106060606","7.9800106060606","773","","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P",1,0,1,0,0,0,"7.6800106060606","7.9800106060606","773","","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P",35126.13,0,35126.13,0,0,0,"7.6800106060606","7.9800106060606","773","","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P",742.5406,0,742.5406,0,0,0,"7.6800106060606","7.9800106060606","773","","MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P","742.53923","321.2435","742.5392","303.2330","438.2985","  1.0000","7.6800106060606","7.9800106060606","773"
"","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P",1,0,1,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P",5.170068,0,5.170068,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P",1,0,1,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P",6730.892,0,6730.892,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P",774.5306,0,774.5306,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P","774.52906","353.2333","774.5291","317.2122","335.2228","438.2985","4.99847121212121","5.29847121212121","226"
"","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P",0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P",0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P",0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P",0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P",0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P","738.50793","317.2122","738.5079","438.2985","  1.0000","  1.0000","5.65324848484848","5.95324848484848","923"
