"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_AP","[M-H]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10",0,0,0,9.738637,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10",0,0,0,4363.335,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10",0,0,0,179.0563,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 8:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UWVTYRGTIWWTLN-HNENSFHCNA-N;C47H91NO10","828.65702","828.6570","562.5194","179.0556","507.4783","461.4728","532.5089","666.6042","9.57360303030303","9.87360303030303","520"
"","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 8:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;ZTGVPLIFXWOEHF-HNENSFHCNA-N;C48H93NO10","842.67267","842.6727","576.5350","179.0556","521.4940","475.4884","546.5245","680.6198","10.0420727272727","10.3420727272727","692"
"","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10",0,0,0,1,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10",0,0,0,10.65975,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10",0,0,0,1,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10",0,0,0,11269.56,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10",0,0,0,179.0562,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 8:0;3O/35:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCC;UNKNOAMIFGACNN-HNENSFHCNA-N;C49H95NO10","856.68832","856.6883","590.5507","179.0556","535.5096","489.5041","560.5401","694.6355","10.4955393939394","10.7955393939394","349"
"","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10",0,0,0,9.738637,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10",0,0,0,4363.335,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10",0,0,0,179.0563,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 9:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;UOMRTIXLMNQWBN-HNENSFHCNA-N;C47H91NO10","828.65702","828.6570","548.5037","179.0556","493.4626","447.4572","518.4932","666.6042","9.57360303030303","9.87360303030303","520"
"","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 9:0;3O/33:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;NUQQYGJQRDRWQO-HNENSFHCNA-N;C48H93NO10","842.67267","842.6727","562.5194","179.0556","507.4783","461.4728","532.5089","680.6198","10.0420727272727","10.3420727272727","692"
"","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10",0,0,0,1,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10",0,0,0,10.65975,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10",0,0,0,1,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10",0,0,0,11269.56,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10",0,0,0,179.0562,0,0,0,0,"10.4955393939394","10.7955393939394","349","","MSDIAL_HexCer 9:0;3O/34:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;JVOPOPHLXRURFX-HNENSFHCNA-N;C49H95NO10","856.68832","856.6883","576.5350","179.0556","521.4940","475.4884","546.5245","694.6355","10.4955393939394","10.7955393939394","349"
"","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,1,0,0,0,0,"9.50652121212121","9.80652121212121","730","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,9.674962,0,0,0,0,"9.50652121212121","9.80652121212121","730","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,1,0,0,0,0,"9.50652121212121","9.80652121212121","730","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,3696.735,0,0,0,0,"9.50652121212121","9.80652121212121","730","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,179.0563,0,0,0,0,"9.50652121212121","9.80652121212121","730","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10","854.67267","854.6727","574.5194","179.0556","519.4783","473.4728","544.5089","692.6198","9.50652121212121","9.80652121212121","730"
"","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,1,0,0,0,0,"9.66252727272727","9.96252727272727","2994","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,9.674962,0,0,0,0,"9.66252727272727","9.96252727272727","2994","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,1,0,0,0,0,"9.66252727272727","9.96252727272727","2994","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,3696.735,0,0,0,0,"9.66252727272727","9.96252727272727","2994","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10",0,0,0,179.0563,0,0,0,0,"9.66252727272727","9.96252727272727","2994","","MSDIAL_HexCer 9:0;3O/34:2;(2OH);[M-H]-;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCC;CQMAOCKIQCUUOG-GJLVVWLQNA-N;C49H93NO10","854.67267","854.6727","574.5194","179.0556","519.4783","473.4728","544.5089","692.6198","9.66252727272727","9.96252727272727","2994"
"","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10",0,0,0,9.738637,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10",0,0,0,1,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10",0,0,0,4363.335,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10",0,0,0,179.0563,0,0,0,0,"9.57360303030303","9.87360303030303","520","","MSDIAL_HexCer 10:0;3O/31:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YPIQXECRLAJDFR-VXPUYCOJNA-N;C47H91NO10","828.65702","828.6570","534.4881","179.0556","479.4470","433.4415","504.4775","666.6042","9.57360303030303","9.87360303030303","520"
"","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10",0,0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","MSDIAL_HexCer 10:0;3O/32:1;(2OH);[M-H]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC;YMSGLUUJQZCDPI-VXPUYCOJNA-N;C48H93NO10","842.67267","842.6727","548.5037","179.0556","493.4626","447.4572","518.4932","680.6198","10.0420727272727","10.3420727272727","692"
