"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_EOS","[M+HCOO]-","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;RVTLEZAVZLPDLB-XRJMOETHNA-N;C50H91NO10","910.66251","864.6570","612.4481","468.4058","702.6042","910.6625","251.2017","630.4587","10.0432939393939","10.3432939393939","1021"
"","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:1;3O(FA 17:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;BIVLSRWKVUNJIK-QDCIPGJENA-N;C51H93NO10","924.67816","878.6727","612.4481","468.4058","716.6198","924.6782","265.2173","630.4587","10.4961333333333","10.7961333333333","518"
"","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:2;3O(FA 15:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCC;AOVLHTDQJJTZHN-RBKGVANQNA-N;C49H89NO10","896.64686","850.6414","610.4324","466.3902","688.5886","896.6469","239.2017","628.4430","9.57360303030303","9.87360303030303","721"
"","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:2;3O(FA 16:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCC;HMSBXSVZEPLFET-VQKYDSIANA-N;C50H91NO10","910.66251","864.6570","610.4324","466.3902","702.6042","910.6625","253.2173","628.4430","10.0432939393939","10.3432939393939","1021"
"","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:2;3O(FA 17:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCCCCC;PJVZZRQBACFUAO-VPCWHFCLNA-N;C51H93NO10","924.67816","878.6727","610.4324","466.3902","716.6198","924.6782","267.2330","628.4430","10.4961333333333","10.7961333333333","518"
"","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 28:3;3O(FA 15:0);[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;GJOGTWLWNASLMD-SNKFUIQKNA-N;C49H89NO10","896.64686","850.6414","608.4168","464.3745","688.5886","896.6469","241.2173","626.4274","9.57360303030303","9.87360303030303","721"
"","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","MSDIAL_HexCer 28:3;3O(FA 16:0);[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;YWPVYNRNVDMZIU-ZEGFTZRPNA-N;C50H91NO10","910.66251","864.6570","608.4168","464.3745","702.6042","910.6625","255.2330","626.4274","10.0432939393939","10.3432939393939","1021"
"","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 28:3;3O(FA 17:0);[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;ZWCYSAYEEAPOPD-KDULGNDVNA-N;C51H93NO10","924.67816","878.6727","608.4168","464.3745","716.6198","924.6782","269.2486","626.4274","10.4961333333333","10.7961333333333","518"
"","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","MSDIAL_HexCer 29:1;3O(FA 16:2);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;WZPDOZHUPWPMKP-HDGAZPESNA-N;C51H93NO10","924.67816","878.6727","626.4637","482.4215","716.6198","924.6782","251.2017","644.4743","10.4961333333333","10.7961333333333","518"
"","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","MSDIAL_HexCer 29:2;3O(FA 14:1);[M+HCOO]-;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10","896.64686","850.6414","624.4481","480.4058","688.5886","896.6469","225.1860","642.4587","9.57360303030303","9.87360303030303","721"
