"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_HDS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+HCOO]-;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","294.2428","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:0;2O/26:1;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C/CCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;IJMNFJIKBOCVIT-FCQUAONHNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","406.3680","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:0;2O/17:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCCC;PNYCQGLVVRCUHO-VZCXRCSSNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","280.2271","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:0;2O/25:1;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCCC;RKSSNCQSIAYZSJ-FCQUAONHNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","392.3523","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:0;2O/16:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCC\C=C/CCCCCCCC;VQZUDRVHNNMYFR-UZYVYHOENA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","266.2115","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:0;2O/24:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCCC;BQUQYLTUVATSDV-DQRAZIAONA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","378.3367","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:0;2O/15:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCCC;PRIKYVRWOFTYQD-OWBHPGMINA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","252.1958","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:0;2O/23:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCCC;RAKUZTIKWMOATM-DQRAZIAONA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","364.3210","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:0;2O/14:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCC\C=C/CCCC;KIYXUNAYGIHASS-BENRWUELNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","238.1802","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:0;2O/22:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;FKPLFILRCVTQPM-MRCUWXFGNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","350.3054","872.6832","10.2804772727273","10.5804772727273","1356"
