"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_HS","[M+HCOO]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","296.2584","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","408.3836","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 17:1;2O/17:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;GNABFHXTXNWQIH-BYCLXTJYNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","282.2428","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 17:1;2O/25:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCC;MDVNBSZNZJITHY-JMUUFCRMNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","394.3680","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 18:1;2O/16:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;FMRHRMJAYYLKAI-BYCLXTJYNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","268.2271","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 18:1;2O/24:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC;ZXWQZGROTQMXME-JMUUFCRMNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","380.3523","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 19:1;2O/15:0;O;[M+HCOO]-;CCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCC;BBXFKTMMOMXXRL-BYCLXTJYNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","254.2115","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 19:1;2O/23:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCC;LKFFTYGZOPSHMZ-JMUUFCRMNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","366.3367","872.6832","10.2804772727273","10.5804772727273","1356"
"","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,"5.89793181818182","6.19793181818182","1496","","MSDIAL_HexCer 20:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCC;BVFHPVQDDNJRQN-BYCLXTJYNA-N;C40H77NO9","760.55805","714.5526","552.4997","179.0561","240.1958","760.5580","5.89793181818182","6.19793181818182","1496"
"","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,"10.2804772727273","10.5804772727273","1356","","MSDIAL_HexCer 20:1;2O/22:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCCCC;INOHXIVHPUXTBV-JMUUFCRMNA-N;C48H93NO9","872.68325","826.6777","664.6249","179.0561","352.3210","872.6832","10.2804772727273","10.5804772727273","1356"
