"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LNAPE","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 2:0/N-17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;SMQKMIIEMNFAOT-HZJYTTRNNA-N;C24H44NO8P","504.27318"," 59.01330","504.2732","152.9958","444.2515","462.2621","0.630451666666667","0.930451666666667","3972"
"","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 2:0/N-20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(C)=O;ALDYJFYHGDMETB-UHFFFAOYNA-N;C27H54NO8P","550.35143"," 59.01330","550.3514","152.9958","490.3298","508.3403","0.98556166666667","1.28556166666667","1282"
"","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P",0,0,0,0,0,0,"0.630451666666667","0.930451666666667","3972","","MSDIAL_LNAPE 3:0/N-16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;MMJUDSKZCHGZJX-HZJYTTRNNA-N;C24H44NO8P","504.27318"," 73.02894","504.2732","152.9958","430.2359","448.2464","0.630451666666667","0.930451666666667","3972"
"","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P",0,0,0,0,0,0,"0.597746666666667","0.897746666666667","2106","","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P",0,0,0,0,0,0,"0.597746666666667","0.897746666666667","2106","","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P",0,0,0,0,0,0,"0.597746666666667","0.897746666666667","2106","","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P",0,0,0,0,0,0,"0.597746666666667","0.897746666666667","2106","","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P",0,0,0,0,0,0,"0.597746666666667","0.897746666666667","2106","","MSDIAL_LNAPE 3:0/N-18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;AIUCICHLCMADFK-AFSLFLIVNA-N;C26H44NO8P","528.27318"," 73.02894","528.2732","152.9958","454.2359","472.2464","0.597746666666667","0.897746666666667","2106"
"","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 3:0/N-19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;FIQQJOVBUDYTFT-UHFFFAOYNA-N;C27H54NO8P","550.35143"," 73.02894","550.3514","152.9958","476.3141","494.3247","0.98556166666667","1.28556166666667","1282"
"","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P",1,0,1,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P",6.281945,0,6.281945,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P",2,0,2,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P",234516.4,0,234516.4,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P",662.47755,0,662.47755,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 3:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CC;ACNJZEIJMOTUDS-UHFFFAOYNA-N;C35H70NO8P","662.47663"," 73.02894","662.4766","152.9958","588.4393","606.4499","6.13960757575758","6.43960757575758","188"
"","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 4:0/N-18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;JCFFWXWKNXQLCH-UHFFFAOYNA-N;C27H54NO8P","550.35143"," 87.04458","550.3514","152.9958","462.2985","480.3091","0.98556166666667","1.28556166666667","1282"
"","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P",1,0,1,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P",6.281945,0,6.281945,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P",2,0,2,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P",234516.4,0,234516.4,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P",662.47755,0,662.47755,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 4:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCC;LCNAWWIGOFXCTL-UHFFFAOYNA-N;C35H70NO8P","662.47663"," 87.04458","662.4766","152.9958","574.4237","592.4343","6.13960757575758","6.43960757575758","188"
"","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P",0,0,0,0,0,0,"0.98556166666667","1.28556166666667","1282","","MSDIAL_LNAPE 5:0/N-17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;WTTVDACRWQDCBU-UHFFFAOYNA-N;C27H54NO8P","550.35143","101.06020","550.3514","152.9958","448.2828","466.2934","0.98556166666667","1.28556166666667","1282"
"","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P",1,0,1,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P",6.281945,0,6.281945,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P",2,0,2,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P",234516.4,0,234516.4,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P",662.47755,0,662.47755,0,0,0,"6.13960757575758","6.43960757575758","188","","MSDIAL_LNAPE 5:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCOP(O)(=O)OCC(O)COC(=O)CCCC;UAWNRNASEKJDIV-UHFFFAOYNA-N;C35H70NO8P","662.47663","101.06020","662.4766","152.9958","560.4080","578.4186","6.13960757575758","6.43960757575758","188"
