"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment","Average m/z","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LNAPS","[M-H]-","1","2","3","RT_min","RT_max","Comment"
"","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 2:0/N-20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;IWTDXKVWOZJCCP-KHPPLWFENA-N;C28H52NO10P","592.32561","213.0171","152.9958","592.3256","0.590781666666667","0.890781666666667","3933"
"","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 2:0/N-22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;HDPLVVMTOSTNMB-JPFHKJGANA-N;C30H52NO10P","616.32561","213.0171","152.9958","616.3256","0.556195","0.856195","3915"
"","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P",1,0,1,1,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P",3.867781,0,3.867781,3.867781,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P",2,0,2,2,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P",258464.7,0,65533.39,258464.7,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P",678.43565,0,152.99585,678.43565,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 2:0/N-26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(C)=O)C(O)=O;DVHLYFDERLPMLQ-UHFFFAOYNA-N;C34H66NO10P","678.43516","213.0172","152.9958","678.4352","3.71595909090909","4.01595909090909","111"
"","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 3:0/N-19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;YGXUGDGFBSZVRQ-SEYXRHQNNA-N;C28H52NO10P","592.32561","227.0328","152.9958","592.3256","0.590781666666667","0.890781666666667","3933"
"","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P",1,0,1,1,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P",3.867781,0,3.867781,3.867781,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P",2,0,2,2,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P",258464.7,0,65533.39,258464.7,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P",678.43565,0,152.99585,678.43565,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 3:0/N-25:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CC)C(O)=O;BOTOPGDYIZUPMQ-UHFFFAOYNA-N;C34H66NO10P","678.43516","227.0329","152.9958","678.4352","3.71595909090909","4.01595909090909","111"
"","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 4:0/N-18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;JZUZDOIVOIYLPH-QXMHVHEDNA-N;C28H52NO10P","592.32561","241.0484","152.9958","592.3256","0.590781666666667","0.890781666666667","3933"
"","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P",0,0,0,0,"0.556195","0.856195","3915","","MSDIAL_LNAPS 4:0/N-20:3;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(NC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C(O)=O;OBUFPAVOTICCCE-AGRJPVHONA-N;C30H52NO10P","616.32561","241.0484","152.9958","616.3256","0.556195","0.856195","3915"
"","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P",1,0,1,1,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P",3.867781,0,3.867781,3.867781,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P",2,0,2,2,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P",258464.7,0,65533.39,258464.7,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P",678.43565,0,152.99585,678.43565,"3.71595909090909","4.01595909090909","111","","MSDIAL_LNAPS 4:0/N-24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;MBVPZVOCMGYQNU-UHFFFAOYNA-N;C34H66NO10P","678.43516","241.0485","152.9958","678.4352","3.71595909090909","4.01595909090909","111"
"","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P",1,0,0,1,"5.56829242424242","5.86829242424242","190","","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P",5.740896,0,5.740896,5.740896,"5.56829242424242","5.86829242424242","190","","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P",1,0,1,1,"5.56829242424242","5.86829242424242","190","","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P",182553.7,0,690.6321,182553.7,"5.56829242424242","5.86829242424242","190","","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P",720.4832,0,152.9959,720.4832,"5.56829242424242","5.86829242424242","190","","MSDIAL_LNAPS 4:0/N-27:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCC)C(O)=O;YFHZWYJPQWTYAX-UHFFFAOYNA-N;C37H72NO10P","720.48211","241.0485","152.9958","720.4821","5.56829242424242","5.86829242424242","190"
"","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P",0,0,0,0,"0.590781666666667","0.890781666666667","3933","","MSDIAL_LNAPS 5:0/N-17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)NC(COP(O)(=O)OCC(O)COC(=O)CCCC)C(O)=O;WZBQWJHNXBQBKT-QXMHVHEDNA-N;C28H52NO10P","592.32561","255.0641","152.9958","592.3256","0.590781666666667","0.890781666666667","3933"
