"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPC","[M+HCOO]-","1","2","3","4","RT_min","RT_max","Comment"
"","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",1,1,1,1,1,"0.476742424242424","0.776742424242424","194","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",0.646187,0.646187,0.646187,0.646187,0.646187,"0.476742424242424","0.776742424242424","194","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",1,1,1,1,1,"0.476742424242424","0.776742424242424","194","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",10350.57,121066.3,320623.3,10982.18,10350.57,"0.476742424242424","0.776742424242424","194","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",512.2994,227.2017,452.2785,224.0694,512.2994,"0.476742424242424","0.776742424242424","194","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","512.29939","227.2010","452.2777","224.0693","512.2994","0.476742424242424","0.776742424242424","194"
"","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",1,1,1,1,1,"0.645025","0.945025","2578","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",0.646187,0.646187,0.646187,0.646187,0.646187,"0.645025","0.945025","2578","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",1,1,1,1,1,"0.645025","0.945025","2578","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",10350.57,121066.3,320623.3,10982.18,10350.57,"0.645025","0.945025","2578","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P",512.2994,227.2017,452.2785,224.0694,512.2994,"0.645025","0.945025","2578","","MSDIAL_LPC 14:0;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","512.29939","227.2010","452.2777","224.0693","512.2994","0.645025","0.945025","2578"
"","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P",0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P",0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P",0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P",0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P",0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPC 14:1;[M+HCOO]-;CCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;JXGLGTFMAQOJBB-HJWRWDBZNA-N;C22H44NO7P","510.28374","225.1853","450.2621","224.0693","510.2838","0.77015","1.07015","1006"
"","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P",0,0,0,0,0,"0.60280303030303","0.90280303030303","228","","MSDIAL_LPC 15:0;[M+HCOO]-;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","526.31504","241.2166","466.2934","224.0693","526.3151","0.60280303030303","0.90280303030303","228"
"","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",1,1,1,1,1,"0.777812121212121","1.07781212121212","8","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",0.8822394,0.8822394,0.8822394,0.8822394,0.8822394,"0.777812121212121","1.07781212121212","8","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",2,2,2,2,2,"0.777812121212121","1.07781212121212","8","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",130445.3,1979703,3001127,96706.05,130445.3,"0.777812121212121","1.07781212121212","8","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",540.3308,255.23295,480.30955,224.06935,540.3308,"0.777812121212121","1.07781212121212","8","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","540.33069","255.2323","480.3090","224.0693","540.3307","0.777812121212121","1.07781212121212","8"
"","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",1,1,1,1,1,"0.9446","1.2446","3825","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",1.006761,1.006761,1.006761,1.006761,1.006761,"0.9446","1.2446","3825","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",2,2,2,2,2,"0.9446","1.2446","3825","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",92571.73,923323.8,2143266,79065.26,92571.73,"0.9446","1.2446","3825","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P",540.33085,255.233,480.3096,224.0694,540.33085,"0.9446","1.2446","3825","","MSDIAL_LPC 16:0;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","540.33069","255.2323","480.3090","224.0693","540.3307","0.9446","1.2446","3825"
"","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",1,1,1,1,1,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",0.7102667,0.7102667,0.7102667,0.7102667,0.7102667,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",1,1,1,1,1,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",11283.69,130325.7,292454.3,10387.66,11283.69,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",538.3149,253.2173,478.294,224.0694,538.3149,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","538.31504","253.2166","478.2934","224.0693","538.3151","0.528524242424242","0.828524242424242","137"
"","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",1,0,0,0,1,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",1.364999,0,0,0,1.364999,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",1,0,0,0,1,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",28938.36,0,0,0,28938.36,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P",538.3154,0,0,0,538.3154,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPC 16:1;[M+HCOO]-;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","538.31504","253.2166","478.2934","224.0693","538.3151","1.20290151515152","1.50290151515152","706"
"","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P",0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPC 16:2;[M+HCOO]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RBYFRQAINZHANG-NQLNTKRDNA-N;C24H46NO7P","536.29939","251.2010","476.2777","224.0693","536.2994","0.817175757575758","1.11717575757576","898"
"","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P",1,0,0,0,1,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P",0.7473137,0,0,0,0.7473137,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P",1,0,0,0,1,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P",27888.15,0,0,0,27888.15,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P",534.2839,0,0,0,534.2839,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPC 16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MXMRHTIUADTCDH-QNEBEIHSNA-N;C24H44NO7P","534.28374","249.1853","474.2621","224.0693","534.2838","0.570583333333333","0.870583333333333","575"
