"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPG","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"0.0369","0.3369","606","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"0.0369","0.3369","606","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"0.0369","0.3369","606","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"0.0369","0.3369","606","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"0.0369","0.3369","606","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","0.0369","0.3369","606"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"7.84445151515152","8.14445151515152","2104","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"7.84445151515152","8.14445151515152","2104","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"7.84445151515152","8.14445151515152","2104","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"7.84445151515152","8.14445151515152","2104","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"7.84445151515152","8.14445151515152","2104","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","7.84445151515152","8.14445151515152","2104"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.82649090909091","7.12649090909091","3250","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.82649090909091","7.12649090909091","3250","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.82649090909091","7.12649090909091","3250","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.82649090909091","7.12649090909091","3250","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.82649090909091","7.12649090909091","3250","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","6.82649090909091","7.12649090909091","3250"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.58408181818182","5.88408181818182","3252","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.58408181818182","5.88408181818182","3252","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.58408181818182","5.88408181818182","3252","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.58408181818182","5.88408181818182","3252","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.58408181818182","5.88408181818182","3252","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","5.58408181818182","5.88408181818182","3252"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.47844242424242","5.77844242424242","3772","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.47844242424242","5.77844242424242","3772","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.47844242424242","5.77844242424242","3772","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.47844242424242","5.77844242424242","3772","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"5.47844242424242","5.77844242424242","3772","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","5.47844242424242","5.77844242424242","3772"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"1.10885303030303","1.40885303030303","3907","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"1.10885303030303","1.40885303030303","3907","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"1.10885303030303","1.40885303030303","3907","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"1.10885303030303","1.40885303030303","3907","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"1.10885303030303","1.40885303030303","3907","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","1.10885303030303","1.40885303030303","3907"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"13.1390878787879","13.4390878787879","4087","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"13.1390878787879","13.4390878787879","4087","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"13.1390878787879","13.4390878787879","4087","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"13.1390878787879","13.4390878787879","4087","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"13.1390878787879","13.4390878787879","4087","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","13.1390878787879","13.4390878787879","4087"
"","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.68331363636364","6.98331363636364","4228","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.68331363636364","6.98331363636364","4228","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.68331363636364","6.98331363636364","4228","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.68331363636364","6.98331363636364","4228","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P",0,0,0,0,0,0,"6.68331363636364","6.98331363636364","4228","","MSDIAL_LPG 4:0;[M-H]-;CCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;NNGVRMBDPHBBPI-UHFFFAOYNA-N;C10H21O9P","315.08504"," 87.04515","315.0851","152.9958","227.0326","245.0432","6.68331363636364","6.98331363636364","4228"
"","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"9.70431212121212","10.0043121212121","1158","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"9.70431212121212","10.0043121212121","1158","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"9.70431212121212","10.0043121212121","1158","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"9.70431212121212","10.0043121212121","1158","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"9.70431212121212","10.0043121212121","1158","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P","329.10069","101.06080","329.1007","152.9958","227.0326","245.0432","9.70431212121212","10.0043121212121","1158"
"","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"8.87382121212121","9.17382121212121","2941","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"8.87382121212121","9.17382121212121","2941","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"8.87382121212121","9.17382121212121","2941","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"8.87382121212121","9.17382121212121","2941","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P",0,0,0,0,0,0,"8.87382121212121","9.17382121212121","2941","","MSDIAL_LPG 5:0;[M-H]-;CCCCC(=O)OCC(O)COP(O)(=O)OCC(O)CO;PGPNTFYJPMSNRS-UHFFFAOYNA-N;C11H23O9P","329.10069","101.06080","329.1007","152.9958","227.0326","245.0432","8.87382121212121","9.17382121212121","2941"
