"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPS","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P",0,0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P",0,0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P",0,0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P",0,0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P",0,0,0,0,0,0,"0.77015","1.07015","1006","","MSDIAL_LPS 17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;RBXXJOPBVLMRSZ-UHFFFAOYNA-N;C23H46NO9P","510.28374","152.9958","78.95906","423.2517","269.2486","510.2838","0.77015","1.07015","1006"
"","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",1,0,0,0,0,1,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",0.7102667,0.7102667,0.7102667,0,0,0.7102667,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",1,1,1,0,0,1,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",11283.69,768.0608,440.2607,0,0,11283.69,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",538.3149,152.9958,78.95905,0,0,538.3149,"0.528524242424242","0.828524242424242","137","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P","538.31504","152.9958","78.95906","451.2830","297.2799","538.3151","0.528524242424242","0.828524242424242","137"
"","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",1,0,0,0,0,1,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",1.364999,1.364999,0,0,0,1.364999,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",1,1,0,0,0,1,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",28938.36,668.9499,0,0,0,28938.36,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P",538.3154,152.9959,0,0,0,538.3154,"1.20290151515152","1.50290151515152","706","","MSDIAL_LPS 19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;QZTQWDNDCFZUCX-UHFFFAOYNA-N;C25H50NO9P","538.31504","152.9958","78.95906","451.2830","297.2799","538.3151","1.20290151515152","1.50290151515152","706"
"","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P",0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P",0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P",0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P",0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P",0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","MSDIAL_LPS 19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;KDKUPWGASYOIMK-KHPPLWFENA-N;C25H48NO9P","536.29939","152.9958","78.95906","449.2674","295.2643","536.2994","0.817175757575758","1.11717575757576","898"
"","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P",1,0,0,0,0,1,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P",0.7473137,0,0,0,0,0.7473137,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P",1,0,0,0,0,1,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P",27888.15,0,0,0,0,27888.15,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P",534.2839,0,0,0,0,534.2839,"0.570583333333333","0.870583333333333","575","","MSDIAL_LPS 19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;YKIMUKUBUASAFM-NQLNTKRDNA-N;C25H46NO9P","534.28374","152.9958","78.95906","447.2517","293.2486","534.2838","0.570583333333333","0.870583333333333","575"
"","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P",0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P",0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P",0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P",0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P",0,0,0,0,0,0,"0.671043939393939","0.971043939393939","608","","MSDIAL_LPS 20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;JRLGKCGUDLONSO-UHFFFAOYNA-N;C26H52NO9P","552.33069","152.9958","78.95906","465.2986","311.2956","552.3307","0.671043939393939","0.971043939393939","608"
"","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P",1,1,1,0,0,1,"0.849518181818182","1.14951818181818","50","","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P",0.9532399,0.9532399,0.9532399,0,0,0.9532399,"0.849518181818182","1.14951818181818","50","","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P",2,2,2,0,0,2,"0.849518181818182","1.14951818181818","50","","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P",49273.48,4036.935,2600.041,0,0,49273.48,"0.849518181818182","1.14951818181818","50","","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P",566.34655,152.99575,78.95913,0,0,566.34655,"0.849518181818182","1.14951818181818","50","","MSDIAL_LPS 21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;IFZCAKDVWKLKEK-UHFFFAOYNA-N;C27H54NO9P","566.34634","152.9958","78.95906","479.3143","325.3112","566.3463","0.849518181818182","1.14951818181818","50"
"","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",1,1,1,0,0,1,"0.590513636363636","0.890513636363636","28","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",0.778071,0.778071,0.778071,0,0,0.778071,"0.590513636363636","0.890513636363636","28","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",1,1,1,0,0,1,"0.590513636363636","0.890513636363636","28","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",64452.28,5329.42,3800.017,0,0,64452.28,"0.590513636363636","0.890513636363636","28","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",564.3311,152.996,78.95913,0,0,564.3311,"0.590513636363636","0.890513636363636","28","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P","564.33069","152.9958","78.95906","477.2986","323.2956","564.3307","0.590513636363636","0.890513636363636","28"
"","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",1,1,1,0,0,1,"0.765088888888889","1.06508888888889","276","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",0.778071,0.778071,0.778071,0,0,0.778071,"0.765088888888889","1.06508888888889","276","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",2,2,1,0,0,2,"0.765088888888889","1.06508888888889","276","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",64452.28,5329.42,3800.017,0,0,64452.28,"0.765088888888889","1.06508888888889","276","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P",564.3311,152.9957,78.95913,0,0,564.3311,"0.765088888888889","1.06508888888889","276","","MSDIAL_LPS 21:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;FBEMJMCWJCKAAH-KHPPLWFENA-N;C27H52NO9P","564.33069","152.9958","78.95906","477.2986","323.2956","564.3307","0.765088888888889","1.06508888888889","276"
"","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P",1,0,0,0,0,1,"0.452106060606061","0.752106060606061","352","","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P",0.6191943,0,0,0,0,0.6191943,"0.452106060606061","0.752106060606061","352","","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P",1,0,0,0,0,1,"0.452106060606061","0.752106060606061","352","","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P",1367.118,0,0,0,0,1367.118,"0.452106060606061","0.752106060606061","352","","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P",562.3171,0,0,0,0,562.3171,"0.452106060606061","0.752106060606061","352","","MSDIAL_LPS 21:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(N)C(O)=O;WCPVKZQIYRTFPA-NQLNTKRDNA-N;C27H50NO9P","562.31504","152.9958","78.95906","475.2830","321.2799","562.3151","0.452106060606061","0.752106060606061","352"
