"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_NAGly","[M-H]-","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 13:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCC(=O)O%10;KHQYXTLFAQCINV-UHFFFAOYNA-N;C41H79NO5","664.58855","450.3953","664.5886","74.02475","213.1860","406.4054","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 14:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;DUXLJINPMRJLJN-UHFFFAOYNA-N;C41H79NO5","664.58855","436.3796","664.5886","74.02475","227.2016","392.3898","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 14:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCC(=O)O%10;IENYAWDTGDVSOI-UHFFFAOYNA-N;C42H81NO5","678.60420","450.3953","678.6042","74.02475","227.2016","406.4054","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5",0,0,0,0,0,0,"3.20824848484849","3.50824848484849","3766","","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5",0,0,0,0,0,0,"3.20824848484849","3.50824848484849","3766","","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5",0,0,0,0,0,0,"3.20824848484849","3.50824848484849","3766","","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5",0,0,0,0,0,0,"3.20824848484849","3.50824848484849","3766","","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5",0,0,0,0,0,0,"3.20824848484849","3.50824848484849","3766","","MSDIAL_NAGly 14:1/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCC/C=C\CCCCCCCC(=O)O%10;DIVBVMRRWMVKOH-IGEFAEIKNA-N;C38H61NO5","610.44770","384.2544","610.4477","74.02475","225.1860","340.2646","3.20824848484849","3.50824848484849","3766"
"","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5",0,0,0,0,0,0,"9.37739242424243","9.67739242424243","1330","","MSDIAL_NAGly 15:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;ULGQCHKGGYXZOG-UHFFFAOYNA-N;C41H79NO5","664.58855","422.3640","664.5886","74.02475","241.2173","378.3741","9.37739242424243","9.67739242424243","1330"
"","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","MSDIAL_NAGly 15:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;QAHWUCLGXUMKJJ-UHFFFAOYNA-N;C42H81NO5","678.60420","436.3796","678.6042","74.02475","241.2173","392.3898","9.8607848484848","10.1607848484848","1372"
"","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",10.4723,0,10.4723,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",2,0,2,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",774.0684,0,774.0684,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",692.62145,0,692.62145,0,0,0,"10.3349015151515","10.6349015151515","366","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5","692.61985","450.3953","692.6199","74.02475","241.2173","406.4054","10.3349015151515","10.6349015151515","366"
"","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",10.4723,0,10.4723,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",2,0,2,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",774.0684,0,774.0684,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5",692.62145,0,692.62145,0,0,0,"10.1740090909091","10.4740090909091","470","","MSDIAL_NAGly 15:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;CWCGAKZAUYTFAC-UHFFFAOYNA-N;C43H83NO5","692.61985","450.3953","692.6199","74.02475","241.2173","406.4054","10.1740090909091","10.4740090909091","470"
"","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCCCCCC(=O)O%10;GOXIZYKLVCTQNN-VXPUYCOJNA-N;C43H81NO5","690.60420","448.3796","690.6042","74.02475","241.2173","404.3898","9.3155606060606","9.6155606060606","1495"
"","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","MSDIAL_NAGly 15:1/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCC/C=C\CCCCCCCC(=O)O%10;NNYZOOLSCDSMAW-OWBHPGMINA-N;C43H81NO5","690.60420","450.3953","690.6042","74.02475","239.2016","406.4054","9.3155606060606","9.6155606060606","1495"
