"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P",1,1,0,1,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P",5.999008,5.999008,0,5.999008,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P",2,2,0,2,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P",7398.128,60312.25,0,7398.128,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P",750.53085,255.233,0,750.53085,0,0,0,"5.85595303030303","6.15595303030303","292","","MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P","750.52906","255.2323","297.2435","750.5291","279.2330","315.2541","196.038","5.85595303030303","6.15595303030303","292"
"","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P",0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P",0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P",0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P",0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P",0,0,0,0,0,0,0,"4.66369090909091","4.96369090909091","3080","","MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P","748.51341","255.2323","295.2279","748.5134","277.2173","313.2384","196.038","4.66369090909091","4.96369090909091","3080"
"","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P",0,0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P",0,0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P",0,0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P",0,0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P",0,0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","MSDIAL_PE 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RPNSAGJIILOXPU-DGJXYFCYNA-N;C41H76NO10P","772.51341","255.2323","319.2279","772.5134","301.2173","337.2384","196.038","5.93952727272727","6.23952727272727","902"
"","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P",0,0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P",0,0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P",0,0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P",0,0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P",0,0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P","796.51341","255.2323","343.2279","796.5134","325.2173","361.2384","196.038","5.74913636363636","6.04913636363636","976"
"","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P",0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P",0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P",0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P",0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P",0,0,0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P","762.56544","283.2635","762.5654","281.2486","196.0380","299.2592","  1.000","7.58775757575758","7.88775757575758","2502"
"","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P",1,1,0,1,0,0,0,"7.07521363636364","7.37521363636364","654","","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P",7.238242,7.238242,0,7.238242,0,0,0,"7.07521363636364","7.37521363636364","654","","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P",1,1,0,1,0,0,0,"7.07521363636364","7.37521363636364","654","","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P",10895.04,2564.692,0,10895.04,0,0,0,"7.07521363636364","7.37521363636364","654","","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P",778.5616,283.2641,0,778.5616,0,0,0,"7.07521363636364","7.37521363636364","654","","MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P","778.56036","283.2635","297.2435","778.5604","279.2330","315.2541","196.038","7.07521363636364","7.37521363636364","654"
"","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",6.165564,0,0,6.165564,0,0,0,"5.97987878787879","6.27987878787879","160","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"5.97987878787879","6.27987878787879","160","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",7300.446,0,0,7300.446,0,0,0,"5.97987878787879","6.27987878787879","160","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",776.5465,0,0,776.5465,0,0,0,"5.97987878787879","6.27987878787879","160","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P","776.54471","283.2635","295.2279","776.5447","277.2173","313.2384","196.038","5.97987878787879","6.27987878787879","160"
"","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"7.8329303030303","8.1329303030303","782","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",8.003457,0,0,8.003457,0,0,0,"7.8329303030303","8.1329303030303","782","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"7.8329303030303","8.1329303030303","782","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",55092.88,0,0,55092.88,0,0,0,"7.8329303030303","8.1329303030303","782","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",776.5453,0,0,776.5453,0,0,0,"7.8329303030303","8.1329303030303","782","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P","776.54471","283.2635","295.2279","776.5447","277.2173","313.2384","196.038","7.8329303030303","8.1329303030303","782"
"","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",6.165564,0,0,6.165564,0,0,0,"6.10964166666667","6.40964166666667","2194","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",1,0,0,1,0,0,0,"6.10964166666667","6.40964166666667","2194","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",7300.446,0,0,7300.446,0,0,0,"6.10964166666667","6.40964166666667","2194","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P",776.5465,0,0,776.5465,0,0,0,"6.10964166666667","6.40964166666667","2194","","MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P","776.54471","283.2635","295.2279","776.5447","277.2173","313.2384","196.038","6.10964166666667","6.40964166666667","2194"
"","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P",1,0,0,1,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P",5.170068,0,0,5.170068,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P",1,0,0,1,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P",6730.892,0,0,6730.892,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P",774.5306,0,0,774.5306,0,0,0,"4.99847121212121","5.29847121212121","226","","MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P","774.52906","283.2635","293.2122","774.5291","275.2017","311.2228","196.038","4.99847121212121","5.29847121212121","226"
