"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","RT at Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Number of Scans","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Average m/z","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment"
"","AcylGlcADG(12:0_12:0_18:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_12:0_18:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_12:0_18:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_12:0_18:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_12:0_18:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_12:0_18:0)+NH4","916.7089","439.3782","443.3003","257.2112","257.2112","267.2693","10.6625388888889","10.9625388888889","13652"
"","AcylGlcADG(12:0_12:0_20:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_12:0_20:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_12:0_20:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_12:0_20:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_12:0_20:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_12:0_20:0)+NH4","944.7402","439.3782","471.3316","257.2112","257.2112","295.3006","11.23642","11.53642","18528"
"","AcylGlcADG(12:0_12:0_20:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_12:0_20:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_12:0_20:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_12:0_20:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_12:0_20:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_12:0_20:1)+NH4","942.7245","439.3782","469.316","257.2112","257.2112","293.285","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_14:0_16:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_14:0_16:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_14:0_16:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_14:0_16:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_14:0_16:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_14:0_16:0)+NH4","916.7089","467.4095","415.269","285.2424","257.2112","239.238","10.6625388888889","10.9625388888889","13652"
"","AcylGlcADG(12:0_14:0_18:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_14:0_18:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_14:0_18:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_14:0_18:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_14:0_18:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_14:0_18:0)+NH4","944.7402","467.4095","443.3003","285.2424","257.2112","267.2693","11.23642","11.53642","18528"
"","AcylGlcADG(12:0_14:0_18:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:0_18:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:0_18:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:0_18:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:0_18:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:0_18:1)+NH4","942.7245","467.4095","441.2847","285.2424","257.2112","265.2537","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_14:0_22:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:0_22:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:0_22:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:0_22:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:0_22:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:0_22:1)+NH4","998.7872","467.4095","497.3473","285.2424","257.2112","321.3163","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_14:1_18:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:1_18:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:1_18:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:1_18:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:1_18:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_14:1_18:0)+NH4","942.7245","465.3938","443.3003","283.2268","257.2112","267.2693","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_14:1_22:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:1_22:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:1_22:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:1_22:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:1_22:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_14:1_22:0)+NH4","998.7872","465.3938","499.3629","283.2268","257.2112","323.3319","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_16:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_16:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_16:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_16:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_16:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_16:0_14:0)+NH4","916.7089","495.4408","387.2377","313.2737","257.2112","211.2067","10.6625388888889","10.9625388888889","13652"
