"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment","RT at Max Intensity","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment","Number of Scans","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment","Max Intensity","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment","Average m/z","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","BMP","[M+NH4]+","[M-C3H8O6P]+","[SN2+C3H5O]+","[SN1+C3H5O]+","RT_min","RT_max","Comment"
"","BMP(2:0_11:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(2:0_11:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(2:0_11:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(2:0_11:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(2:0_11:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(2:0_11:0)+NH4","474.2462","285.2071","243.1955","117.0546","0.252939393939394","0.552939393939394","15989"
"","BMP(2:0_18:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(2:0_18:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(2:0_18:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(2:0_18:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(2:0_18:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(2:0_18:2)+NH4","568.3245","379.2854","337.2737","117.0546","0.335309090909091","0.635309090909091","9300"
"","BMP(2:0_20:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(2:0_20:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(2:0_20:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(2:0_20:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(2:0_20:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(2:0_20:0)+NH4","600.3871","411.348","369.3363","117.0546","2.62962916666667","2.92962916666667","12217"
"","BMP(2:0_20:4)+NH4",0,0,0,0,"0.378029166666667","0.678029166666667","11650","","BMP(2:0_20:4)+NH4",0,0,0,0,"0.378029166666667","0.678029166666667","11650","","BMP(2:0_20:4)+NH4",0,0,0,0,"0.378029166666667","0.678029166666667","11650","","BMP(2:0_20:4)+NH4",0,0,0,0,"0.378029166666667","0.678029166666667","11650","","BMP(2:0_20:4)+NH4",0,0,0,0,"0.378029166666667","0.678029166666667","11650","","BMP(2:0_20:4)+NH4","592.3245","403.2854","361.2737","117.0546","0.378029166666667","0.678029166666667","11650"
"","BMP(2:0_21:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(2:0_21:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(2:0_21:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(2:0_21:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(2:0_21:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(2:0_21:0)+NH4","614.4028","425.3636","383.352","117.0546","2.96007083333333","3.26007083333333","8820"
"","BMP(2:0_21:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(2:0_21:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(2:0_21:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(2:0_21:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(2:0_21:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(2:0_21:2)+NH4","610.3715","421.3323","379.3207","117.0546","0.769251388888889","1.06925138888889","14542"
"","BMP(2:0_23:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(2:0_23:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(2:0_23:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(2:0_23:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(2:0_23:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(2:0_23:0)+NH4","642.4341","453.3949","411.3833","117.0546","3.20013888888889","3.50013888888889","2688"
"","BMP(2:0_24:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(2:0_24:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(2:0_24:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(2:0_24:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(2:0_24:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(2:0_24:0)+NH4","656.4497","467.4106","425.3989","117.0546","2.88142222222222","3.18142222222222","5201"
"","BMP(2:0_24:2)+NH4",0,0,0,0,"2.6957875","2.9957875","8069","","BMP(2:0_24:2)+NH4",0,0,0,0,"2.6957875","2.9957875","8069","","BMP(2:0_24:2)+NH4",0,0,0,0,"2.6957875","2.9957875","8069","","BMP(2:0_24:2)+NH4",0,0,0,0,"2.6957875","2.9957875","8069","","BMP(2:0_24:2)+NH4",0,0,0,0,"2.6957875","2.9957875","8069","","BMP(2:0_24:2)+NH4","652.4184","463.3793","421.3676","117.0546","2.6957875","2.9957875","8069"
"","BMP(2:0_26:0)+NH4",0,1,0,0,"4.09877222222222","4.39877222222222","171","","BMP(2:0_26:0)+NH4",0,4.258391,0,0,"4.09877222222222","4.39877222222222","171","","BMP(2:0_26:0)+NH4",0,2,0,0,"4.09877222222222","4.39877222222222","171","","BMP(2:0_26:0)+NH4",0,8996515,0,0,"4.09877222222222","4.39877222222222","171","","BMP(2:0_26:0)+NH4",0,495.4412,0,0,"4.09877222222222","4.39877222222222","171","","BMP(2:0_26:0)+NH4","684.481","495.4419","453.4302","117.0546","4.09877222222222","4.39877222222222","171"
"","BMP(2:0_26:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(2:0_26:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(2:0_26:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(2:0_26:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(2:0_26:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(2:0_26:0)+NH4","684.481","495.4419","453.4302","117.0546","4.91529722222222","5.21529722222222","2547"
"","BMP(2:0_26:2)+NH4",1,0,0,0,"3.85204848484848","4.15204848484848","264","","BMP(2:0_26:2)+NH4",4.028213,0,0,0,"3.85204848484848","4.15204848484848","264","","BMP(2:0_26:2)+NH4",1,0,0,0,"3.85204848484848","4.15204848484848","264","","BMP(2:0_26:2)+NH4",3461.459,0,0,0,"3.85204848484848","4.15204848484848","264","","BMP(2:0_26:2)+NH4",680.4498,0,0,0,"3.85204848484848","4.15204848484848","264","","BMP(2:0_26:2)+NH4","680.4497","491.4106","449.3989","117.0546","3.85204848484848","4.15204848484848","264"
"","BMP(2:0_26:2)+NH4",0,0,0,0,"4.899375","5.199375","2098","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.899375","5.199375","2098","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.899375","5.199375","2098","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.899375","5.199375","2098","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.899375","5.199375","2098","","BMP(2:0_26:2)+NH4","680.4497","491.4106","449.3989","117.0546","4.899375","5.199375","2098"
"","BMP(2:0_26:2)+NH4",1,0,0,0,"3.85645138888889","4.15645138888889","12646","","BMP(2:0_26:2)+NH4",4.028213,0,0,0,"3.85645138888889","4.15645138888889","12646","","BMP(2:0_26:2)+NH4",1,0,0,0,"3.85645138888889","4.15645138888889","12646","","BMP(2:0_26:2)+NH4",3461.459,0,0,0,"3.85645138888889","4.15645138888889","12646","","BMP(2:0_26:2)+NH4",680.4498,0,0,0,"3.85645138888889","4.15645138888889","12646","","BMP(2:0_26:2)+NH4","680.4497","491.4106","449.3989","117.0546","3.85645138888889","4.15645138888889","12646"
"","BMP(2:0_26:2)+NH4",0,0,0,0,"4.91009027777778","5.21009027777778","12764","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.91009027777778","5.21009027777778","12764","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.91009027777778","5.21009027777778","12764","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.91009027777778","5.21009027777778","12764","","BMP(2:0_26:2)+NH4",0,0,0,0,"4.91009027777778","5.21009027777778","12764","","BMP(2:0_26:2)+NH4","680.4497","491.4106","449.3989","117.0546","4.91009027777778","5.21009027777778","12764"
"","BMP(2:0_26:4)+NH4",0,0,0,0,"1.04389166666667","1.34389166666667","10733","","BMP(2:0_26:4)+NH4",0,0,0,0,"1.04389166666667","1.34389166666667","10733","","BMP(2:0_26:4)+NH4",0,0,0,0,"1.04389166666667","1.34389166666667","10733","","BMP(2:0_26:4)+NH4",0,0,0,0,"1.04389166666667","1.34389166666667","10733","","BMP(2:0_26:4)+NH4",0,0,0,0,"1.04389166666667","1.34389166666667","10733","","BMP(2:0_26:4)+NH4","676.4184","487.3793","445.3676","117.0546","1.04389166666667","1.34389166666667","10733"
"","BMP(3:0_10:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(3:0_10:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(3:0_10:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(3:0_10:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(3:0_10:0)+NH4",0,0,0,0,"0.252939393939394","0.552939393939394","15989","","BMP(3:0_10:0)+NH4","474.2462","285.2071","229.1798","131.0703","0.252939393939394","0.552939393939394","15989"
"","BMP(3:0_17:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(3:0_17:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(3:0_17:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(3:0_17:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(3:0_17:2)+NH4",0,0,0,0,"0.335309090909091","0.635309090909091","9300","","BMP(3:0_17:2)+NH4","568.3245","379.2854","323.2581","131.0703","0.335309090909091","0.635309090909091","9300"
"","BMP(3:0_19:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(3:0_19:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(3:0_19:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(3:0_19:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(3:0_19:0)+NH4",0,0,0,0,"2.62962916666667","2.92962916666667","12217","","BMP(3:0_19:0)+NH4","600.3871","411.348","355.3207","131.0703","2.62962916666667","2.92962916666667","12217"
"","BMP(3:0_20:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(3:0_20:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(3:0_20:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(3:0_20:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(3:0_20:0)+NH4",0,0,0,0,"2.96007083333333","3.26007083333333","8820","","BMP(3:0_20:0)+NH4","614.4028","425.3636","369.3363","131.0703","2.96007083333333","3.26007083333333","8820"
"","BMP(3:0_20:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(3:0_20:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(3:0_20:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(3:0_20:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(3:0_20:2)+NH4",0,0,0,0,"0.769251388888889","1.06925138888889","14542","","BMP(3:0_20:2)+NH4","610.3715","421.3323","365.305","131.0703","0.769251388888889","1.06925138888889","14542"
"","BMP(3:0_22:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(3:0_22:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(3:0_22:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(3:0_22:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(3:0_22:0)+NH4",0,0,0,0,"3.20013888888889","3.50013888888889","2688","","BMP(3:0_22:0)+NH4","642.4341","453.3949","397.3676","131.0703","3.20013888888889","3.50013888888889","2688"
"","BMP(3:0_23:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(3:0_23:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(3:0_23:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(3:0_23:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(3:0_23:0)+NH4",0,0,0,0,"2.88142222222222","3.18142222222222","5201","","BMP(3:0_23:0)+NH4","656.4497","467.4106","411.3833","131.0703","2.88142222222222","3.18142222222222","5201"
"","BMP(3:0_24:2)+NH4",0,0,0,0,"0.97390138888889","1.27390138888889","5474","","BMP(3:0_24:2)+NH4",0,0,0,0,"0.97390138888889","1.27390138888889","5474","","BMP(3:0_24:2)+NH4",0,0,0,0,"0.97390138888889","1.27390138888889","5474","","BMP(3:0_24:2)+NH4",0,0,0,0,"0.97390138888889","1.27390138888889","5474","","BMP(3:0_24:2)+NH4",0,0,0,0,"0.97390138888889","1.27390138888889","5474","","BMP(3:0_24:2)+NH4","666.4341","477.3949","421.3676","131.0703","0.97390138888889","1.27390138888889","5474"
"","BMP(3:0_25:0)+NH4",0,1,0,0,"4.09877222222222","4.39877222222222","171","","BMP(3:0_25:0)+NH4",0,4.258391,0,0,"4.09877222222222","4.39877222222222","171","","BMP(3:0_25:0)+NH4",0,2,0,0,"4.09877222222222","4.39877222222222","171","","BMP(3:0_25:0)+NH4",0,8996515,0,0,"4.09877222222222","4.39877222222222","171","","BMP(3:0_25:0)+NH4",0,495.4412,0,0,"4.09877222222222","4.39877222222222","171","","BMP(3:0_25:0)+NH4","684.481","495.4419","439.4146","131.0703","4.09877222222222","4.39877222222222","171"
"","BMP(3:0_25:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(3:0_25:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(3:0_25:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(3:0_25:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(3:0_25:0)+NH4",0,0,0,0,"4.91529722222222","5.21529722222222","2547","","BMP(3:0_25:0)+NH4","684.481","495.4419","439.4146","131.0703","4.91529722222222","5.21529722222222","2547"
"","BMP(3:0_26:2)+NH4",0,0,0,0,"5.00976527777778","5.30976527777778","981","","BMP(3:0_26:2)+NH4",0,0,0,0,"5.00976527777778","5.30976527777778","981","","BMP(3:0_26:2)+NH4",0,0,0,0,"5.00976527777778","5.30976527777778","981","","BMP(3:0_26:2)+NH4",0,0,0,0,"5.00976527777778","5.30976527777778","981","","BMP(3:0_26:2)+NH4",0,0,0,0,"5.00976527777778","5.30976527777778","981","","BMP(3:0_26:2)+NH4","694.4653","505.4262","449.3989","131.0703","5.00976527777778","5.30976527777778","981"
"","BMP(3:0_26:2)+NH4",0,0,0,0,"1.50699722222222","1.80699722222222","14667","","BMP(3:0_26:2)+NH4",0,0,0,0,"1.50699722222222","1.80699722222222","14667","","BMP(3:0_26:2)+NH4",0,0,0,0,"1.50699722222222","1.80699722222222","14667","","BMP(3:0_26:2)+NH4",0,0,0,0,"1.50699722222222","1.80699722222222","14667","","BMP(3:0_26:2)+NH4",0,0,0,0,"1.50699722222222","1.80699722222222","14667","","BMP(3:0_26:2)+NH4","694.4653","505.4262","449.3989","131.0703","1.50699722222222","1.80699722222222","14667"
"","BMP(3:0_26:4)+NH4",0,0,0,0,"1.15756944444444","1.45756944444444","6755","","BMP(3:0_26:4)+NH4",0,0,0,0,"1.15756944444444","1.45756944444444","6755","","BMP(3:0_26:4)+NH4",0,0,0,0,"1.15756944444444","1.45756944444444","6755","","BMP(3:0_26:4)+NH4",0,0,0,0,"1.15756944444444","1.45756944444444","6755","","BMP(3:0_26:4)+NH4",0,0,0,0,"1.15756944444444","1.45756944444444","6755","","BMP(3:0_26:4)+NH4","690.4341","501.3949","445.3676","131.0703","1.15756944444444","1.45756944444444","6755"
"","BMP(3:0_27:0)+NH4",0,0,0,0,"4.09877222222222","4.39877222222222","2115","","BMP(3:0_27:0)+NH4",0,0,0,0,"4.09877222222222","4.39877222222222","2115","","BMP(3:0_27:0)+NH4",0,0,0,0,"4.09877222222222","4.39877222222222","2115","","BMP(3:0_27:0)+NH4",0,0,0,0,"4.09877222222222","4.39877222222222","2115","","BMP(3:0_27:0)+NH4",0,0,0,0,"4.09877222222222","4.39877222222222","2115","","BMP(3:0_27:0)+NH4","712.5123","523.4732","467.4459","131.0703","4.09877222222222","4.39877222222222","2115"
