"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer-NDS(d14:0/12:0)+H","428.4098","410.3993","392.3887","228.2322","210.2216","200.2009","198.2216","2.06051944444444","2.36051944444444","4695"
"","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer-NDS(d14:0/12:0)+H","428.4098","410.3993","392.3887","228.2322","210.2216","200.2009","198.2216","2.4612375","2.7612375","6334"
"","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer-NDS(d14:0/12:0)+H","428.4098","410.3993","392.3887","228.2322","210.2216","200.2009","198.2216","4.49469861111111","4.79469861111111","9875"
"","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer-NDS(d14:0/12:0)+H",0,0,0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer-NDS(d14:0/12:0)+H","428.4098","410.3993","392.3887","228.2322","210.2216","200.2009","198.2216","4.20844861111111","4.50844861111111","15398"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","3.54813888888889","3.84813888888889","4477"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","0.460145454545455","0.760145454545455","6974"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","4.13308472222222","4.43308472222222","8263"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","4.80010555555556","5.10010555555556","8625"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","1.36390833333333","1.66390833333333","10676"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","5.14420277777778","5.44420277777778","10880"
