"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","3.54813888888889","3.84813888888889","4477"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"0.460145454545455","0.760145454545455","6974","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","0.460145454545455","0.760145454545455","6974"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.13308472222222","4.43308472222222","8263","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","4.13308472222222","4.43308472222222","8263"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"4.80010555555556","5.10010555555556","8625","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","4.80010555555556","5.10010555555556","8625"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.36390833333333","1.66390833333333","10676","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","1.36390833333333","1.66390833333333","10676"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"5.14420277777778","5.44420277777778","10880","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","5.14420277777778","5.44420277777778","10880"
"","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NS(d14:1/12:0)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NS(d14:1/12:0)+H","426.3942","408.3836","390.373","226.2166","208.206","200.2009","196.206","1.16647916666667","1.46647916666667","12045"
"","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"0.384234722222222","0.684234722222222","2918","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"0.384234722222222","0.684234722222222","2918","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"0.384234722222222","0.684234722222222","2918","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"0.384234722222222","0.684234722222222","2918","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"0.384234722222222","0.684234722222222","2918","","Cer-NS(d14:1/12:1)+H","424.3785","406.368","388.3574","226.2166","208.206","198.1853","196.206","0.384234722222222","0.684234722222222","2918"
"","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"4.64724166666667","4.94724166666667","6931","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"4.64724166666667","4.94724166666667","6931","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"4.64724166666667","4.94724166666667","6931","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"4.64724166666667","4.94724166666667","6931","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"4.64724166666667","4.94724166666667","6931","","Cer-NS(d14:1/12:1)+H","424.3785","406.368","388.3574","226.2166","208.206","198.1853","196.206","4.64724166666667","4.94724166666667","6931"
"","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"3.71557916666667","4.01557916666667","8016","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"3.71557916666667","4.01557916666667","8016","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"3.71557916666667","4.01557916666667","8016","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"3.71557916666667","4.01557916666667","8016","","Cer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,"3.71557916666667","4.01557916666667","8016","","Cer-NS(d14:1/12:1)+H","424.3785","406.368","388.3574","226.2166","208.206","198.1853","196.206","3.71557916666667","4.01557916666667","8016"
