"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(10:0_13:0)+NH4","784.50566","443.37316","425.36259","271.22692","229.18","155.1431","197.19002","1.03301111111111","1.33301111111111","12997"
"","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(10:0_16:0)+NH4","826.55262","485.42012","467.40955","313.27388","229.18004","155.1431","239.23694","1.55908055555556","1.85908055555556","18812"
"","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(10:0_18:0)+NH4","854.58392","513.45142","495.44085","341.30518","229.18006","155.1431","267.26822","0.539469444444444","0.839469444444444","4759"
"","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4","902.58392","561.45142","543.44085","389.30518","229.18006","155.1431","315.26822","7.91595694444445","8.21595694444445","14544"
"","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4","784.50566","443.37316","425.36259","257.21128","243.19564","169.15874","183.17438","1.03301111111111","1.33301111111111","12997"
"","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4","826.55262","485.42012","467.40955","299.25824","243.19568","169.15874","225.2213","1.55908055555556","1.85908055555556","18812"
"","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4","854.58392","513.45142","495.44085","327.28954","243.1957","169.15874","253.25258","0.539469444444444","0.839469444444444","4759"
"","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4","862.55262","521.42012","503.40955","335.25824","243.19568","169.15874","261.2213","5.67039583333333","5.97039583333333","18918"
"","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4","886.55262","545.42012","527.40955","359.25824","243.19568","169.15874","285.2213","5.49449090909091","5.79449090909091","7043"
"","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4","826.55262","485.42012","467.40955","285.2426","257.21132","183.17438","211.20566","1.55908055555556","1.85908055555556","18812"
