"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","HexCer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NDS(d14:0/18:1)+H","672.5414","510.4886","492.478","474.4675","228.2322","210.2216","282.2791","198.2216","5.0153625","5.3153625","2151"
"","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.4931196969697","10.7931196969697","10162","","HexCer-NDS(d14:0/19:0)+H","688.5728","526.5199","508.5093","490.4988","228.2322","210.2216","298.3105","198.2216","10.4931196969697","10.7931196969697","10162"
"","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","HexCer-NDS(d14:0/19:0)+H",0,0,0,0,0,0,0,0,"10.6881013888889","10.9881013888889","17437","","HexCer-NDS(d14:0/19:0)+H","688.5728","526.5199","508.5093","490.4988","228.2322","210.2216","298.3105","198.2216","10.6881013888889","10.9881013888889","17437"
"","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NDS(d14:0/19:1)+H","686.5571","524.5043","506.4937","488.4831","228.2322","210.2216","296.2948","198.2216","5.71002361111111","6.01002361111111","5972"
"","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NDS(d14:0/19:1)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NDS(d14:0/19:1)+H","686.5571","524.5043","506.4937","488.4831","228.2322","210.2216","296.2948","198.2216","10.2094212121212","10.5094212121212","16210"
"","HexCer-NDS(d14:0/20:1)+H",0,0,1,1,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NDS(d14:0/20:1)+H",0,0,6.545538,6.545538,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NDS(d14:0/20:1)+H",0,0,1,1,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NDS(d14:0/20:1)+H",0,0,145452.5,56112.69,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NDS(d14:0/20:1)+H",0,0,520.5101,502.4994,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NDS(d14:0/20:1)+H","700.5728","538.5199","520.5093","502.4988","228.2322","210.2216","310.3105","198.2216","6.36482638888889","6.66482638888889","1123"
"","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NDS(d14:0/20:1)+H","700.5728","538.5199","520.5093","502.4988","228.2322","210.2216","310.3105","198.2216","5.21461944444444","5.51461944444444","3785"
"","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NDS(d14:0/20:1)+H","700.5728","538.5199","520.5093","502.4988","228.2322","210.2216","310.3105","198.2216","8.27311666666667","8.57311666666667","12563"
"","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NDS(d14:0/20:1)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NDS(d14:0/20:1)+H","700.5728","538.5199","520.5093","502.4988","228.2322","210.2216","310.3105","198.2216","8.27312916666667","8.57312916666667","18238"
"","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NDS(d14:0/20:2)+H","698.5571","536.5043","518.4937","500.4831","228.2322","210.2216","308.2948","198.2216","4.94340138888889","5.24340138888889","2663"
