"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.09550833333333","1.39550833333333","4358","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.09550833333333","1.39550833333333","4358","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.09550833333333","1.39550833333333","4358","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.09550833333333","1.39550833333333","4358","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.09550833333333","1.39550833333333","4358","","HexCer-NS(d14:1/12:1)+H","586.4319","424.3791","406.3685","388.3579","226.2166","208.206","198.1853","196.206","1.09550833333333","1.39550833333333","4358"
"","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"0.595569444444444","0.895569444444444","6478","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"0.595569444444444","0.895569444444444","6478","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"0.595569444444444","0.895569444444444","6478","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"0.595569444444444","0.895569444444444","6478","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"0.595569444444444","0.895569444444444","6478","","HexCer-NS(d14:1/12:1)+H","586.4319","424.3791","406.3685","388.3579","226.2166","208.206","198.1853","196.206","0.595569444444444","0.895569444444444","6478"
"","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.42487083333333","1.72487083333333","7490","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.42487083333333","1.72487083333333","7490","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.42487083333333","1.72487083333333","7490","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.42487083333333","1.72487083333333","7490","","HexCer-NS(d14:1/12:1)+H",0,0,0,0,0,0,0,0,"1.42487083333333","1.72487083333333","7490","","HexCer-NS(d14:1/12:1)+H","586.4319","424.3791","406.3685","388.3579","226.2166","208.206","198.1853","196.206","1.42487083333333","1.72487083333333","7490"
"","HexCer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","HexCer-NS(d14:1/18:0)+H","672.5414","510.4886","492.478","474.4675","226.2166","208.206","284.2948","196.206","5.0153625","5.3153625","2151"
"","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","HexCer-NS(d14:1/19:0)+H","686.5571","524.5043","506.4937","488.4831","226.2166","208.206","298.3105","196.206","5.71002361111111","6.01002361111111","5972"
"","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","HexCer-NS(d14:1/19:0)+H","686.5571","524.5043","506.4937","488.4831","226.2166","208.206","298.3105","196.206","10.2094212121212","10.5094212121212","16210"
"","HexCer-NS(d14:1/19:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","HexCer-NS(d14:1/19:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","HexCer-NS(d14:1/19:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","HexCer-NS(d14:1/19:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","HexCer-NS(d14:1/19:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","HexCer-NS(d14:1/19:1)+H","684.5414","522.4886","504.478","486.4675","226.2166","208.206","296.2948","196.206","6.78201944444445","7.08201944444445","14661"
"","HexCer-NS(d14:1/20:0)+H",0,0,1,1,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NS(d14:1/20:0)+H",0,0,6.545538,6.545538,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NS(d14:1/20:0)+H",0,0,1,1,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NS(d14:1/20:0)+H",0,0,145452.5,56112.69,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NS(d14:1/20:0)+H",0,0,520.5101,502.4994,0,0,0,0,"6.36482638888889","6.66482638888889","1123","","HexCer-NS(d14:1/20:0)+H","700.5728","538.5199","520.5093","502.4988","226.2166","208.206","312.3261","196.206","6.36482638888889","6.66482638888889","1123"
"","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","HexCer-NS(d14:1/20:0)+H","700.5728","538.5199","520.5093","502.4988","226.2166","208.206","312.3261","196.206","5.21461944444444","5.51461944444444","3785"
"","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","HexCer-NS(d14:1/20:0)+H","700.5728","538.5199","520.5093","502.4988","226.2166","208.206","312.3261","196.206","8.27311666666667","8.57311666666667","12563"
