"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment"
"","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,0.4763662,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,1,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,436.4953,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO",0,0,0,0,0,0,88.07577,"0.2108","0.5108","11260","","MGDG(2:0_7:0)+NH4-CO","398.23845","338.21733","268.13913","59.01275","129.09095","158.15394","88.07574","0.2108","0.5108","11260"
"","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.309133333333333","0.609133333333333","3173","","MGDG(2:0_17:2)+NH4-CO","534.36367","474.34255","268.13923","59.01275","265.21607","294.27916","88.07584","0.309133333333333","0.609133333333333","3173"
"","MGDG(2:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",0.516453,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",1,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",776.1049,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO",548.3806,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(2:0_18:2)+NH4-CO","548.3793","488.35818","268.13922","59.01275","279.23171","308.29479","88.07583","0.343763888888889","0.643763888888889","648"
"","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO","576.4106","516.38948","268.13924","59.01275","307.26299","336.32609","88.07585","0.386840277777778","0.686840277777778","1298"
"","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO","574.3949","514.37378","268.13918","59.01275","305.24735","334.31039","88.07579","0.421654166666667","0.721654166666667","10762"
"","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO","604.4419","544.42078","268.13926","59.01275","335.29427","364.35739","88.07587","0.454356944444444","0.754356944444444","4111"
"","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO","604.4419","544.42078","268.13926","59.01275","335.29427","364.35739","88.07587","0.6766875","0.9766875","13230"
"","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO","398.23845","324.20169","282.15477","73.02839","115.07531","144.1383","102.09138","0.2108","0.5108","11260"
"","MGDG(3:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",0.516453,0,0,0,0,0,0.516453,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",1,0,0,0,0,0,1,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",776.1049,0,0,0,0,0,459.0466,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",548.3806,0,0,0,0,0,102.091,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO","548.3793","474.34254","282.15486","73.02839","265.21607","294.27915","102.09147","0.343763888888889","0.643763888888889","648"
"","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO","562.3949","488.35814","282.15482","73.02839","279.23171","308.29475","102.09143","0.381147222222222","0.681147222222222","2411"
