"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","OxLPC(15:0(CHO))+Na",0,0,0,1,0,1,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,0.8117199,0,0.6175924,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,2,0,2,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,27597.05,0,1579002,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na",0,0,0,313.2377,0,184.0736,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","518.28481","335.21881","459.21131","313.23681","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
"","OxLPC(15:1(OH))+Na",0,0,0,1,0,1,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,0.8117199,0,0.6175924,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,2,0,2,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,27597.05,0,1579002,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,313.2377,0,184.0736,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","518.2848","335.2188","459.2113","313.2368","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
"","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na","544.3005","361.2345","485.227","339.2525","76.866585","184.07332","1.89569166666667","2.19569166666667","6040"
"","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na","600.32672","417.26072","541.25322","395.27872","76.866585","184.07332","1.025275","1.325275","4678"
"","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na","628.35802","445.29202","569.28452","423.31002","76.866585","184.07332","1.80304166666667","2.10304166666667","4860"
"","OxLPC(16:1(OOO))+Na",1,0,0,0,0,0,"9.09676666666667","9.39676666666667","9238","","OxLPC(16:1(OOO))+Na",9.352756,0,0,0,0,0,"9.09676666666667","9.39676666666667","9238","","OxLPC(16:1(OOO))+Na",2,0,0,0,0,0,"9.09676666666667","9.39676666666667","9238","","OxLPC(16:1(OOO))+Na",34486.81,0,0,0,0,0,"9.09676666666667","9.39676666666667","9238","","OxLPC(16:1(OOO))+Na",564.2915,0,0,0,0,0,"9.09676666666667","9.39676666666667","9238","","OxLPC(16:1(OOO))+Na","564.29034","381.22434","505.21684","359.24234","76.866585","184.07332","9.09676666666667","9.39676666666667","9238"
"","OxLPC(18:4(OOO))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxLPC(18:4(OOO))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxLPC(18:4(OOO))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxLPC(18:4(OOO))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxLPC(18:4(OOO))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxLPC(18:4(OOO))+Na","586.27464","403.20864","527.20114","381.22664","76.866585","184.07332","1.3296625","1.6296625","5626"
"","OxLPC(17:2(OOOO))+Na",0,0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPC(17:2(OOOO))+Na",0,0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPC(17:2(OOOO))+Na",0,0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPC(17:2(OOOO))+Na",0,0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPC(17:2(OOOO))+Na",0,0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPC(17:2(OOOO))+Na","592.28526","409.21926","533.21176","387.23726","76.866585","184.07332","10.0146444444444","10.3146444444444","11311"
"","OxLPC(17:1(Ke))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:1(Ke))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:1(Ke))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:1(Ke))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:1(Ke))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:1(Ke))+Na","544.30044","361.23444","485.22694","339.25244","76.866585","184.07332","1.89569166666667","2.19569166666667","6040"
"","OxLPC(20:2(Ke,OH))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:2(Ke,OH))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:2(Ke,OH))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:2(Ke,OH))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:2(Ke,OH))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:2(Ke,OH))+Na","600.32666","417.26066","541.25316","395.27866","76.866585","184.07332","1.025275","1.325275","4678"
"","OxLPC(22:2(Ke,OH))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:2(Ke,OH))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:2(Ke,OH))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:2(Ke,OH))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:2(Ke,OH))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:2(Ke,OH))+Na","628.35796","445.29196","569.28446","423.30996","76.866585","184.07332","1.80304166666667","2.10304166666667","4860"
