"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","RT at Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Number of Scans","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Average m/z","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment"
"","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.170178787878788","0.470178787878788","650","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.170178787878788","0.470178787878788","650","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.170178787878788","0.470178787878788","650","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.170178787878788","0.470178787878788","650","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.170178787878788","0.470178787878788","650","","PEG(n=3_NH4+_CH2=3_DBE=4_)","202.108","89.0602","133.0859","0.170178787878788","0.470178787878788","650"
"","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.324737878787879","0.624737878787879","3363","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.324737878787879","0.624737878787879","3363","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.324737878787879","0.624737878787879","3363","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.324737878787879","0.624737878787879","3363","","PEG(n=3_NH4+_CH2=3_DBE=4_)",0,0,0,"0.324737878787879","0.624737878787879","3363","","PEG(n=3_NH4+_CH2=3_DBE=4_)","202.108","89.0602","133.0859","0.324737878787879","0.624737878787879","3363"
"","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","10421","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","10421","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","10421","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","10421","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","10421","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))","204.051","89.0602","133.0859","10.4110166666667","10.7110166666667","10421"
"","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","18520","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","18520","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","18520","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","18520","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))",0,0,0,"10.4110166666667","10.7110166666667","18520","","PEG(n=3_NH4+_CH2=1_DBE=3_(2=O))","204.051","89.0602","133.0859","10.4110166666667","10.7110166666667","18520"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.2612277777778","14.5612277777778","2738","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.2612277777778","14.5612277777778","2738","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.2612277777778","14.5612277777778","2738","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.2612277777778","14.5612277777778","2738","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.2612277777778","14.5612277777778","2738","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","14.2612277777778","14.5612277777778","2738"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.2051763888889","13.5051763888889","2806","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.2051763888889","13.5051763888889","2806","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.2051763888889","13.5051763888889","2806","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.2051763888889","13.5051763888889","2806","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.2051763888889","13.5051763888889","2806","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","13.2051763888889","13.5051763888889","2806"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.6913875","13.9913875","3102","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.6913875","13.9913875","3102","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.6913875","13.9913875","3102","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.6913875","13.9913875","3102","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"13.6913875","13.9913875","3102","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","13.6913875","13.9913875","3102"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.7951430555556","15.0951430555556","3725","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.7951430555556","15.0951430555556","3725","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.7951430555556","15.0951430555556","3725","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.7951430555556","15.0951430555556","3725","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"14.7951430555556","15.0951430555556","3725","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","14.7951430555556","15.0951430555556","3725"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.25435277777778","8.55435277777778","6734","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.25435277777778","8.55435277777778","6734","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.25435277777778","8.55435277777778","6734","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.25435277777778","8.55435277777778","6734","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.25435277777778","8.55435277777778","6734","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","8.25435277777778","8.55435277777778","6734"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.02900694444444","2.32900694444444","6826","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.02900694444444","2.32900694444444","6826","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.02900694444444","2.32900694444444","6826","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.02900694444444","2.32900694444444","6826","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.02900694444444","2.32900694444444","6826","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","2.02900694444444","2.32900694444444","6826"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","10.1340916666667","10.4340916666667","7023"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","9.20958611111111","9.50958611111111","7030"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","5.64886944444444","5.94886944444444","7222"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","7.76920277777778","8.06920277777778","7346"
